Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,0,0,141,142,7,24.0,6.0,0.0,112.0,24.0,6.0,0.0,56.0,15.0,6.0,24.0,6.0,0.0,56.0,15.0,6.0,0.0,0.0,0.0,38.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,24.0,6.0,0.0,94.0,24.0,6.0,24.0,6.0,0.0,18.0,6.0,6.0,142.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,142.0
1,1,0,1,142,165,24,6,0.0,7.0,0.0,17.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,7.0,0.0,17.0,7.0,7.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
1,1,0,2,166,404,239,7,5.0,22.0,0.0,212.0,5.0,11.0,0.0,53.0,9.0,11.0,5.0,11.0,0.0,14.0,5.0,11.0,0.0,6.0,0.0,73.437047870948632,5.6568542494923806,6.0,1.0,2.0,0.0,4.0,3.0,2.0,5.0,17.0,0.0,180.0,17.0,17.0,5.0,5.0,0.0,4.0,5.0,5.0,212.0,0.0,27.0,0.0,0.0,106.0,0.0,27.0,0.0,0.0,27.0,106.0,106.0,0.0,27.0,0.0,0.0,27.0,106.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,186.0,0.0,27.0,0.0,0.0,27.0,186.0,26.0,0.0,27.0,0.0,0.0,27.0,26.0
1,1,0,3,405,450,46,6,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
1,1,0,4,451,991,541,7,26.0,0.0,59.0,456.0,13.0,0.0,14.75,65.142857142857139,14.166666666666666,14.75,13.0,0.0,12.5,29.0,12.5,12.5,6.0,0.0,6.1796035471541373,64.432530762093805,6.1756691045496348,6.1796035471541373,2.0,0.0,4.0,7.0,6.0,4.0,19.0,0.0,25.0,195.0,25.0,25.0,7.0,0.0,9.0,9.0,7.0,9.0,461.0,0.0,80.0,0.0,0.0,230.5,0.0,80.0,0.0,0.0,80.0,230.5,230.5,0.0,80.0,0.0,0.0,80.0,230.5,195.5,0.0,0.0,0.0,0.0,0.0,195.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,426.0,0.0,80.0,0.0,0.0,80.0,426.0,35.0,0.0,80.0,0.0,0.0,80.0,35.0
1,1,0,5,992,1110,119,6,4.0,0.0,0.0,115.0,4.0,0.0,0.0,57.5,4.0,0.0,4.0,0.0,0.0,57.5,4.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,61.0,4.0,0.0,4.0,0.0,0.0,54.0,4.0,0.0,119.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0
1,1,0,6,1111,1607,497,7,27.0,0.0,67.0,403.0,27.0,0.0,11.166666666666666,57.571428571428569,13.428571428571429,11.166666666666666,27.0,0.0,10.5,52.0,12.0,10.5,0.0,0.0,3.4359213546813838,46.870207237973808,6.3887656499993986,3.4359213546813838,1.0,0.0,6.0,7.0,7.0,6.0,27.0,0.0,16.0,161.0,27.0,16.0,27.0,0.0,7.0,9.0,7.0,7.0,384.0,0.0,113.0,0.0,0.0,192.0,0.0,113.0,0.0,0.0,113.0,192.0,192.0,0.0,113.0,0.0,0.0,113.0,192.0,181.0,0.0,0.0,0.0,0.0,0.0,181.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,373.0,0.0,113.0,0.0,0.0,113.0,373.0,11.0,0.0,113.0,0.0,0.0,113.0,11.0
1,1,0,7,1608,1713,106,6,0.0,0.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,53.0,53.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,53.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0
1,1,0,8,1714,2248,535,7,28.0,22.0,214.0,271.0,14.0,11.0,42.799999999999997,54.200000000000003,52.799999999999997,47.200000000000003,14.0,11.0,34.0,21.0,47.0,34.0,1.0,3.0,31.883538072177625,76.122007330337794,31.921152861386442,31.644272783554371,2.0,2.0,5.0,5.0,5.0,5.0,15.0,14.0,102.0,206.0,102.0,102.0,13.0,8.0,9.0,8.0,9.0,9.0,535.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0
1,1,0,9,2249,2357,109,6,0.0,16.0,49.0,44.0,0.0,16.0,24.5,22.0,32.5,32.5,0.0,16.0,24.5,22.0,32.5,32.5,0.0,0.0,19.5,16.0,27.5,27.5,0.0,1.0,2.0,2.0,2.0,2.0,0.0,16.0,44.0,38.0,60.0,60.0,0.0,16.0,5.0,6.0,5.0,5.0,109.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0
