Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min
1,1,0,0,0,141,142,1,24.0,6.0,0.0,112.0,24.0,6.0,0.0,56.0,15.0,6.0,24.0,6.0,0.0,56.0,15.0,6.0,0.0,0.0,0.0,38.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,24.0,6.0,0.0,94.0,24.0,6.0,24.0,6.0,0.0,18.0,6.0,6.0
1,1,0,1,142,165,24,3,0.0,7.0,0.0,17.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,7.0,0.0,17.0,7.0,7.0
1,1,0,2,166,191,26,1,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
1,1,0,3,192,218,27,3,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
1,1,0,4,219,404,186,1,5.0,22.0,0.0,159.0,5.0,11.0,0.0,39.75,9.0,11.0,5.0,11.0,0.0,14.0,5.0,11.0,0.0,6.0,0.0,50.538970112181751,5.6568542494923806,6.0,1.0,2.0,0.0,4.0,3.0,2.0,5.0,17.0,0.0,127.0,17.0,17.0,5.0,5.0,0.0,4.0,5.0,5.0
1,1,0,5,405,450,46,3,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
1,1,0,6,451,485,35,1,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
1,1,0,7,486,565,80,3,7.0,0.0,0.0,73.0,7.0,0.0,0.0,36.5,7.0,0.0,7.0,0.0,0.0,36.5,7.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,52.0,7.0,0.0,7.0,0.0,0.0,21.0,7.0,0.0
1,1,0,8,566,991,426,1,19.0,0.0,59.0,348.0,19.0,0.0,14.75,58.0,15.6,14.75,19.0,0.0,12.5,22.0,14.0,12.5,0.0,0.0,6.1796035471541373,66.927821818234406,5.7827329179203844,6.1796035471541373,1.0,0.0,4.0,6.0,5.0,4.0,19.0,0.0,25.0,195.0,25.0,25.0,19.0,0.0,9.0,9.0,9.0,9.0
1,1,0,9,992,1110,119,3,4.0,0.0,0.0,115.0,4.0,0.0,0.0,57.5,4.0,0.0,4.0,0.0,0.0,57.5,4.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,61.0,4.0,0.0,4.0,0.0,0.0,54.0,4.0,0.0
