Dyad,Cov,StartFrame,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,210.0,91.0,529.0,2170.0,16.153846153846153,13.0,26.449999999999999,62.0,24.411764705882351,26.956521739130434,15.0,14.0,16.0,28.0,16.0,15.0,9.0370702693546896,4.4721359549995796,24.422274668834593,69.768187592913719,22.748131981561016,24.842947141680071,13.0,7.0,20.0,35.0,34.0,23.0,31.0,18.0,107.0,259.0,107.0,107.0,4.0,5.0,7.0,4.0,4.0,5.0,170.0,1874.0,404.0,0.0,552.0,56.666666666666664,312.33333333333331,80.799999999999997,0.0,110.40000000000001,80.799999999999997,432.66666666666669,48.0,389.5,106.0,0.0,83.0,106.0,516.0,24.458581770458856,144.42145116136854,38.280020898635883,0.0,74.537507336910593,38.280020898635883,178.96057914772427,3.0,6.0,5.0,0.0,5.0,5.0,6.0,90.0,445.0,119.0,0.0,245.0,119.0,642.0,32.0,60.0,24.0,0.0,21.0,24.0,142.0,2550.0,0.0,450.0,0.0,0.0,510.0,0.0,112.5,0.0,0.0,112.5,510.0,401.0,0.0,96.5,0.0,0.0,96.5,401.0,335.72190872804237,0.0,74.453005312075888,0.0,0.0,74.453005312075888,335.72190872804237,5.0,0.0,4.0,0.0,0.0,4.0,5.0,1134.0,0.0,230.0,0.0,0.0,230.0,1134.0,192.0,0.0,27.0,0.0,0.0,27.0,192.0
1,1,3000,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0
1,1,6000,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0
1,2,0,1035.0,146.0,104.0,1715.0,79.615384615384613,24.333333333333332,26.0,95.277777777777771,67.631578947368425,25.0,29.0,17.5,19.0,59.5,29.0,18.5,138.20137952196839,15.744487571492726,18.357559750685819,92.036711006203973,120.94157376984963,16.858232410309213,13.0,6.0,4.0,18.0,19.0,10.0,531.0,57.0,57.0,297.0,531.0,57.0,5.0,9.0,9.0,7.0,5.0,9.0,0.0,2961.0,0.0,39.0,0.0,0.0,1480.5,0.0,39.0,0.0,39.0,1480.5,0.0,1480.5,0.0,39.0,0.0,39.0,1480.5,0.0,913.5,0.0,0.0,0.0,0.0,913.5,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2394.0,0.0,39.0,0.0,39.0,2394.0,0.0,567.0,0.0,39.0,0.0,39.0,567.0,2634.0,0.0,366.0,0.0,0.0,376.28571428571428,0.0,61.0,0.0,0.0,61.0,376.28571428571428,36.0,0.0,35.0,0.0,0.0,35.0,36.0,670.15066840774466,0.0,49.311932295000027,0.0,0.0,49.311932295000027,670.15066840774466,7.0,0.0,6.0,0.0,0.0,6.0,7.0,1991.0,0.0,154.0,0.0,0.0,154.0,1991.0,11.0,0.0,17.0,0.0,0.0,17.0,11.0
1,2,3000,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0
1,2,6000,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0
3,1,0,827.0,1254.0,339.0,580.0,55.133333333333333,96.461538461538467,30.818181818181817,30.526315789473685,121.0,72.409090909090907,37.0,87.0,31.0,25.0,75.0,46.0,59.303588049590694,63.373878851700873,12.096717675154558,17.306428440725753,94.452633631889796,57.201127683503429,15.0,13.0,11.0,19.0,20.0,22.0,269.0,201.0,48.0,65.0,286.0,201.0,19.0,17.0,13.0,6.0,18.0,17.0,1211.0,741.0,445.0,0.0,603.0,201.83333333333334,105.85714285714286,63.571428571428569,0.0,120.59999999999999,63.571428571428569,319.375,143.5,123.0,67.0,0.0,114.0,67.0,276.5,172.79411319705181,36.976550760210849,13.091514622152809,0.0,47.894049734805265,13.091514622152809,198.47162108220914,6.0,7.0,7.0,0.0,5.0,7.0,8.0,551.0,142.0,79.0,0.0,175.0,79.0,798.0,34.0,32.0,39.0,0.0,41.0,39.0,102.0,2028.0,0.0,972.0,0.0,0.0,289.71428571428572,0.0,138.85714285714286,0.0,0.0,138.85714285714286,289.71428571428572,261.0,0.0,129.0,0.0,0.0,129.0,261.0,87.414798168133458,0.0,136.51941627625047,0.0,0.0,136.51941627625047,87.414798168133458,7.0,0.0,7.0,0.0,0.0,7.0,7.0,412.0,0.0,433.0,0.0,0.0,433.0,412.0,156.0,0.0,12.0,0.0,0.0,12.0,156.0
3,1,3000,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0
3,1,6000,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0
3,2,0,918.0,1542.0,91.0,449.0,51.0,77.099999999999994,30.333333333333332,29.933333333333334,159.4375,74.227272727272734,38.0,45.5,24.0,26.0,68.0,45.5,38.734136537856799,64.635052409663913,14.197026292697903,16.047706655123307,187.71087100578379,62.919090771172733,18.0,20.0,3.0,15.0,16.0,22.0,160.0,253.0,50.0,74.0,698.0,253.0,12.0,14.0,17.0,13.0,15.0,14.0,54.0,2570.0,123.0,48.0,205.0,54.0,642.5,61.5,48.0,205.0,57.0,707.25,54.0,461.5,61.5,48.0,205.0,48.0,591.0,0.0,485.5164775782589,24.5,0.0,0.0,20.992061991778385,467.94464149084985,1.0,4.0,2.0,1.0,1.0,3.0,4.0,54.0,1459.0,86.0,48.0,205.0,86.0,1459.0,54.0,188.0,37.0,48.0,205.0,37.0,188.0,2714.0,0.0,286.0,0.0,0.0,678.5,0.0,95.333333333333329,0.0,0.0,95.333333333333329,678.5,469.0,0.0,78.0,0.0,0.0,78.0,469.0,504.68083973933466,0.0,74.499813571727969,0.0,0.0,74.499813571727969,504.68083973933466,4.0,0.0,3.0,0.0,0.0,3.0,4.0,1532.0,0.0,194.0,0.0,0.0,194.0,1532.0,244.0,0.0,14.0,0.0,0.0,14.0,244.0
