Dyad,Cov,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency
1,1,917.0,526.0,1256.0,6301.0,21.833333333333332,19.481481481481481,25.632653061224488,63.009999999999998,27.262626262626263,27.0,17.0,14.0,20.0,34.5,20.0,18.5,16.489414593938552,18.471941425508984,19.866589610629816,71.811349381556681,22.530153020406818,21.988977955220008,42.0,27.0,49.0,100.0,99.0,66.0,710.0,5327.0,1504.0,0.0,1459.0,47.333333333333336,253.66666666666666,83.555555555555557,0.0,112.23076923076923,83.555555555555557,394.5263157894737,36.0,124.0,57.5,0.0,98.0,57.5,313.0,31.363814960697766,224.41804810990652,53.754816034598988,0.0,67.788306055468169,53.754816034598988,271.70676306811521,15.0,21.0,18.0,0.0,13.0,18.0,19.0,7629.0,0.0,1371.0,0.0,0.0,476.8125,0.0,91.400000000000006,0.0,0.0,91.400000000000006,476.8125,331.0,0.0,62.0,0.0,0.0,62.0,331.0,357.29683366040342,0.0,71.698256603630185,0.0,0.0,71.698256603630185,357.29683366040342,16.0,0.0,15.0,0.0,0.0,15.0,16.0
1,2,4971.0,347.0,239.0,3443.0,160.35483870967741,24.785714285714285,34.142857142857146,81.976190476190482,129.23255813953489,27.904761904761905,41.0,17.5,19.0,49.5,35.0,18.0,263.18956107192406,18.883774484342641,36.1205464735934,75.407934436395465,236.5122384570565,26.307530629088955,31.0,14.0,7.0,42.0,43.0,21.0,0.0,8773.0,188.0,39.0,0.0,0.0,2193.25,94.0,39.0,0.0,75.666666666666671,2193.25,0.0,2365.5,94.0,39.0,0.0,90.0,2365.5,0.0,1063.7566392272247,4.0,0.0,0.0,26.132142830026183,1063.7566392272247,0.0,4.0,2.0,1.0,0.0,3.0,4.0,7998.0,0.0,1002.0,0.0,0.0,499.875,0.0,66.799999999999997,0.0,0.0,66.799999999999997,499.875,46.5,0.0,43.0,0.0,0.0,43.0,46.5,935.02532552599882,0.0,51.43824776694219,0.0,0.0,51.43824776694219,935.02532552599882,16.0,0.0,15.0,0.0,0.0,15.0,16.0
3,1,3647.0,3449.0,948.0,956.0,93.512820512820511,90.763157894736835,36.46153846153846,28.969696969696969,236.58823529411765,86.215686274509807,53.0,61.0,30.5,25.0,183.5,60.0,137.23176573935839,78.693086103888561,24.802653036180143,16.603184887033606,251.69205246363339,72.023502080779224,39.0,38.0,26.0,33.0,34.0,51.0,4905.0,2311.0,912.0,0.0,872.0,408.75,177.76923076923077,76.0,0.0,124.57142857142857,76.0,622.15384615384619,213.0,137.0,73.5,0.0,114.0,73.5,363.0,360.18609194877769,141.70562870648644,25.45911755475171,0.0,71.649657845573529,25.45911755475171,428.61186425192989,12.0,13.0,12.0,0.0,7.0,12.0,13.0,5109.0,0.0,3891.0,0.0,0.0,425.75,0.0,353.72727272727275,0.0,0.0,353.72727272727275,425.75,361.0,0.0,315.0,0.0,0.0,315.0,361.0,221.99028694967714,0.0,296.35301152176021,0.0,0.0,296.35301152176021,221.99028694967714,12.0,0.0,11.0,0.0,0.0,11.0,12.0
3,2,3249.0,4504.0,340.0,907.0,66.306122448979593,86.615384615384613,34.0,28.34375,245.24242424242425,83.517241379310349,60.0,52.5,29.0,24.0,156.0,51.0,46.096263110144847,65.141312026580934,18.552627846210896,16.036305245832033,225.01178828419256,64.695637911715536,49.0,52.0,10.0,32.0,33.0,58.0,212.0,8045.0,490.0,48.0,205.0,42.399999999999999,893.88888888888891,70.0,48.0,205.0,67.25,940.22222222222217,38.0,1009.0,81.0,48.0,205.0,80.5,1037.0,12.043255373859678,445.61703648971564,20.339967692065926,0.0,0.0,20.370014727535178,422.18841969954019,5.0,9.0,7.0,1.0,1.0,8.0,9.0,7867.0,0.0,1133.0,0.0,0.0,715.18181818181813,0.0,113.3,0.0,0.0,113.3,715.18181818181813,602.0,0.0,70.0,0.0,0.0,70.0,602.0,516.65212811678543,0.0,95.200892852955946,0.0,0.0,95.200892852955946,516.65212811678543,11.0,0.0,10.0,0.0,0.0,10.0,11.0
5,1,1634.0,1136.0,526.0,5704.0,60.518518518518519,35.5,20.23076923076923,85.134328358208961,49.194029850746269,35.361702127659576,51.0,37.0,18.5,49.0,37.0,29.0,46.062252860080058,17.933906434460955,10.674584093168697,99.287896712057119,38.373746780439077,21.054564908488139,27.0,32.0,26.0,67.0,67.0,47.0,2511.0,4598.0,1676.0,215.0,0.0,132.15789473684211,170.2962962962963,72.869565217391298,53.75,0.0,72.730769230769226,263.2962962962963,109.0,130.0,62.0,53.5,0.0,63.0,262.0,101.59271791034028,108.99467021111964,26.97229552518511,9.0657321822343722,0.0,28.014498570874235,152.56785128440998,19.0,27.0,23.0,4.0,0.0,26.0,27.0,6916.0,0.0,2084.0,0.0,0.0,532.0,0.0,173.66666666666666,0.0,0.0,173.66666666666666,532.0,413.0,0.0,127.0,0.0,0.0,127.0,413.0,380.42547031125355,0.0,114.99082088970793,0.0,0.0,114.99082088970793,380.42547031125355,13.0,0.0,12.0,0.0,0.0,12.0,13.0
5,2,1807.0,3862.0,550.0,2781.0,69.5,83.956521739130437,27.5,54.529411764705884,119.59615384615384,93.872340425531917,40.0,53.0,27.0,34.0,75.0,72.0,115.57756303419396,90.112238352763043,10.027462291128298,65.796284817095938,156.09517062644642,93.025189226857364,26.0,46.0,20.0,51.0,52.0,47.0,332.0,8298.0,262.0,108.0,0.0,332.0,1037.25,52.399999999999999,54.0,0.0,52.857142857142854,1078.75,332.0,977.0,57.0,54.0,0.0,57.0,977.0,0.0,347.6674956046366,11.586198686368192,8.0,0.0,10.709522750852178,428.12228101326377,1.0,8.0,5.0,2.0,0.0,7.0,8.0,7826.0,0.0,1174.0,0.0,0.0,1304.3333333333333,0.0,234.80000000000001,0.0,0.0,234.80000000000001,1304.3333333333333,1229.0,0.0,17.0,0.0,0.0,17.0,1229.0,444.75486381701199,0.0,427.70241991365913,0.0,0.0,427.70241991365913,444.75486381701199,6.0,0.0,5.0,0.0,0.0,5.0,6.0
6,1,1691.0,1802.0,429.0,5078.0,33.156862745098039,40.954545454545453,33.0,59.741176470588236,45.604651162790695,43.745098039215684,29.0,27.5,23.0,33.0,30.5,32.0,25.006173785938014,43.807406257106884,26.065007488673686,70.08635898848631,47.232300504261111,42.832021710560397,51.0,44.0,13.0,85.0,86.0,51.0,2850.0,4462.0,1419.0,269.0,0.0,190.0,247.88888888888889,101.35714285714286,89.666666666666671,0.0,99.294117647058826,406.22222222222223,144.0,141.5,82.0,84.0,0.0,84.0,336.5,145.09858717437604,231.36188317796498,59.81711071837119,23.612614331233114,0.0,55.361660874739734,306.95594246941033,15.0,18.0,14.0,3.0,0.0,17.0,18.0,6240.0,0.0,2760.0,0.0,0.0,328.42105263157896,0.0,153.33333333333334,0.0,0.0,153.33333333333334,328.42105263157896,261.0,0.0,110.0,0.0,0.0,110.0,261.0,274.49040167083854,0.0,135.5244955308408,0.0,0.0,135.5244955308408,274.49040167083854,19.0,0.0,18.0,0.0,0.0,18.0,19.0
6,2,2263.0,1819.0,680.0,4238.0,53.88095238095238,37.895833333333336,42.5,61.420289855072461,68.028571428571425,41.649999999999999,45.5,24.0,34.0,25.0,44.5,28.5,40.896619013214504,40.422373952703744,26.544773496867514,82.959638483465511,105.91127977544917,40.346344320148766,42.0,48.0,16.0,69.0,70.0,60.0,1799.0,6617.0,544.0,40.0,0.0,224.875,827.125,77.714285714285708,40.0,0.0,73.0,935.11111111111109,129.5,675.5,62.0,40.0,0.0,53.0,827.0,311.04237552944454,638.431562013502,49.317381131125082,0.0,0.0,47.788596966221974,590.94960199560626,8.0,8.0,7.0,1.0,0.0,8.0,9.0,7035.0,0.0,1965.0,0.0,0.0,781.66666666666663,0.0,218.33333333333334,0.0,0.0,218.33333333333334,781.66666666666663,610.0,0.0,131.0,0.0,0.0,131.0,610.0,673.10738783314184,0.0,286.20777223703914,0.0,0.0,286.20777223703914,673.10738783314184,9.0,0.0,9.0,0.0,0.0,9.0,9.0
7,1,2036.0,38.0,2066.0,4860.0,81.439999999999998,19.0,50.390243902439025,88.36363636363636,76.666666666666671,50.095238095238095,24.0,19.0,34.0,58.0,33.0,35.0,128.07094284028676,5.0,37.280661336631475,71.670042844429176,110.74929980549496,36.909677092038457,25.0,2.0,41.0,55.0,54.0,42.0,1076.0,5505.0,1216.0,308.0,895.0,97.818181818181813,305.83333333333331,101.33333333333333,77.0,179.0,95.25,439.76470588235293,81.0,292.0,96.0,72.0,197.0,85.5,389.0,59.125164895896425,228.21730628698799,46.284146553892754,15.264337522473747,73.67767640201474,42.141873475202786,262.50210742274834,11.0,18.0,12.0,4.0,5.0,16.0,17.0,7203.0,0.0,1797.0,0.0,0.0,480.19999999999999,0.0,119.8,0.0,0.0,119.8,480.19999999999999,544.0,0.0,58.0,0.0,0.0,58.0,544.0,224.53186856212636,0.0,113.81458605995982,0.0,0.0,113.81458605995982,224.53186856212636,15.0,0.0,15.0,0.0,0.0,15.0,15.0
7,2,2219.0,41.0,3451.0,3289.0,100.86363636363636,20.5,172.55000000000001,93.971428571428575,158.63888888888889,158.72727272727272,39.5,20.5,121.5,59.0,54.0,101.5,133.72199637325784,5.5,155.72683615870451,82.50419408015766,229.39548004577617,154.78905934387603,22.0,2.0,20.0,35.0,36.0,22.0,14.0,8193.0,314.0,172.0,307.0,14.0,1365.5,78.5,43.0,102.33333333333333,97.200000000000003,1419.0,14.0,1257.0,82.5,32.0,112.0,104.0,1353.5,0.0,839.33977029567711,24.58149710656371,32.954514106568162,15.107025591499548,22.301569451498253,858.19617027033314,1.0,6.0,4.0,4.0,3.0,5.0,6.0,8030.0,0.0,970.0,0.0,0.0,1003.75,0.0,138.57142857142858,0.0,0.0,138.57142857142858,1003.75,1150.0,0.0,106.0,0.0,0.0,106.0,1150.0,434.00108006778049,0.0,85.481588899694216,0.0,0.0,85.481588899694216,434.00108006778049,8.0,0.0,7.0,0.0,0.0,7.0,8.0
