Dyad,Cov,StartFrame,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,86.0,35.0,179.0,1500.0,14.333333333333334,11.666666666666666,17.899999999999999,75.0,15.789473684210526,16.46153846153846,13.0,13.0,11.5,57.0,12.0,12.0,9.3392838174146,4.9888765156985881,17.728226081590904,68.538310454810599,14.233315060720344,15.949995826454167,6.0,3.0,10.0,20.0,19.0,13.0,27.0,17.0,69.0,215.0,69.0,69.0,4.0,5.0,7.0,4.0,4.0,5.0,166.0,1032.0,295.0,0.0,307.0,55.333333333333336,258.0,73.75,0.0,76.75,73.75,301.0,48.0,276.0,76.0,0.0,82.5,76.0,239.0,22.647050335284039,148.80188170853216,39.789288759664956,0.0,35.821606608302758,39.789288759664956,185.13022443674615,3.0,4.0,4.0,0.0,4.0,4.0,5.0,86.0,420.0,119.0,0.0,121.0,119.0,541.0,32.0,60.0,24.0,0.0,21.0,24.0,86.0,1580.0,0.0,220.0,0.0,0.0,395.0,0.0,73.333333333333329,0.0,0.0,73.333333333333329,395.0,411.5,0.0,80.0,0.0,0.0,80.0,411.5,167.64098544210481,0.0,35.424410918022176,0.0,0.0,35.424410918022176,167.64098544210481,4.0,0.0,3.0,0.0,0.0,3.0,4.0,565.0,0.0,113.0,0.0,0.0,113.0,565.0,192.0,0.0,27.0,0.0,0.0,27.0,192.0
1,1,1800,228.0,121.0,419.0,1032.0,25.333333333333332,17.285714285714285,32.230769230769234,46.909090909090907,34.909090909090907,36.0,15.0,16.0,24.0,26.0,29.0,32.0,24.431309602411591,6.755194524306793,24.841509449225835,53.723119359536533,26.922294058184786,25.395537665765875,9.0,7.0,13.0,22.0,22.0,15.0,91.0,31.0,107.0,204.0,107.0,107.0,7.0,8.0,9.0,8.0,7.0,9.0,13.0,1139.0,312.0,0.0,336.0,6.5,569.5,156.0,0.0,168.0,156.0,496.0,6.5,569.5,156.0,0.0,168.0,156.0,449.0,2.5,124.5,47.0,0.0,77.0,47.0,344.12885183702144,2.0,2.0,2.0,0.0,2.0,2.0,3.0,9.0,694.0,203.0,0.0,245.0,203.0,939.0,4.0,445.0,109.0,0.0,91.0,109.0,100.0,1497.0,0.0,303.0,0.0,0.0,748.5,0.0,151.5,0.0,0.0,151.5,748.5,748.5,0.0,151.5,0.0,0.0,151.5,748.5,179.5,0.0,78.5,0.0,0.0,78.5,179.5,2.0,0.0,2.0,0.0,0.0,2.0,2.0,928.0,0.0,230.0,0.0,0.0,230.0,928.0,569.0,0.0,73.0,0.0,0.0,73.0,569.0
1,1,3600,196.0,89.0,232.0,1283.0,24.5,14.833333333333334,25.777777777777779,61.095238095238095,24.61904761904762,21.399999999999999,20.5,13.0,16.0,44.0,23.0,16.0,12.206555615733702,8.8960040967216791,16.122984130859603,59.396893266442945,15.462631422935166,14.709634031250857,8.0,6.0,9.0,21.0,21.0,15.0,46.0,29.0,62.0,236.0,62.0,62.0,8.0,2.0,11.0,9.0,2.0,2.0,139.0,1043.0,307.0,0.0,311.0,46.333333333333336,173.83333333333334,61.399999999999999,0.0,103.66666666666667,61.399999999999999,248.83333333333334,42.0,121.0,54.0,0.0,106.0,54.0,157.0,25.901522906749882,117.27377749901675,25.523322667709234,0.0,32.293790252754306,25.523322667709234,207.24656544533829,3.0,6.0,5.0,0.0,3.0,5.0,6.0,80.0,431.0,110.0,0.0,142.0,110.0,709.0,17.0,86.0,39.0,0.0,63.0,39.0,120.0,1536.0,0.0,264.0,0.0,0.0,307.19999999999999,0.0,44.0,0.0,0.0,44.0,307.19999999999999,250.0,0.0,41.0,0.0,0.0,41.0,250.0,222.30915410751757,0.0,25.053276565484737,0.0,0.0,25.053276565484737,222.30915410751757,5.0,0.0,6.0,0.0,0.0,6.0,5.0,690.0,0.0,86.0,0.0,0.0,86.0,690.0,55.0,0.0,16.0,0.0,0.0,16.0,55.0
1,1,5400,223.0,211.0,224.0,1142.0,24.777777777777779,30.142857142857142,28.0,51.909090909090907,31.333333333333332,29.0,18.0,20.0,24.0,19.5,29.0,20.0,17.973918003458834,31.411683774529191,19.474342094150447,81.46438658083504,24.646710073766791,25.765610155140255,9.0,7.0,8.0,22.0,21.0,15.0,62.0,104.0,73.0,376.0,104.0,104.0,6.0,7.0,7.0,7.0,6.0,7.0,36.0,1234.0,218.0,0.0,312.0,36.0,411.33333333333331,109.0,0.0,104.0,109.0,527.33333333333337,36.0,324.0,109.0,0.0,77.0,109.0,389.0,0.0,290.77406272835884,75.0,0.0,74.739547764219182,75.0,251.29575315861501,1.0,3.0,2.0,0.0,3.0,2.0,3.0,36.0,803.0,184.0,0.0,206.0,184.0,880.0,36.0,107.0,34.0,0.0,29.0,34.0,313.0,1498.0,0.0,302.0,0.0,0.0,499.33333333333331,0.0,100.66666666666667,0.0,0.0,100.66666666666667,499.33333333333331,448.0,0.0,58.0,0.0,0.0,58.0,448.0,357.0259872271983,0.0,85.515430706328601,0.0,0.0,85.515430706328601,357.0259872271983,3.0,0.0,3.0,0.0,0.0,3.0,3.0,960.0,0.0,220.0,0.0,0.0,220.0,960.0,90.0,0.0,24.0,0.0,0.0,24.0,90.0
1,1,7200,184.0,70.0,202.0,1344.0,18.399999999999999,14.0,22.444444444444443,74.666666666666671,26.823529411764707,30.222222222222221,17.0,9.0,22.0,40.5,15.0,25.0,8.5111691323812853,9.7159662411928949,12.910900744126698,72.94137676548506,23.119218626419745,18.62362763193142,10.0,5.0,9.0,18.0,17.0,9.0,35.0,33.0,45.0,260.0,89.0,68.0,8.0,7.0,7.0,1.0,8.0,9.0,356.0,879.0,372.0,0.0,193.0,50.857142857142854,125.57142857142857,74.400000000000006,0.0,64.333333333333329,74.400000000000006,238.0,34.0,107.0,49.0,0.0,48.0,49.0,224.0,35.854581581830836,98.031856546528729,48.384294972645826,0.0,23.809428571238094,48.384294972645826,112.46925505814171,7.0,7.0,5.0,0.0,3.0,5.0,6.0,109.0,275.0,170.0,0.0,98.0,170.0,390.0,11.0,17.0,41.0,0.0,47.0,41.0,63.0,1518.0,0.0,282.0,0.0,0.0,379.5,0.0,94.0,0.0,0.0,94.0,379.5,334.0,0.0,52.0,0.0,0.0,52.0,334.0,266.65098912248573,0.0,78.502653882952686,0.0,0.0,78.502653882952686,266.65098912248573,4.0,0.0,3.0,0.0,0.0,3.0,4.0,777.0,0.0,204.0,0.0,0.0,204.0,777.0,73.0,0.0,26.0,0.0,0.0,26.0,73.0
1,2,0,237.0,100.0,47.0,1416.0,26.333333333333332,25.0,15.666666666666666,108.92307692307692,27.428571428571427,21.0,26.0,17.0,19.0,70.0,22.5,18.0,18.932629094883904,18.774983355518586,4.7140452079103161,96.629714762840578,18.756767486179811,15.240922356790428,9.0,4.0,3.0,13.0,14.0,7.0,65.0,57.0,19.0,297.0,65.0,57.0,5.0,9.0,9.0,10.0,5.0,9.0,0.0,1761.0,0.0,39.0,0.0,0.0,880.5,0.0,39.0,0.0,39.0,880.5,0.0,880.5,0.0,39.0,0.0,39.0,880.5,0.0,313.5,0.0,0.0,0.0,0.0,313.5,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1194.0,0.0,39.0,0.0,39.0,1194.0,0.0,567.0,0.0,39.0,0.0,39.0,567.0,1434.0,0.0,366.0,0.0,0.0,204.85714285714286,0.0,61.0,0.0,0.0,61.0,204.85714285714286,36.0,0.0,35.0,0.0,0.0,35.0,36.0,267.97783947367657,0.0,49.311932295000027,0.0,0.0,49.311932295000027,267.97783947367657,7.0,0.0,6.0,0.0,0.0,6.0,7.0,791.0,0.0,154.0,0.0,0.0,154.0,791.0,11.0,0.0,17.0,0.0,0.0,17.0,11.0
1,2,1800,1398.0,46.0,57.0,299.0,349.5,23.0,28.5,59.799999999999997,250.16666666666666,25.75,127.5,23.0,28.5,26.0,59.0,24.0,455.47475231894026,6.0,9.5,66.895141826593061,400.53814494446783,8.4075858604001183,4.0,2.0,2.0,5.0,6.0,4.0,1131.0,29.0,38.0,184.0,1131.0,38.0,12.0,17.0,19.0,7.0,12.0,17.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0
1,2,3600,566.0,158.0,7.0,1069.0,70.75,31.600000000000001,7.0,89.083333333333329,56.230769230769234,27.5,40.0,22.0,7.0,70.0,35.0,18.0,69.279776991557938,23.846173697262209,0.0,63.107657133575238,59.362191860520177,23.620259665521601,8.0,5.0,1.0,12.0,13.0,6.0,225.0,72.0,7.0,240.0,225.0,72.0,16.0,6.0,7.0,12.0,6.0,6.0,0.0,1702.0,98.0,0.0,0.0,0.0,851.0,98.0,0.0,0.0,98.0,851.0,0.0,851.0,98.0,0.0,0.0,98.0,851.0,0.0,370.0,0.0,0.0,0.0,0.0,370.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1221.0,98.0,0.0,0.0,98.0,1221.0,0.0,481.0,98.0,0.0,0.0,98.0,481.0,1194.0,0.0,606.0,0.0,0.0,132.66666666666666,0.0,75.75,0.0,0.0,75.75,132.66666666666666,54.0,0.0,66.5,0.0,0.0,66.5,54.0,217.63680244337763,0.0,53.504088628814152,0.0,0.0,53.504088628814152,217.63680244337763,9.0,0.0,8.0,0.0,0.0,8.0,9.0,740.0,0.0,164.0,0.0,0.0,164.0,740.0,13.0,0.0,8.0,0.0,0.0,8.0,13.0
1,2,5400,1242.0,43.0,14.0,501.0,155.25,14.333333333333334,14.0,62.625,144.33333333333334,14.25,74.0,13.0,14.0,46.0,64.0,13.5,187.93399772260474,5.7927157323275891,0.0,47.029080099444855,189.06730136235731,5.018714974971183,8.0,3.0,1.0,8.0,9.0,4.0,526.0,22.0,14.0,138.0,556.0,22.0,7.0,8.0,14.0,11.0,7.0,8.0,0.0,1710.0,90.0,0.0,0.0,0.0,855.0,90.0,0.0,0.0,90.0,855.0,0.0,855.0,90.0,0.0,0.0,90.0,855.0,0.0,589.0,0.0,0.0,0.0,0.0,589.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1444.0,90.0,0.0,0.0,90.0,1444.0,0.0,266.0,90.0,0.0,0.0,90.0,266.0,1770.0,0.0,30.0,0.0,0.0,885.0,0.0,30.0,0.0,0.0,30.0,885.0,885.0,0.0,30.0,0.0,0.0,30.0,885.0,717.0,0.0,0.0,0.0,0.0,0.0,717.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1602.0,0.0,30.0,0.0,0.0,30.0,1602.0,168.0,0.0,30.0,0.0,0.0,30.0,168.0
1,2,7200,1528.0,0.0,114.0,158.0,305.60000000000002,0.0,114.0,39.5,328.39999999999998,114.0,349.0,0.0,114.0,18.5,349.0,114.0,106.6800824896569,0.0,0.0,41.427647772954721,132.08118715396225,0.0,5.0,0.0,1.0,4.0,5.0,1.0,393.0,0.0,114.0,111.0,507.0,114.0,104.0,0.0,114.0,10.0,104.0,114.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0
