Dyad,Cov,SectionStartTime,GazeID,Start,End,Duration,GazeType,S+H_NoSound_Overall_Time,S+H_Sound_Overall_Time,S+H_NoSound_Mean,S+H_Sound_Mean,S+H_NoSound_Median,S+H_Sound_Median,S+H_NoSound_PopularSD,S+H_Sound_PopularSD,S+H_NoSound_Frequency,S+H_Sound_Frequency,S+H_NoSound_Max,S+H_Sound_Max,S+H_NoSound_Min,S+H_Sound_Min
1,1,0,0,0,93,94,4,94.0,0.0,94.0,0.0,94.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,94.0,0.0
1,1,0,1,94,117,24,1,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,24.0,0.0
1,1,0,2,118,135,18,4,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,18.0,0.0
1,1,0,3,136,148,13,2,6.0,7.0,6.0,7.0,6.0,7.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,7.0
1,1,0,4,149,345,197,4,153.0,44.0,76.5,22.0,76.5,22.0,50.5,5.0,2.0,2.0,127.0,27.0,26.0,17.0
1,1,0,5,346,350,5,1,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0
1,1,0,6,351,354,4,4,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0
1,1,0,7,355,371,17,2,17.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,17.0,0.0
1,1,0,8,372,385,14,4,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,0,9,386,390,5,2,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0
1,1,0,10,391,537,147,4,49.0,98.0,24.5,49.0,24.5,49.0,10.5,3.0,2.0,2.0,35.0,52.0,14.0,46.0
1,1,0,11,538,544,7,1,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0
1,1,0,12,545,653,109,4,88.0,21.0,88.0,21.0,88.0,21.0,0.0,0.0,1.0,1.0,88.0,21.0,88.0,21.0
1,1,0,13,654,662,9,3,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,14,663,674,12,4,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0
1,1,0,15,675,699,25,3,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,25.0,0.0
1,1,0,16,700,708,9,4,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,17,709,719,11,3,11.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
1,1,0,18,720,914,195,4,195.0,0.0,195.0,0.0,195.0,0.0,0.0,0.0,1.0,0.0,195.0,0.0,195.0,0.0
1,1,0,19,915,928,14,3,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,14.0,0.0
1,1,0,20,929,943,15,4,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
1,1,0,21,944,962,19,1,19.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,19.0,0.0
1,1,0,22,963,1052,90,4,29.0,61.0,29.0,61.0,29.0,61.0,0.0,0.0,1.0,1.0,29.0,61.0,29.0,61.0
1,1,0,23,1053,1056,4,1,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0
1,1,0,24,1057,1271,215,4,48.0,167.0,24.0,83.5,24.0,83.5,13.0,29.5,2.0,2.0,37.0,113.0,11.0,54.0
1,1,0,25,1272,1279,8,3,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
1,1,0,26,1280,1288,9,4,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
1,1,0,27,1289,1295,7,3,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0
1,1,0,28,1296,1337,42,4,42.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,42.0,0.0
1,1,0,29,1338,1352,15,3,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
1,1,0,30,1353,1365,13,4,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0
1,1,0,31,1366,1392,27,1,27.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,27.0,0.0
