Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,0,0,181,182,7,24.0,13.0,0.0,145.0,24.0,13.0,0.0,48.333333333333336,18.5,13.0,48.333333333333336,24.0,13.0,0.0,55.0,18.5,13.0,55.0,0.0,0.0,0.0,22.543784558547888,5.5,0.0,22.543784558547888,1.0,1.0,0.0,3.0,2.0,1.0,3.0,24.0,13.0,0.0,72.0,24.0,13.0,72.0,24.0,13.0,0.0,18.0,13.0,13.0,18.0,182.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,182.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,182.0
1,1,0,1,182,205,24,6,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
1,1,0,2,206,444,239,7,5.0,22.0,0.0,212.0,5.0,11.0,0.0,53.0,9.0,11.0,53.0,5.0,11.0,0.0,53.5,5.0,11.0,53.5,0.0,6.0,0.0,44.232341109192944,5.6568542494923806,6.0,44.232341109192944,1.0,2.0,0.0,4.0,3.0,2.0,4.0,5.0,17.0,0.0,101.0,17.0,17.0,101.0,5.0,5.0,0.0,4.0,5.0,5.0,4.0,212.0,0.0,27.0,0.0,0.0,106.0,0.0,27.0,0.0,0.0,27.0,106.0,106.0,0.0,27.0,0.0,0.0,27.0,106.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,186.0,0.0,27.0,0.0,0.0,27.0,186.0,26.0,0.0,27.0,0.0,0.0,27.0,26.0
1,1,0,3,445,490,46,6,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
1,1,0,4,491,1031,541,7,36.0,0.0,59.0,446.0,9.0,0.0,14.75,49.555555555555557,11.875,14.75,101.0,6.5,0.0,12.5,15.0,10.0,12.5,55.0,5.873670062235365,0.0,6.1796035471541373,53.576759287982966,6.6790250036962728,6.1796035471541373,122.16709868045487,4.0,0.0,4.0,9.0,8.0,4.0,5.0,19.0,0.0,25.0,163.0,25.0,25.0,338.0,4.0,0.0,9.0,8.0,4.0,9.0,8.0,461.0,0.0,80.0,0.0,0.0,230.5,0.0,80.0,0.0,0.0,80.0,230.5,230.5,0.0,80.0,0.0,0.0,80.0,230.5,195.5,0.0,0.0,0.0,0.0,0.0,195.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,426.0,0.0,80.0,0.0,0.0,80.0,426.0,35.0,0.0,80.0,0.0,0.0,80.0,35.0
1,1,0,5,1032,1150,119,6,0.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0
1,1,0,6,1151,1647,497,7,27.0,0.0,120.0,350.0,27.0,0.0,20.0,43.75,21.0,20.0,235.0,27.0,0.0,10.5,47.0,12.0,10.5,235.0,0.0,0.0,22.075627586397932,24.355440870573457,20.584321356660894,22.075627586397932,59.0,1.0,0.0,6.0,8.0,7.0,6.0,2.0,27.0,0.0,69.0,82.0,69.0,69.0,294.0,27.0,0.0,7.0,9.0,7.0,7.0,176.0,384.0,0.0,113.0,0.0,0.0,192.0,0.0,113.0,0.0,0.0,113.0,192.0,192.0,0.0,113.0,0.0,0.0,113.0,192.0,181.0,0.0,0.0,0.0,0.0,0.0,181.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,373.0,0.0,113.0,0.0,0.0,113.0,373.0,11.0,0.0,113.0,0.0,0.0,113.0,11.0
1,1,0,7,1648,1753,106,6,0.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0
1,1,0,8,1754,2288,535,7,28.0,22.0,255.0,230.0,14.0,11.0,42.5,38.333333333333336,50.833333333333336,46.166666666666664,121.25,14.0,11.0,35.0,22.5,41.5,35.0,108.5,1.0,3.0,30.944843404569578,40.786708074513143,31.280540631872434,30.818915548012971,108.03095621163408,2.0,2.0,6.0,6.0,6.0,6.0,4.0,15.0,14.0,107.0,127.0,107.0,107.0,260.0,13.0,8.0,9.0,8.0,9.0,9.0,8.0,535.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0,535.0,0.0,0.0,0.0,0.0,0.0,535.0
1,1,0,9,2289,2397,109,6,0.0,16.0,8.0,85.0,0.0,16.0,8.0,85.0,24.0,24.0,46.5,0.0,16.0,8.0,85.0,24.0,24.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,16.0,8.0,85.0,24.0,24.0,85.0,0.0,16.0,8.0,85.0,24.0,24.0,8.0,109.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0
