Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min
1,1,0,0,0,231,232,1,24.0,13.0,0.0,195.0,24.0,13.0,0.0,65.0,18.5,13.0,24.0,13.0,0.0,55.0,18.5,13.0,0.0,0.0,0.0,43.042614542644444,5.5,0.0,1.0,1.0,0.0,3.0,2.0,1.0,24.0,13.0,0.0,122.0,24.0,13.0,24.0,13.0,0.0,18.0,13.0,13.0,26.0,60.0,24.0,0.0,122.0,26.0,60.0,24.0,0.0,122.0,24.0,104.0,26.0,60.0,24.0,0.0,122.0,24.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,26.0,60.0,24.0,0.0,122.0,24.0,182.0,26.0,60.0,24.0,0.0,122.0,24.0,26.0
1,1,0,1,232,258,27,3,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,5.0,0.0,27.0,22.0,0.0,0.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,0.0,5.0,0.0,27.0,22.0,0.0,0.0,0.0,5.0,0.0,27.0
1,1,0,2,259,525,267,1,12.0,22.0,0.0,233.0,6.0,11.0,0.0,46.600000000000001,8.5,11.0,6.0,11.0,0.0,20.0,6.0,11.0,1.0,6.0,0.0,52.282310583982422,4.9749371855330997,6.0,2.0,2.0,0.0,5.0,4.0,2.0,7.0,17.0,0.0,147.0,17.0,17.0,5.0,5.0,0.0,4.0,5.0,5.0,0.0,170.0,46.0,0.0,51.0,0.0,170.0,46.0,0.0,25.5,46.0,110.5,0.0,170.0,46.0,0.0,25.5,46.0,110.5,0.0,0.0,0.0,0.0,9.5,0.0,75.5,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,170.0,46.0,0.0,35.0,46.0,186.0,0.0,170.0,46.0,0.0,16.0,46.0,35.0
1,1,0,3,526,605,80,3,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0
1,1,0,4,606,1161,556,1,29.0,0.0,59.0,468.0,9.6666666666666661,0.0,14.75,58.5,12.571428571428571,14.75,6.0,0.0,12.5,20.5,11.0,12.5,6.6499791144200016,0.0,6.1796035471541373,60.450392885406458,6.8630926568367503,6.1796035471541373,3.0,0.0,4.0,8.0,7.0,4.0,19.0,0.0,25.0,163.0,25.0,25.0,4.0,0.0,9.0,9.0,4.0,9.0,11.0,420.0,119.0,0.0,6.0,11.0,420.0,119.0,0.0,6.0,119.0,218.5,11.0,420.0,119.0,0.0,6.0,119.0,218.5,0.0,0.0,0.0,0.0,0.0,0.0,207.5,1.0,1.0,1.0,0.0,1.0,1.0,2.0,11.0,420.0,119.0,0.0,6.0,119.0,426.0,11.0,420.0,119.0,0.0,6.0,119.0,11.0
1,1,0,5,1162,1274,113,3,0.0,0.0,15.0,98.0,0.0,0.0,7.5,32.666666666666664,7.5,7.5,0.0,0.0,7.5,18.0,7.5,7.5,0.0,0.0,0.5,27.35365098523819,0.5,0.5,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,8.0,71.0,8.0,8.0,0.0,0.0,7.0,9.0,7.0,7.0,21.0,9.0,0.0,0.0,83.0,21.0,9.0,0.0,0.0,83.0,0.0,113.0,21.0,9.0,0.0,0.0,83.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,9.0,0.0,0.0,83.0,0.0,113.0,21.0,9.0,0.0,0.0,83.0,0.0,113.0
1,1,0,6,1275,2408,1134,1,55.0,38.0,368.0,673.0,18.333333333333332,12.666666666666666,36.799999999999997,56.083333333333336,41.909090909090907,40.600000000000001,15.0,14.0,29.0,31.0,34.0,33.0,6.182412330330469,3.39934634239519,29.818786024920595,66.213616843935924,30.598438894981513,30.85190431723786,3.0,3.0,10.0,12.0,11.0,10.0,27.0,16.0,107.0,259.0,107.0,107.0,13.0,8.0,9.0,8.0,9.0,9.0,90.0,818.0,215.0,0.0,11.0,90.0,409.0,107.5,0.0,11.0,107.5,306.33333333333331,90.0,409.0,107.5,0.0,11.0,107.5,373.0,0.0,36.0,1.5,0.0,0.0,1.5,219.05453405234252,1.0,2.0,2.0,0.0,1.0,2.0,3.0,90.0,445.0,109.0,0.0,11.0,109.0,535.0,90.0,373.0,106.0,0.0,11.0,106.0,11.0
1,1,0,7,2409,2638,230,3,22.0,0.0,13.0,195.0,22.0,0.0,13.0,97.5,17.5,13.0,22.0,0.0,13.0,97.5,17.5,13.0,0.0,0.0,0.0,24.5,4.5,0.0,1.0,0.0,1.0,2.0,2.0,1.0,22.0,0.0,13.0,122.0,22.0,13.0,22.0,0.0,13.0,73.0,13.0,13.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,230.0,0.0,230.0,0.0,0.0,0.0,0.0,230.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,230.0,0.0,230.0,0.0,0.0,0.0,0.0,230.0,0.0,230.0
1,1,0,8,2639,3566,928,1,178.0,85.0,143.0,522.0,29.666666666666668,21.25,20.428571428571427,34.799999999999997,27.066666666666666,25.333333333333332,20.0,19.5,17.0,17.0,24.0,24.0,28.836705005176224,6.0156047077579826,11.986386836230304,47.076108590239265,22.034720077388975,15.726834816113932,6.0,4.0,7.0,15.0,15.0,9.0,91.0,31.0,39.0,204.0,91.0,57.0,7.0,15.0,8.0,4.0,7.0,8.0,9.0,694.0,203.0,0.0,22.0,9.0,694.0,203.0,0.0,11.0,203.0,362.5,9.0,694.0,203.0,0.0,11.0,203.0,362.5,0.0,0.0,0.0,0.0,7.0,0.0,335.5,1.0,1.0,1.0,0.0,2.0,1.0,2.0,9.0,694.0,203.0,0.0,18.0,203.0,698.0,9.0,694.0,203.0,0.0,4.0,203.0,27.0
1,1,0,9,3567,3690,124,3,16.0,0.0,0.0,108.0,16.0,0.0,0.0,54.0,16.0,0.0,16.0,0.0,0.0,54.0,16.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,16.0,0.0,0.0,100.0,16.0,0.0,16.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0
1,1,0,10,3691,4085,395,1,25.0,23.0,76.0,271.0,25.0,23.0,19.0,45.166666666666664,20.666666666666668,19.800000000000001,25.0,23.0,17.5,17.5,21.5,20.0,0.0,0.0,6.4420493633625631,47.621482080627814,5.79271573232759,5.9799665550904209,1.0,1.0,4.0,6.0,6.0,5.0,25.0,23.0,29.0,129.0,29.0,29.0,25.0,23.0,12.0,5.0,12.0,12.0,0.0,283.0,100.0,0.0,12.0,0.0,94.333333333333329,50.0,0.0,12.0,50.0,98.333333333333329,0.0,86.0,50.0,0.0,12.0,50.0,98.0,0.0,54.615830021056063,11.0,0.0,0.0,11.0,54.297534218620115,0.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,165.0,61.0,0.0,12.0,61.0,165.0,0.0,32.0,39.0,0.0,12.0,39.0,32.0
