Dyad,Cov,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,957.0,526.0,1256.0,6261.0,21.75,19.481481481481481,25.632653061224488,61.990099009900987,27.118811881188119,27.0,112.19402985074628,17.0,14.0,20.0,33.0,20.0,18.5,62.0,16.388916709443944,18.47194142550898,19.866589610629816,70.95857040450845,22.415644787996641,21.988977955220008,121.32997301745772,44.0,27.0,49.0,101.0,101.0,66.0,67.0,91.0,104.0,107.0,376.0,107.0,107.0,660.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,684.0,5353.0,1504.0,0.0,1459.0,45.600000000000001,254.9047619047619,83.555555555555557,0.0,112.23076923076923,83.555555555555557,394.5263157894737,36.0,124.0,57.5,0.0,121.0,57.5,313.0,28.495145785437444,223.42675475248933,53.754816034598988,0.0,71.06784823852793,53.754816034598988,272.6272505244695,15.0,21.0,18.0,0.0,13.0,18.0,19.0,96.0,803.0,203.0,0.0,245.0,203.0,1028.0,9.0,17.0,24.0,0.0,8.0,24.0,23.0,7629.0,0.0,1371.0,0.0,0.0,476.8125,0.0,91.400000000000006,0.0,0.0,91.400000000000006,476.8125,331.0,0.0,62.0,0.0,0.0,62.0,331.0,357.41576258434657,0.0,71.698256603630185,0.0,0.0,71.698256603630185,357.41576258434657,16.0,0.0,15.0,0.0,0.0,15.0,16.0,1134.0,0.0,230.0,0.0,0.0,230.0,1134.0,55.0,0.0,16.0,0.0,0.0,16.0,55.0
1,2,5008.0,347.0,247.0,3398.0,161.54838709677421,24.785714285714285,30.875,77.227272727272734,127.31818181818181,27.0,88.902439024390247,41.0,17.5,16.5,48.5,34.0,17.5,52.0,263.49265016494661,18.883774484342641,34.876344060121895,68.27646461142163,234.86783253636625,26.034941555881815,73.827024227218331,31.0,14.0,8.0,44.0,44.0,22.0,41.0,1356.0,72.0,114.0,275.0,1356.0,114.0,275.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,0.0,8773.0,188.0,39.0,0.0,0.0,2193.25,94.0,39.0,0.0,75.666666666666671,2193.25,0.0,2351.5,94.0,39.0,0.0,90.0,2351.5,0.0,1054.0323465150393,4.0,0.0,0.0,26.132142830026183,1054.0323465150393,0.0,4.0,2.0,1.0,0.0,3.0,4.0,0.0,3475.0,98.0,39.0,0.0,98.0,3475.0,0.0,595.0,90.0,39.0,0.0,39.0,595.0,7808.0,0.0,1192.0,0.0,0.0,867.55555555555554,0.0,149.0,0.0,0.0,149.0,867.55555555555554,190.0,0.0,89.0,0.0,0.0,89.0,190.0,1110.9043474286175,0.0,124.03124606324005,0.0,0.0,124.03124606324005,1110.9043474286175,9.0,0.0,8.0,0.0,0.0,8.0,9.0,3331.0,0.0,376.0,0.0,0.0,376.0,3331.0,34.0,0.0,8.0,0.0,0.0,8.0,34.0
3,1,4380.0,2900.0,777.0,943.0,81.111111111111114,59.183673469387756,31.079999999999998,26.942857142857143,223.80555555555554,60.278688524590166,39.090909090909093,48.0,47.0,30.0,25.0,173.0,52.0,26.0,119.6944670070374,46.319508593049015,15.566425408551574,15.393770274539831,248.37469671674651,43.026919194025645,29.548741075950318,54.0,49.0,25.0,35.0,36.0,61.0,44.0,871.0,206.0,70.0,63.0,1247.0,206.0,156.0,5.0,12.0,12.0,5.0,18.0,12.0,5.0,4803.0,2311.0,912.0,0.0,974.0,436.63636363636363,177.76923076923077,76.0,0.0,139.14285714285714,76.0,622.15384615384619,269.0,137.0,73.5,0.0,114.0,73.5,363.0,363.58799678339039,141.70562870648644,25.45911755475171,0.0,100.7492340579585,25.45911755475171,428.61186425192989,11.0,13.0,12.0,0.0,7.0,12.0,13.0,1021.0,623.0,142.0,0.0,355.0,142.0,1491.0,34.0,32.0,39.0,0.0,41.0,39.0,102.0,5109.0,0.0,3891.0,0.0,0.0,425.75,0.0,353.72727272727275,0.0,0.0,353.72727272727275,425.75,361.0,0.0,315.0,0.0,0.0,315.0,361.0,221.99028694967714,0.0,296.35301152176021,0.0,0.0,296.35301152176021,221.99028694967714,12.0,0.0,11.0,0.0,0.0,11.0,12.0,859.0,0.0,882.0,0.0,0.0,882.0,859.0,156.0,0.0,12.0,0.0,0.0,12.0,156.0
3,2,3567.0,4186.0,340.0,907.0,63.696428571428569,73.438596491228068,34.0,28.34375,245.24242424242425,71.841269841269835,31.974358974358974,58.5,47.0,29.0,24.0,156.0,46.0,27.0,43.669996091979094,56.24570706233893,18.552627846210896,16.036305245832033,225.01178828419262,56.220994313175453,17.841879830083414,56.0,57.0,10.0,32.0,33.0,63.0,39.0,215.0,216.0,74.0,74.0,755.0,216.0,74.0,12.0,14.0,12.0,9.0,15.0,12.0,9.0,212.0,8045.0,490.0,48.0,205.0,42.399999999999999,893.88888888888891,70.0,48.0,205.0,67.25,940.22222222222217,38.0,1009.0,81.0,48.0,205.0,80.5,1037.0,12.043255373859678,445.61703648971564,20.339967692065926,0.0,0.0,20.370014727535178,422.18841969954013,5.0,9.0,7.0,1.0,1.0,8.0,9.0,59.0,1459.0,86.0,48.0,205.0,86.0,1459.0,28.0,188.0,37.0,48.0,205.0,37.0,188.0,7867.0,0.0,1133.0,0.0,0.0,715.18181818181813,0.0,113.3,0.0,0.0,113.3,715.18181818181813,602.0,0.0,70.0,0.0,0.0,70.0,602.0,516.65212811678543,0.0,95.200892852955946,0.0,0.0,95.200892852955946,516.65212811678543,11.0,0.0,10.0,0.0,0.0,10.0,11.0,1532.0,0.0,339.0,0.0,0.0,339.0,1532.0,34.0,0.0,14.0,0.0,0.0,14.0,34.0
5,1,1634.0,1136.0,526.0,5704.0,60.518518518518519,35.5,20.23076923076923,85.134328358208961,49.194029850746269,35.361702127659576,113.27272727272727,51.0,37.0,18.5,49.0,37.0,29.0,53.0,46.062252860080058,17.933906434460955,10.674584093168697,99.287896712057105,38.373746780439077,21.054564908488139,152.37208698630462,27.0,32.0,26.0,67.0,67.0,47.0,55.0,204.0,104.0,60.0,543.0,204.0,104.0,718.0,5.0,14.0,7.0,6.0,8.0,8.0,6.0,2438.0,4671.0,1676.0,215.0,0.0,128.31578947368422,173.0,72.869565217391298,53.75,0.0,72.730769230769226,263.2962962962963,98.0,130.0,62.0,53.5,0.0,63.0,262.0,101.6961690690662,109.88040636848639,26.97229552518511,9.0657321822343722,0.0,28.014498570874238,152.56785128440998,19.0,27.0,23.0,4.0,0.0,26.0,27.0,382.0,482.0,153.0,66.0,0.0,153.0,646.0,18.0,23.0,37.0,42.0,0.0,37.0,52.0,6916.0,0.0,2084.0,0.0,0.0,532.0,0.0,173.66666666666666,0.0,0.0,173.66666666666666,532.0,413.0,0.0,127.0,0.0,0.0,127.0,413.0,380.42547031125355,0.0,114.99082088970793,0.0,0.0,114.99082088970793,380.42547031125355,13.0,0.0,12.0,0.0,0.0,12.0,13.0,1302.0,0.0,457.0,0.0,0.0,457.0,1302.0,79.0,0.0,50.0,0.0,0.0,50.0,79.0
5,2,1807.0,3862.0,500.0,2831.0,69.5,83.956521739130437,26.315789473684209,54.442307692307693,116.39622641509433,94.826086956521735,58.438596491228068,40.0,53.0,26.0,35.5,75.0,73.0,40.0,115.57756303419396,90.112238352763029,8.8201481762165166,65.163526095018028,154.91827908064053,93.803287313265557,66.900034758299952,26.0,46.0,19.0,52.0,53.0,46.0,57.0,632.0,502.0,43.0,378.0,724.0,523.0,378.0,10.0,7.0,11.0,11.0,7.0,7.0,13.0,332.0,8286.0,274.0,108.0,0.0,332.0,1035.75,54.799999999999997,54.0,0.0,54.571428571428569,1077.25,332.0,971.0,58.0,54.0,0.0,58.0,971.0,0.0,348.07066452086997,11.461239025515521,8.0,0.0,10.594569267279519,428.59501571996844,1.0,8.0,5.0,2.0,0.0,7.0,8.0,332.0,1644.0,67.0,62.0,0.0,67.0,1976.0,332.0,458.0,33.0,46.0,0.0,33.0,458.0,7826.0,0.0,1174.0,0.0,0.0,1304.3333333333333,0.0,234.80000000000001,0.0,0.0,234.80000000000001,1304.3333333333333,1229.0,0.0,17.0,0.0,0.0,17.0,1229.0,444.75486381701199,0.0,427.70241991365913,0.0,0.0,427.70241991365913,444.75486381701199,6.0,0.0,5.0,0.0,0.0,5.0,6.0,2172.0,0.0,1090.0,0.0,0.0,1090.0,2172.0,835.0,0.0,14.0,0.0,0.0,14.0,835.0
6,1,1627.0,1866.0,429.0,5078.0,32.539999999999999,42.409090909090907,33.0,59.741176470588236,45.604651162790695,45.0,69.708860759493675,28.5,27.5,23.0,33.0,30.5,33.0,41.0,24.867818561345505,44.509609882595313,26.065007488673686,70.08635898848631,47.232300504261111,43.374339572301658,76.600087896755952,50.0,44.0,13.0,85.0,86.0,51.0,79.0,136.0,248.0,107.0,434.0,266.0,248.0,434.0,4.0,8.0,7.0,7.0,4.0,7.0,7.0,2850.0,4462.0,1419.0,269.0,0.0,190.0,247.88888888888889,101.35714285714286,89.666666666666671,0.0,99.294117647058826,406.22222222222223,144.0,141.5,82.0,84.0,0.0,84.0,336.5,145.09858717437604,231.36188317796498,59.81711071837119,23.612614331233114,0.0,55.361660874739734,306.95594246941033,15.0,18.0,14.0,3.0,0.0,17.0,18.0,562.0,925.0,241.0,121.0,0.0,241.0,1057.0,33.0,20.0,41.0,64.0,0.0,41.0,20.0,6240.0,0.0,2760.0,0.0,0.0,328.42105263157896,0.0,153.33333333333334,0.0,0.0,153.33333333333334,328.42105263157896,261.0,0.0,110.0,0.0,0.0,110.0,261.0,274.49040167083854,0.0,135.5244955308408,0.0,0.0,135.5244955308408,274.49040167083854,19.0,0.0,18.0,0.0,0.0,18.0,19.0,1020.0,0.0,521.0,0.0,0.0,521.0,1020.0,33.0,0.0,12.0,0.0,0.0,12.0,33.0
6,2,2263.0,1819.0,668.0,4250.0,53.88095238095238,37.895833333333336,39.294117647058826,60.714285714285715,66.901408450704224,40.770491803278688,74.515151515151516,45.5,24.0,30.0,24.5,43.0,28.0,30.0,40.896619013214504,40.422373952703744,26.858594212001915,82.573455239587034,105.46425266205398,40.223715964436181,107.23073994248762,42.0,48.0,17.0,70.0,71.0,61.0,66.0,176.0,198.0,104.0,406.0,818.0,209.0,624.0,7.0,4.0,9.0,3.0,7.0,4.0,3.0,1799.0,6617.0,544.0,40.0,0.0,224.875,827.125,77.714285714285708,40.0,0.0,73.0,935.11111111111109,116.5,675.5,62.0,40.0,0.0,53.0,827.0,311.65824130768624,638.431562013502,49.317381131125082,0.0,0.0,47.788596966221974,603.25698309619338,8.0,8.0,7.0,1.0,0.0,8.0,9.0,1039.0,1831.0,185.0,40.0,0.0,185.0,1883.0,40.0,106.0,36.0,40.0,0.0,36.0,100.0,7060.0,0.0,1940.0,0.0,0.0,784.44444444444446,0.0,215.55555555555554,0.0,0.0,215.55555555555554,784.44444444444446,610.0,0.0,104.0,0.0,0.0,104.0,610.0,664.67872123992038,0.0,291.79677521297481,0.0,0.0,291.79677521297481,664.67872123992038,9.0,0.0,9.0,0.0,0.0,9.0,9.0,1944.0,0.0,1026.0,0.0,0.0,1026.0,1944.0,96.0,0.0,49.0,0.0,0.0,49.0,96.0
7,1,2249.0,38.0,1822.0,4891.0,83.296296296296291,19.0,52.057142857142857,87.339285714285708,74.709090909090904,51.666666666666664,231.48275862068965,24.0,19.0,33.0,57.5,33.0,33.5,102.0,129.15589627205617,5.0,39.292269582954759,71.432354810516429,104.83730646313974,38.841558499456056,380.88668064903277,27.0,2.0,35.0,56.0,55.0,36.0,29.0,494.0,24.0,169.0,260.0,543.0,169.0,1969.0,11.0,14.0,11.0,17.0,11.0,11.0,21.0,1009.0,5505.0,1194.0,330.0,962.0,100.90000000000001,305.83333333333331,91.84615384615384,66.0,160.33333333333334,95.25,439.76470588235293,82.5,292.0,80.0,68.0,172.5,85.5,389.0,61.162815500923436,228.21730628698799,43.842105076225444,25.892083732291614,79.157367874941926,42.141873475202786,262.50210742274828,10.0,18.0,13.0,5.0,6.0,16.0,17.0,256.0,861.0,176.0,102.0,277.0,176.0,895.0,17.0,10.0,38.0,22.0,57.0,38.0,56.0,7203.0,0.0,1797.0,0.0,0.0,480.19999999999999,0.0,119.8,0.0,0.0,119.8,480.19999999999999,544.0,0.0,58.0,0.0,0.0,58.0,544.0,224.53186856212636,0.0,113.81458605995982,0.0,0.0,113.81458605995982,224.53186856212636,15.0,0.0,15.0,0.0,0.0,15.0,15.0,744.0,0.0,363.0,0.0,0.0,363.0,744.0,54.0,0.0,1.0,0.0,0.0,1.0,54.0
7,2,2665.0,41.0,3005.0,3289.0,111.04166666666667,20.5,166.94444444444446,93.971428571428575,158.63888888888889,152.30000000000001,251.75999999999999,46.5,20.5,121.5,59.0,54.0,101.5,164.0,138.30295223610457,5.5,147.83755056826629,82.504194080157674,229.3954800457762,146.98132534441237,236.68735158432102,24.0,2.0,18.0,35.0,36.0,20.0,25.0,615.0,26.0,454.0,298.0,1228.0,454.0,752.0,10.0,15.0,13.0,10.0,10.0,13.0,15.0,14.0,8193.0,314.0,172.0,307.0,14.0,1365.5,78.5,43.0,102.33333333333333,97.200000000000003,1419.0,14.0,1257.0,82.5,32.0,112.0,104.0,1353.5,0.0,839.33977029567711,24.58149710656371,32.954514106568162,15.107025591499548,22.301569451498253,858.19617027033314,1.0,6.0,4.0,4.0,3.0,5.0,6.0,14.0,2585.0,104.0,97.0,114.0,123.0,2599.0,14.0,60.0,45.0,11.0,81.0,56.0,60.0,8030.0,0.0,970.0,0.0,0.0,1003.75,0.0,138.57142857142858,0.0,0.0,138.57142857142858,1003.75,1150.0,0.0,106.0,0.0,0.0,106.0,1150.0,434.00108006778049,0.0,85.481588899694216,0.0,0.0,85.481588899694216,434.00108006778049,8.0,0.0,7.0,0.0,0.0,7.0,8.0,1461.0,0.0,318.0,0.0,0.0,318.0,1461.0,173.0,0.0,60.0,0.0,0.0,60.0,173.0
