Dyad,Cov,StartFrame,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,H_NoSpeak_Overall_Time,H_Typing_Overall_Time,H_Speaking_Overall_Time,H_SSS_Overall_Time,H_Hovering_Overall_Time,H_NoSpeak_Mean,H_Typing_Mean,H_Speaking_Mean,H_SSS_Mean,H_Hovering_Mean,H_Sound_Mean,H_NoSound_Mean,H_NoSpeak_Median,H_Typing_Median,H_Speaking_Median,H_SSS_Median,H_Hovering_Median,H_Sound_Median,H_NoSound_Median,H_NoSpeak_PopularSD,H_Typing_PopularSD,H_Speaking_PopularSD,H_SSS_PopularSD,H_Hovering_PopularSD,H_Sound_PopularSD,H_NoSound_PopularSD,H_NoSpeak_Frequency,H_Typing_Frequency,H_Speaking_Frequency,H_SSS_Frequency,H_Hovering_Frequency,H_Sound_Frequency,H_NoSound_Frequency,H_NoSpeak_Max,H_Typing_Max,H_Speaking_Max,H_SSS_Max,H_Hovering_Max,H_Sound_Max,H_NoSound_Max,H_NoSpeak_Min,H_Typing_Min,H_Speaking_Min,H_SSS_Min,H_Hovering_Min,H_Sound_Min,H_NoSound_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,92.0,35.0,179.0,1494.0,13.142857142857142,11.666666666666666,17.899999999999999,71.142857142857139,15.300000000000001,16.46153846153846,152.09090909090909,7.0,13.0,11.5,52.0,11.5,12.0,90.0,9.1249825272407499,4.9888765156985881,17.728226081590904,67.589295936339411,14.036025078347503,15.949995826454167,144.37857719800056,7.0,3.0,10.0,21.0,20.0,13.0,11.0,27.0,17.0,69.0,215.0,69.0,69.0,446.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,126.0,1032.0,295.0,0.0,347.0,42.0,258.0,73.75,0.0,86.75,73.75,301.0,46.0,276.0,76.0,0.0,102.0,76.0,239.0,7.1180521680208741,148.80188170853216,39.789288759664956,0.0,41.087558944283849,39.789288759664956,189.23318947795599,3.0,4.0,4.0,0.0,4.0,4.0,5.0,48.0,420.0,119.0,0.0,122.0,119.0,541.0,32.0,60.0,24.0,0.0,21.0,24.0,46.0,1580.0,0.0,220.0,0.0,0.0,395.0,0.0,73.333333333333329,0.0,0.0,73.333333333333329,395.0,396.0,0.0,80.0,0.0,0.0,80.0,396.0,146.43599284328974,0.0,35.424410918022176,0.0,0.0,35.424410918022176,146.43599284328974,4.0,0.0,3.0,0.0,0.0,3.0,4.0,556.0,0.0,113.0,0.0,0.0,113.0,556.0,232.0,0.0,27.0,0.0,0.0,27.0,232.0
1,1,1800,244.0,123.0,419.0,1014.0,24.399999999999999,17.571428571428573,32.230769230769234,42.25,34.173913043478258,36.133333333333333,84.294117647058826,15.5,16.0,24.0,22.5,27.0,32.0,53.0,23.346091750012462,6.6085905749830731,24.841509449225835,50.600765804481654,26.545534585448099,25.279416308310779,79.683760767823998,10.0,7.0,13.0,24.0,23.0,15.0,17.0,91.0,31.0,107.0,204.0,107.0,107.0,245.0,7.0,8.0,9.0,8.0,7.0,9.0,8.0,53.0,1139.0,312.0,0.0,296.0,26.5,569.5,156.0,0.0,148.0,156.0,496.0,26.5,569.5,156.0,0.0,148.0,156.0,489.0,17.5,124.5,47.0,0.0,97.0,47.0,358.8843824966475,2.0,2.0,2.0,0.0,2.0,2.0,3.0,44.0,694.0,203.0,0.0,245.0,203.0,939.0,9.0,445.0,109.0,0.0,51.0,109.0,60.0,1537.0,0.0,263.0,0.0,0.0,768.5,0.0,131.5,0.0,0.0,131.5,768.5,768.5,0.0,131.5,0.0,0.0,131.5,768.5,159.5,0.0,98.5,0.0,0.0,98.5,159.5,2.0,0.0,2.0,0.0,0.0,2.0,2.0,928.0,0.0,230.0,0.0,0.0,230.0,928.0,609.0,0.0,33.0,0.0,0.0,33.0,609.0
1,1,3600,180.0,107.0,232.0,1281.0,25.714285714285715,17.833333333333332,25.777777777777779,61.0,25.949999999999999,22.600000000000001,116.38461538461539,25.0,17.0,16.0,44.0,24.0,16.0,97.0,12.589273049639019,6.8657766413486607,16.122984130859603,61.605503773916951,14.867666259369692,13.783081416480618,88.401651969892043,7.0,6.0,9.0,21.0,20.0,15.0,13.0,46.0,29.0,62.0,251.0,62.0,62.0,282.0,8.0,9.0,11.0,4.0,8.0,9.0,4.0,139.0,1043.0,307.0,0.0,311.0,46.333333333333336,173.83333333333334,61.399999999999999,0.0,103.66666666666667,61.399999999999999,248.83333333333334,42.0,121.0,54.0,0.0,103.0,54.0,177.0,25.901522906749882,117.27377749901675,25.523322667709234,0.0,31.03045099396541,25.523322667709234,208.5612753019015,3.0,6.0,5.0,0.0,3.0,5.0,6.0,80.0,431.0,110.0,0.0,142.0,110.0,709.0,17.0,86.0,39.0,0.0,66.0,39.0,108.0,1536.0,0.0,264.0,0.0,0.0,307.19999999999999,0.0,44.0,0.0,0.0,44.0,307.19999999999999,250.0,0.0,38.5,0.0,0.0,38.5,250.0,222.30915410751757,0.0,26.350205565295564,0.0,0.0,26.350205565295564,222.30915410751757,5.0,0.0,6.0,0.0,0.0,6.0,5.0,690.0,0.0,91.0,0.0,0.0,91.0,690.0,55.0,0.0,16.0,0.0,0.0,16.0,55.0
1,1,5400,252.0,191.0,224.0,1133.0,25.199999999999999,31.833333333333332,28.0,51.5,31.761904761904763,29.642857142857142,84.8125,23.5,19.5,24.0,20.0,29.0,24.0,31.0,17.098537949193201,33.63240831235386,19.474342094150447,81.327480539538982,24.523855755851017,26.553469353247941,116.57895326237065,10.0,6.0,8.0,22.0,21.0,14.0,16.0,62.0,104.0,73.0,376.0,104.0,104.0,471.0,6.0,7.0,7.0,7.0,6.0,7.0,9.0,36.0,1194.0,218.0,0.0,352.0,36.0,398.0,109.0,0.0,117.33333333333333,109.0,527.33333333333337,36.0,284.0,109.0,0.0,117.0,109.0,349.0,0.0,295.35402485830457,75.0,0.0,72.260331825667365,75.0,278.04595943037106,1.0,3.0,2.0,0.0,3.0,2.0,3.0,36.0,803.0,184.0,0.0,206.0,184.0,920.0,36.0,107.0,34.0,0.0,29.0,34.0,313.0,1458.0,0.0,342.0,0.0,0.0,486.0,0.0,114.0,0.0,0.0,114.0,486.0,408.0,0.0,64.0,0.0,0.0,64.0,408.0,359.43288664227708,0.0,74.9933330370107,0.0,0.0,74.9933330370107,359.43288664227708,3.0,0.0,3.0,0.0,0.0,3.0,3.0,960.0,0.0,220.0,0.0,0.0,220.0,960.0,90.0,0.0,58.0,0.0,0.0,58.0,90.0
1,1,7200,189.0,70.0,202.0,1339.0,18.899999999999999,14.0,22.444444444444443,78.764705882352942,27.117647058823529,30.222222222222221,110.07142857142857,17.0,9.0,22.0,41.0,15.0,25.0,90.5,9.2352585237230915,9.7159662411928949,12.910900744126698,73.174673705950468,23.176769182907815,18.62362763193142,100.82691270950734,10.0,5.0,9.0,17.0,17.0,9.0,14.0,35.0,33.0,45.0,260.0,89.0,68.0,342.0,8.0,7.0,7.0,5.0,8.0,9.0,5.0,330.0,945.0,372.0,0.0,153.0,47.142857142857146,135.0,74.400000000000006,0.0,51.0,74.400000000000006,238.0,34.0,107.0,49.0,0.0,47.0,49.0,244.0,30.600786971339581,104.72685560883744,48.384294972645826,0.0,36.851051545376556,48.384294972645826,126.0,7.0,7.0,5.0,0.0,3.0,5.0,6.0,96.0,305.0,170.0,0.0,98.0,170.0,390.0,11.0,17.0,41.0,0.0,8.0,41.0,23.0,1518.0,0.0,282.0,0.0,0.0,379.5,0.0,94.0,0.0,0.0,94.0,379.5,334.0,0.0,52.0,0.0,0.0,52.0,334.0,276.8803893380678,0.0,78.502653882952686,0.0,0.0,78.502653882952686,276.8803893380678,4.0,0.0,3.0,0.0,0.0,3.0,4.0,777.0,0.0,204.0,0.0,0.0,204.0,777.0,73.0,0.0,26.0,0.0,0.0,26.0,73.0
1,2,0,247.0,100.0,82.0,1371.0,27.444444444444443,25.0,20.5,91.400000000000006,28.600000000000001,22.75,111.76923076923077,26.0,17.0,14.0,70.0,26.0,17.0,111.0,17.914060964697914,18.774983355518586,15.337861650177967,80.32085656913776,18.632587939771902,17.289809137176732,78.801751099397279,9.0,4.0,4.0,15.0,15.0,8.0,13.0,65.0,57.0,46.0,275.0,65.0,57.0,275.0,7.0,9.0,8.0,7.0,7.0,8.0,10.0,0.0,1761.0,0.0,39.0,0.0,0.0,880.5,0.0,39.0,0.0,39.0,880.5,0.0,880.5,0.0,39.0,0.0,39.0,880.5,0.0,285.5,0.0,0.0,0.0,0.0,285.5,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1166.0,0.0,39.0,0.0,39.0,1166.0,0.0,595.0,0.0,39.0,0.0,39.0,595.0,1363.0,0.0,437.0,0.0,0.0,340.75,0.0,145.66666666666666,0.0,0.0,145.66666666666666,340.75,283.0,0.0,98.0,0.0,0.0,98.0,283.0,272.19420915956312,0.0,80.474978858165741,0.0,0.0,80.474978858165741,272.19420915956312,4.0,0.0,3.0,0.0,0.0,3.0,4.0,763.0,0.0,259.0,0.0,0.0,259.0,763.0,34.0,0.0,80.0,0.0,0.0,80.0,34.0
1,2,1800,1425.0,46.0,30.0,299.0,356.25,23.0,15.0,59.799999999999997,250.16666666666666,19.0,54.833333333333336,127.5,23.0,15.0,26.0,59.0,18.0,26.0,467.05908352156047,6.0,4.0,66.895141826593061,410.90851239120798,6.4807406984078604,61.863873859376831,4.0,2.0,2.0,5.0,6.0,4.0,6.0,1158.0,29.0,19.0,184.0,1158.0,29.0,184.0,12.0,17.0,11.0,7.0,12.0,11.0,7.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0
1,2,3600,566.0,158.0,7.0,1069.0,70.75,31.600000000000001,7.0,89.083333333333329,56.230769230769234,27.5,97.818181818181813,40.0,22.0,7.0,70.0,35.0,18.0,88.0,62.735057981960935,23.846173697262209,0.0,63.107657133575238,54.700799946553794,23.620259665521601,67.671422976048802,8.0,5.0,1.0,12.0,13.0,6.0,11.0,198.0,72.0,7.0,240.0,198.0,72.0,240.0,16.0,6.0,7.0,12.0,6.0,6.0,12.0,0.0,1702.0,98.0,0.0,0.0,0.0,851.0,98.0,0.0,0.0,98.0,851.0,0.0,851.0,98.0,0.0,0.0,98.0,851.0,0.0,342.0,0.0,0.0,0.0,0.0,342.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1193.0,98.0,0.0,0.0,98.0,1193.0,0.0,509.0,98.0,0.0,0.0,98.0,509.0,1075.0,0.0,725.0,0.0,0.0,215.0,0.0,181.25,0.0,0.0,181.25,215.0,61.0,0.0,170.5,0.0,0.0,170.5,61.0,278.70270899293388,0.0,146.01947644064472,0.0,0.0,146.01947644064472,278.70270899293388,5.0,0.0,4.0,0.0,0.0,4.0,5.0,768.0,0.0,376.0,0.0,0.0,376.0,768.0,48.0,0.0,8.0,0.0,0.0,8.0,48.0
1,2,5400,1242.0,43.0,14.0,501.0,155.25,14.333333333333334,14.0,62.625,144.33333333333334,14.25,64.375,63.0,13.0,14.0,46.0,62.0,13.5,46.0,188.32866882129233,5.7927157323275891,0.0,47.029080099444855,189.416061738292,5.018714974971183,49.899743235812345,8.0,3.0,1.0,8.0,9.0,4.0,8.0,526.0,22.0,14.0,138.0,556.0,22.0,150.0,7.0,8.0,14.0,11.0,7.0,8.0,11.0,0.0,1710.0,90.0,0.0,0.0,0.0,855.0,90.0,0.0,0.0,90.0,855.0,0.0,855.0,90.0,0.0,0.0,90.0,855.0,0.0,617.0,0.0,0.0,0.0,0.0,617.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1472.0,90.0,0.0,0.0,90.0,1472.0,0.0,238.0,90.0,0.0,0.0,90.0,238.0,1770.0,0.0,30.0,0.0,0.0,885.0,0.0,30.0,0.0,0.0,30.0,885.0,885.0,0.0,30.0,0.0,0.0,30.0,885.0,745.0,0.0,0.0,0.0,0.0,0.0,745.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1630.0,0.0,30.0,0.0,0.0,30.0,1630.0,140.0,0.0,30.0,0.0,0.0,30.0,140.0
1,2,7200,1528.0,0.0,114.0,158.0,305.60000000000002,0.0,114.0,39.5,328.39999999999998,114.0,68.0,349.0,0.0,114.0,18.5,349.0,114.0,18.5,117.19658698102093,0.0,0.0,41.427647772954721,140.71190425831071,0.0,90.711079808367401,5.0,0.0,1.0,4.0,5.0,1.0,4.0,393.0,0.0,114.0,111.0,507.0,114.0,225.0,77.0,0.0,114.0,10.0,77.0,114.0,10.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,1800.0
