Dyad,Conv,Timid,Yielding,Awkward,Shy,Meek
1.0,1.0,46.0,52.0,43.0,42.0,50.0
1.0,2.0,58.0,59.0,60.0,56.0,57.0
1.0,3.0,52.0,58.0,44.0,47.0,48.0
2.0,1.0,47.0,54.0,46.0,49.0,51.0
2.0,2.0,55.0,57.0,59.0,58.0,50.0
2.0,3.0,57.0,62.0,44.0,47.0,53.0
3.0,1.0,58.0,58.0,52.0,58.0,56.0
3.0,2.0,57.0,56.0,58.0,60.0,59.0
3.0,3.0,48.0,56.0,60.0,52.0,49.0
4.0,1.0,38.0,44.0,40.0,43.0,37.0
4.0,2.0,41.0,49.0,46.0,42.0,39.0
4.0,3.0,59.0,60.0,52.0,68.0,61.0
5.0,1.0,40.0,45.0,42.0,44.0,47.0
5.0,2.0,47.0,60.0,47.0,43.0,44.0
5.0,3.0,49.0,56.0,45.0,49.0,47.0
6.0,1.0,41.0,48.0,38.0,39.0,41.0
6.0,2.0,40.0,50.0,39.0,34.0,40.0
6.0,3.0,40.0,48.0,39.0,39.0,37.0
7.0,1.0,47.0,53.0,48.0,42.0,49.0
7.0,2.0,45.0,56.0,48.0,45.0,43.0
7.0,3.0,41.0,51.0,43.0,32.0,31.0
8.0,1.0,44.0,59.0,40.0,36.0,45.0
8.0,2.0,47.0,57.0,52.0,47.0,46.0
8.0,3.0,35.0,47.0,35.0,33.0,37.0
9.0,1.0,44.0,45.0,37.0,32.0,36.0
9.0,2.0,50.0,59.0,46.0,42.0,50.0
9.0,3.0,30.0,46.0,23.0,25.0,32.0
10.0,1.0,59.0,59.0,53.0,57.0,54.0
10.0,2.0,56.0,59.0,51.0,57.0,53.0
10.0,3.0,54.0,60.0,49.0,40.0,43.0
11.0,1.0,54.0,60.0,55.0,56.0,57.0
11.0,2.0,58.0,57.0,60.0,61.0,58.0
11.0,3.0,69.0,61.0,72.0,75.0,63.0
12.0,1.0,44.0,57.0,44.0,48.0,51.0
12.0,2.0,49.0,57.0,51.0,46.0,51.0
12.0,3.0,40.0,60.0,38.0,33.0,42.0
13.0,1.0,38.0,54.0,44.0,43.0,47.0
13.0,2.0,52.0,57.0,51.0,54.0,48.0
13.0,3.0,48.0,60.0,62.0,63.0,52.0
14.0,1.0,54.0,63.0,50.0,54.0,50.0
14.0,2.0,49.0,55.0,49.0,52.0,51.0
14.0,3.0,48.0,52.0,35.0,36.0,44.0
15.0,1.0,57.0,62.0,51.0,55.0,54.0
15.0,2.0,60.0,56.0,59.0,59.0,55.0
15.0,3.0,68.0,63.0,65.0,80.0,67.0
16.0,1.0,50.0,57.0,59.0,49.0,53.0
16.0,2.0,52.0,53.0,55.0,49.0,50.0
16.0,3.0,35.0,43.0,39.0,30.0,36.0
17.0,1.0,62.0,57.0,53.0,62.0,63.0
17.0,2.0,61.0,61.0,63.0,66.0,67.0
17.0,3.0,61.0,56.0,50.0,66.0,62.0
18.0,1.0,46.0,54.0,47.0,52.0,42.0
18.0,2.0,54.0,56.0,54.0,56.0,49.0
18.0,3.0,59.0,61.0,55.0,60.0,54.0
19.0,1.0,58.0,64.0,60.0,57.0,56.0
19.0,2.0,55.0,56.0,56.0,56.0,53.0
19.0,3.0,41.0,46.0,43.0,42.0,41.0
20.0,1.0,58.0,59.0,56.0,63.0,60.0
20.0,2.0,51.0,53.0,52.0,58.0,52.0
20.0,3.0,75.0,65.0,72.0,74.0,69.0
21.0,1.0,51.0,55.0,52.0,57.0,50.0
21.0,2.0,47.0,47.0,55.0,52.0,51.0
21.0,3.0,46.0,54.0,39.0,43.0,44.0
22.0,1.0,44.0,47.0,56.0,44.0,46.0
22.0,2.0,48.0,52.0,52.0,53.0,47.0
22.0,3.0,43.0,54.0,42.0,48.0,39.0
23.0,1.0,61.0,57.0,64.0,62.0,57.0
23.0,2.0,56.0,58.0,60.0,64.0,55.0
23.0,3.0,45.0,58.0,55.0,43.0,47.0
24.0,1.0,41.0,56.0,42.0,38.0,44.0
24.0,2.0,46.0,59.0,49.0,48.0,48.0
24.0,3.0,53.0,54.0,52.0,35.0,38.0
25.0,1.0,45.0,62.0,48.0,43.0,50.0
25.0,2.0,46.0,52.0,54.0,51.0,45.0
25.0,3.0,33.0,55.0,35.0,30.0,29.0
26.0,1.0,63.0,61.0,52.0,53.0,49.0
