Dyad,Conv,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1.0,1.0,54.75,60.0,52.5,56.25,56.25
1.0,2.0,52.25,52.25,53.75,48.75,57.5
2.0,1.0,50.0,57.5,45.0,48.75,51.25
2.0,2.0,50.0,48.75,46.25,51.25,62.5
3.0,1.0,51.25,60.0,45.0,57.5,42.5
3.0,2.0,47.25,52.5,42.5,50.25,45.0
4.0,1.0,61.25,65.0,61.25,60.0,50.0
4.0,2.0,48.75,47.5,45.0,52.5,55.0
5.0,1.0,53.75,60.0,52.5,56.25,42.5
5.0,2.0,52.25,55.25,56.25,51.25,52.5
6.0,1.0,52.5,58.75,53.75,50.0,47.5
6.0,2.0,53.75,56.25,57.5,55.0,50.0
7.0,1.0,62.25,53.75,56.25,56.25,52.5
7.0,2.0,57.25,57.5,55.25,55.0,48.75
8.0,1.0,65.0,53.75,67.5,62.25,52.5
8.0,2.0,57.5,53.75,60.0,60.0,56.25
9.0,1.0,60.0,62.5,48.75,63.75,46.25
9.0,2.0,55.0,55.0,47.5,51.5,47.5
10.0,1.0,47.0,53.75,43.75,48.75,46.25
10.0,2.0,55.0,56.25,51.25,48.75,47.25
11.0,1.0,62.5,58.75,47.5,56.25,47.5
11.0,2.0,48.75,51.25,45.0,50.0,48.75
12.0,1.0,58.75,58.75,63.75,60.0,55.0
12.0,2.0,51.25,54.0,56.0,56.0,52.5
13.0,1.0,63.75,65.0,57.5,63.75,45.0
13.0,2.0,50.0,56.25,51.0,49.75,46.25
14.0,1.0,57.25,61.25,50.0,58.75,46.25
14.0,2.0,51.25,58.75,52.5,50.0,50.0
15.0,1.0,51.25,57.5,46.25,56.5,43.75
15.0,2.0,45.0,55.0,45.0,48.75,42.5
16.0,1.0,45.0,57.5,50.0,46.0,52.5
16.0,2.0,51.25,52.5,46.25,57.5,50.0
17.0,1.0,58.75,57.5,58.75,55.0,51.25
17.0,2.0,50.0,51.25,53.75,52.5,47.5
18.0,1.0,60.0,52.5,70.0,58.5,61.25
18.0,2.0,57.5,56.5,53.75,56.0,55.25
19.0,1.0,50.0,58.75,56.25,51.25,51.5
19.0,2.0,50.0,50.0,46.0,49.0,50.0
20.0,1.0,57.5,52.75,57.25,57.5,53.75
20.0,2.0,47.5,56.25,43.75,56.25,48.75
21.0,1.0,51.25,56.25,50.25,52.5,52.25
21.0,2.0,50.0,52.5,44.5,53.75,57.5
22.0,1.0,58.75,62.5,57.5,61.0,53.5
22.0,2.0,57.5,50.0,58.75,56.25,56.25
23.0,1.0,58.333333333333336,53.666666666666664,46.666666666666664,51.666666666666664,48.333333333333336
23.0,2.0,48.75,50.25,51.25,58.75,49.75
24.0,1.0,51.25,56.25,43.75,46.25,57.75
24.0,2.0,58.75,52.5,60.25,52.5,56.25
25.0,1.0,58.75,60.0,62.5,56.25,55.0
25.0,2.0,52.5,52.5,49.0,60.0,52.25
26.0,1.0,53.75,52.5,56.25,56.5,57.5
26.0,2.0,50.0,53.75,58.5,53.75,53.75
27.0,1.0,49.75,56.0,42.25,50.0,57.5
27.0,2.0,51.25,60.25,47.5,52.5,46.25
28.0,1.0,62.5,62.5,61.25,53.75,53.75
28.0,2.0,57.5,53.75,60.0,60.0,61.25
29.0,1.0,53.75,58.75,60.0,48.75,51.25
29.0,2.0,48.75,50.0,52.5,58.75,57.5
30.0,1.0,60.0,57.5,56.5,62.5,58.75
30.0,2.0,58.75,60.0,61.5,55.0,53.75
31.0,1.0,55.0,51.25,56.25,47.5,57.5
31.0,2.0,58.75,57.5,56.25,55.0,51.25
32.0,1.0,52.5,51.25,45.0,58.75,43.75
32.0,2.0,53.75,58.75,49.25,55.5,51.0
33.0,1.0,53.75,57.5,48.75,58.75,46.25
33.0,2.0,47.25,48.5,43.75,46.5,51.0
34.0,1.0,53.75,61.25,50.0,55.0,52.5
34.0,2.0,53.5,60.0,54.0,64.75,55.0
35.0,1.0,47.5,58.75,53.75,47.5,56.25
35.0,2.0,47.5,46.25,52.5,51.5,48.5
36.0,1.0,57.5,56.5,58.75,51.25,55.0
36.0,2.0,53.75,56.25,60.0,55.0,60.0
37.0,1.0,57.25,58.75,64.0,53.5,55.0
37.0,2.0,52.5,50.0,51.25,47.5,55.0
38.0,1.0,50.0,56.25,42.5,50.0,51.25
38.0,2.0,51.25,55.0,47.5,46.5,53.75
39.0,1.0,56.25,57.5,50.0,58.75,47.5
39.0,2.0,60.0,57.25,57.5,58.75,52.5
40.0,1.0,52.5,58.75,56.25,62.5,48.75
40.0,2.0,55.0,54.25,58.75,61.25,57.5
41.0,1.0,56.25,56.25,50.0,58.75,56.5
41.0,2.0,48.25,51.5,52.5,53.75,53.5
42.0,1.0,55.0,53.75,62.5,56.25,53.75
42.0,2.0,47.5,46.25,48.75,46.5,56.25
43.0,1.0,60.0,61.25,62.5,58.75,57.5
43.0,2.0,57.5,52.5,61.25,58.75,57.5
44.0,1.0,60.0,57.5,55.0,53.5,51.25
44.0,2.0,55.0,55.0,55.0,58.75,50.0
45.0,1.0,58.75,53.75,48.75,52.5,46.25
45.0,2.0,56.25,56.25,52.5,55.0,46.25
46.0,1.0,50.0,60.0,48.75,60.0,43.75
46.0,2.0,46.25,48.75,51.25,50.0,47.5
47.0,1.0,47.5,52.5,52.5,51.25,56.25
47.0,2.0,55.0,53.5,51.5,51.0,53.75
48.0,1.0,50.0,52.5,52.5,55.0,53.75
48.0,2.0,51.0,53.5,50.0,47.5,50.0
49.0,1.0,61.25,58.75,58.75,57.5,53.75
49.0,2.0,58.75,55.0,52.5,56.25,42.75
50.0,1.0,61.25,61.25,53.75,61.25,43.75
50.0,2.0,45.0,50.0,42.5,46.25,52.5
51.0,1.0,55.0,51.25,49.0,50.0,50.0
51.0,2.0,48.75,50.25,43.75,51.25,56.25
52.0,1.0,57.5,55.0,60.0,61.25,52.5
52.0,2.0,56.25,51.25,54.0,61.0,57.75
53.0,1.0,48.75,57.5,56.25,53.5,56.25
53.0,2.0,56.25,57.5,53.75,55.0,51.5
