Distant,Aloof,Unsociable,Introverted,Antisocial
44.0,47.0,44.0,51.0,46.0
53.0,56.0,42.0,53.0,46.0
48.0,50.0,34.0,47.0,44.0
48.0,41.0,44.0,51.0,46.0
49.0,43.0,40.0,46.0,40.0
43.0,37.0,31.0,43.0,28.0
52.0,51.0,48.0,57.0,51.0
64.0,56.0,50.0,56.0,48.0
54.0,46.0,31.0,41.0,33.0
45.0,46.0,47.0,47.0,41.0
37.0,42.0,35.0,35.0,32.0
37.0,36.0,32.0,50.0,32.0
40.0,40.0,38.0,46.0,39.0
31.0,39.0,28.0,34.0,25.0
51.0,40.0,36.0,48.0,35.0
35.0,38.0,34.0,35.0,36.0
28.0,34.0,26.0,24.0,20.0
32.0,31.0,23.0,30.0,21.0
47.0,48.0,43.0,47.0,45.0
47.0,51.0,39.0,44.0,35.0
47.0,36.0,32.0,37.0,35.0
38.0,39.0,37.0,42.0,38.0
29.0,30.0,26.0,45.0,29.0
38.0,42.5,31.0,32.0,27.0
35.0,37.0,32.0,32.0,30.0
38.0,43.0,28.0,28.0,27.0
28.0,33.0,27.0,32.0,26.0
52.0,53.0,52.0,57.0,47.0
60.0,55.0,44.0,63.0,50.0
52.0,45.0,38.0,53.0,41.0
52.0,45.0,49.0,57.0,47.0
68.0,53.0,52.0,71.0,53.0
61.0,56.0,48.0,67.0,47.0
42.0,50.0,40.0,41.0,40.0
43.0,48.0,37.0,36.0,31.0
42.0,39.0,33.0,44.0,34.0
49.0,45.0,45.0,47.0,40.0
50.0,50.0,42.0,52.0,49.0
40.0,36.0,36.0,44.0,39.0
42.0,40.0,39.0,42.0,37.0
45.0,40.0,33.0,47.0,35.0
50.0,41.0,36.0,47.0,40.0
53.0,50.0,52.0,60.0,51.0
56.0,49.0,51.0,64.0,55.0
62.0,53.0,53.0,60.0,57.0
38.0,41.0,37.0,40.0,37.0
40.0,44.0,34.0,40.0,32.0
48.0,48.0,35.0,49.0,36.0
59.0,53.0,55.0,62.0,52.0
66.0,48.0,48.0,62.0,49.0
