hdyad,hawkid,hterm,htechint,hcond,hprocadd,hage,hsex,hengspeak,hethnic,hyearosu,hyearsus,hkeyexp,hxboxexp,hhogan,hboredom,hsdesirability,shogan,sboredom,ssdesirability,hpanavigation1,hpaenjoyment1,hpauneasiness1,hpafrustration1,hpadistractedguilt1,hpagoodacc1,hpabadacc1,hpagood1,hpabad1,hpanavigation2,hpaenjoyment2,hpauneasiness2,hpafrustration2,hpadistractedguilt2,hpagoodacc2,hpabadacc2,hpagood2,hpabad2,hpaaverageacc1,hpaaverageacc2,hpaaverage1,hpaaverage2,hpagoodacc,hpabadacc,hpaaverageacc,hpagood,hpabad,hpaaverage,hpanavigation,hpaenjoyment,hpauneasiness,hpafrustration,hpadistractedguilt,spaovercome1,spaoverwhelm1,sparoleful1,spastruggle1,spacomm1,spagoodacc1,spabadacc1,spagood1,spabad1,spaovercome2,spaoverwhelm2,sparoleful2,spastruggle2,spacomm2,spagoodacc2,spabadacc2,spagood2,spabad2,spaaverageacc1,spaaverageacc2,spaaverage1,spaaverage2,spagoodacc,spabadacc,spaaverageacc,spagood,spabad,spaaverage,spaovercome,hpa1comp,rapcomp1,hpa2comp,rapcomp2,speechave1,speechave2,outcome1,outcome2,spersonality,speechave4,speechave3,outcomeave,speechave,hpacompave,rapcompave
1,1,1,1,0,1,19,1,1,3,2,15,4,2,43,11,16,0.194350945,10,18,0.724,-0.422,0.625,0.956,1.225,0.238,0.871,0.271,0.86,-0.01,-0.819,-0.552,0.742,0.37,-0.216,0.298,-0.201,0.467,-0.3165,-0.257,-0.2945,-0.334,0.011,0.5845,-0.28675,0.035,0.6635,-0.31425,0.357,-0.6205,0.0365,0.849,0.7975,0.745,-0.718,0.447,-1.101,-0.024,0.611,-0.816,0.487,-0.797,0.006,-0.515,-0.057,0.364,-0.998,-0.127,-0.337,-0.2,-0.408,0.7135,0.105,0.642,0.104,0.242,-0.5765,0.40925,0.1435,-0.6025,0.373,0.3755,-9.041297783,-4.319048667,-6.165725372,-19.23405949,0.294776259,1.006297837,-13.36034645,-25.39978486,,0.325713367,-0.248186716,-19.38006566,0.650537048,-7.603511578,-11.77655408
2,3,1,0,0,1,19,1,1,3,2,15,5,2,34,14,16,-1.955914825,8,13,-0.875,-0.109,1.399,-0.175,0.919,-0.344,1.337,-0.479,1.245,-0.682,-0.426,0.733,0.45,1.158,-0.513,0.85,-0.552,1.019,-0.8405,-0.6815,-0.862,-0.7855,-0.4285,1.0935,-0.761,-0.5155,1.132,-0.82375,-0.7785,-0.2675,1.066,0.1375,1.0385,0.533,-0.855,0.447,-0.196,0.014,0.388,-0.464,0.226,-0.608,-0.044,-0.289,-0.129,1.847,-0.912,-0.178,0.326,-0.315,0.259,0.426,-0.252,0.417,-0.287,0.105,-0.069,0.087,-0.0445,-0.1745,0.065,0.2445,-15.27299371,-15.46515459,-16.2068858,-29.90493231,-0.486729475,0.006335366,-30.7381483,-46.11181811,,-1.205642325,-0.806032373,-38.42498321,-0.240197055,-15.73993976,-22.68504345
3,5,1,1,0,1,20,0,0,4,3,20,5,3,35,17,12,1.352186359,5,19,-0.166,-1.196,-0.319,-0.674,-0.488,-0.896,-0.514,-0.887,-0.706,-0.253,-0.759,-0.412,-1.122,-1.341,-0.622,-0.624,-0.684,-0.796,-0.191,0.001,-0.0905,0.056,-0.759,-0.569,-0.095,-0.7855,-0.751,-0.01725,-0.2095,-0.9775,-0.3655,-0.898,-0.9145,0.371,0.773,0.407,0.104,0.907,0.519,0.603,0.38,0.459,0.023,1.267,0.215,1.052,0.857,0.188,1.184,0.235,1.212,-0.042,-0.498,-0.0395,-0.4885,0.3535,0.8935,-0.27,0.3075,0.8355,-0.264,0.197,-1.264273975,10.76090903,6.315560305,,0.473256072,0.593583012,9.496635058,,,1.031520501,1.099753948,9.496635058,0.533419542,2.525643165,10.76090903
4,7,1,0,0,1,20,1,1,3,3,20,5,2,48,5,24,0.194350945,12,7,-0.745,-0.232,-0.818,-0.786,-0.488,-0.444,-0.472,-0.413,-0.282,-0.322,-0.819,-0.897,0.866,-0.795,-0.629,-0.37,-0.508,-0.201,0.014,-0.1295,-0.0655,-0.1535,-0.5365,-0.421,-0.05775,-0.4605,-0.2415,-0.1095,-0.5335,-0.5255,-0.8575,0.04,-0.6415,0.883,-0.73,0.831,-0.735,-0.437,0.808,-0.795,0.839,-0.781,0.914,-0.617,0.831,-0.562,-1.046,0.83,-0.675,0.865,-0.575,0.8015,0.7525,0.81,0.72,0.819,-0.735,0.777,0.852,-0.678,0.765,0.8985,4.700834073,-13.70228668,-3.318463402,-11.79805251,-0.588370096,0.70670445,-9.001452608,-15.11651591,,-0.325637497,-0.255974896,-12.05898426,0.059167177,0.691185335,-12.75016959
5,9,1,1,0,1,20,1,1,3,3,20,5,3,49,4,23,-1.790509766,15,14,0.638,0.526,0.795,0.508,1.465,0.726,0.998,0.899,0.966,0.431,0.563,0.747,1.512,2.39,0.646,1.472,0.863,1.742,-0.136,-0.413,-0.0335,-0.4395,0.686,1.235,-0.2745,0.881,1.354,-0.2365,0.5345,0.5445,0.771,1.01,1.9275,0.12,-0.845,0.831,-1.101,-0.387,0.229,-0.811,0.338,-1.045,-0.689,-0.718,0.831,-0.928,-0.241,-0.515,-0.846,-0.233,-0.573,0.52,0.1655,0.6915,0.17,-0.143,-0.8285,0.34275,0.0525,-0.809,0.43075,-0.2845,-2.648842249,5.911006842,-11.46355535,-7.843819859,-0.210132701,-0.476419732,3.262164593,-19.30737521,,1.492071959,0.102686175,-8.022605309,-0.343276217,-7.0561988,-0.966406509
6,11,1,1,0,1,19,1,1,4,2,19,5,3,34,8,8,1.021376241,9,12,1.059,0.986,-1.007,-1.07,-0.488,1.056,-0.981,1.037,-1.132,1.059,0.628,-0.678,-0.818,-0.555,0.877,-0.73,0.891,-0.801,1.0185,0.8035,1.0845,0.846,0.9665,-0.8555,0.911,0.964,-0.9665,0.96525,1.059,0.807,-0.8425,-0.944,-0.5215,0.379,-0.015,0.596,0.297,0.2,0.325,0.188,0.334,-0.042,0.059,0.571,0.599,1.245,0.14,0.153,0.742,0.191,0.68,0.0685,-0.2945,0.188,-0.2445,0.239,0.465,-0.113,0.2625,0.319,-0.02825,0.219,27.46973527,11.92749708,21.82304222,-7.973091227,1.04645971,1.088715473,39.39723236,13.84995099,,0.986395362,0.020570002,26.62359168,1.067587591,24.64638875,1.977202929
7,13,1,1,0,1,19,0,1,5,1,19,5,4,40,5,24,-0.467269292,8,15,-0.02,0.514,0.29,-0.37,-0.488,0.234,-0.011,0.195,-0.203,-0.502,0.297,1.161,0.453,1.463,0.042,1.188,0.038,1.257,0.1225,-0.573,0.199,-0.6095,0.138,0.5885,-0.22525,0.1165,0.527,-0.20525,-0.261,0.4055,0.7255,0.0415,0.4875,-0.097,-0.12,0.639,0.426,0.73,0.306,0.164,0.192,0.02,-0.095,2.139,0.639,0.43,1.345,0.346,1.602,0.239,1.548,0.071,-0.628,0.086,-0.6545,0.326,0.883,-0.2785,0.2155,0.784,-0.28425,-0.096,6.457687159,13.01502454,-13.26950082,3.578442754,-0.182624573,0.415608206,19.4727117,-9.691058065,,0.057923089,0.577553643,4.890826819,0.116491816,-3.40590683,8.296733648
8,15,1,1,0,1,20,1,1,3,2,20,5,3,40,5,18,2.013806596,4,26,-1.909,-0.476,-0.818,-1.106,-1.035,-1.408,-0.868,-1.484,-0.839,-1.641,-0.762,-1.065,-0.766,-1.102,-1.417,-1.016,-1.495,-0.906,-0.27,-0.2005,-0.3225,-0.2945,-1.4125,-0.942,-0.23525,-1.4895,-0.8725,-0.3085,-1.775,-0.619,-0.9415,-0.936,-1.0685,-0.336,-0.353,-0.255,-0.499,-0.481,-0.545,-0.498,-0.442,-0.312,-0.337,0.015,0.129,-0.369,-0.166,-0.435,-0.238,-0.314,0.034,-0.0235,-0.0985,-0.065,-0.174,-0.49,-0.368,-0.061,-0.378,-0.139,-0.1195,-0.3365,-0.963903391,3.401751872,-1.478760325,-4.669316496,0.11670018,0.546004093,2.437848481,-6.148076821,,-0.375791261,-0.473894862,-1.85511417,0.331352136,-1.221331858,-0.633782312
9,17,1,0,0,1,20,0,0,4,2,2,5,3,32,12,8,-0.467269292,3,24,-0.459,0.505,0.283,0.133,0.367,0.068,0.39,0.121,0.298,-0.289,0.218,0.522,0.456,-0.248,0.009,0.44,-0.009,0.429,-0.161,-0.2155,-0.0885,-0.219,0.0385,0.415,-0.18825,0.056,0.3635,-0.15375,-0.374,0.3615,0.4025,0.2945,0.0595,-1.139,1.452,0.831,-0.196,-0.805,-0.737,0.676,-0.731,0.949,-1.457,0.545,-0.447,0.557,-0.828,-1.418,0.357,-1.59,0.458,-0.7065,-0.8875,-0.84,-1.024,-1.0775,0.5165,-0.797,-1.1605,0.7035,-0.932,-1.298,-1.510967189,23.0659203,-3.753985477,4.885737393,1.380488781,1.195901106,21.55495311,1.131751916,,1.849186059,1.916757379,11.34335252,1.288194943,-2.632476333,13.97582885
10,19,1,1,0,1,18,0,1,3,1,18,5,3,46,4,16,1.352186359,8,22,-0.431,-0.387,0.713,0.707,0.538,-0.422,0.529,-0.445,0.417,0.065,-0.354,0.26,0.65,0.845,-0.157,0.321,-0.136,0.289,-0.4755,-0.239,-0.431,-0.2125,-0.2895,0.425,-0.35725,-0.2905,0.353,-0.32175,-0.183,-0.3705,0.4865,0.6785,0.6915,0.307,0.235,0.599,0.187,0.16,0.451,0.305,0.539,0.161,0.622,0.11,0.599,0.489,0.445,0.594,0.321,0.582,0.177,0.073,0.1365,0.189,0.2025,0.5225,0.313,0.10475,0.5605,0.169,0.19575,0.4645,-13.52258213,-11.83660077,-8.241488023,-18.43649724,-0.377330185,-0.289854734,-25.3591829,-26.67798527,,-1.348215683,-1.292693282,-26.01858408,-0.33359246,-10.88203508,-15.13654901
