"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time","S_Around_Per_Total","S_Monitor_Per_Total","S_Keyboard_Per_Total","S_Face_Per_Total","S_CompOnly_Per_Total","S_NoFace_Per_Total","S_BodyOnly_Per_Total","S_Speak_Per_Total"
"1",1,4374,20,637,324,1006,2407,183.361904761905,105.333333333333,249.157142857143,399.446703296703,286.971428571429,268.283333333333,867.308441558442,173,88,221,326.5,243,239,710.5,76.8341307358873,45.5267743002425,142.629551718147,288.578801200796,168.145437462655,153.161920903331,559.685282388524,28,20,37,72,69,48,51,315,164,477,868,594,539,1703,108,63,102,113,92,106,302,4307,0,67,0,0,3934.5,0,67,0,0,67,3934.5,3934.5,0,67,0,0,67,3934.5,335.5,0,0,0,0,0,335.5,11,0,2,0,0,2,11,4270,0,67,0,0,67,4270,3599,0,67,0,0,67,3599,1330,1967,2731,14.5633287608596,7.40740740740741,22.9995427526292,55.0297210791038,30.4069501600366,44.9702789208962,62.4371284865112,1.53177869227252
"2",3,1445,10,648,485,187,125,254.666666666667,147.3,125.5,87,903,220.85,152.583333333333,244,130.5,131.5,87,874,229.5,143,138.642209624053,71.2572257220327,9.98528137423857,25,123.996598521394,123.004723959699,33.7612806671573,12,15,7,3,8,15,9,411,236,133,112,1047,354,200,109,71,112,62,788,71,115,1445,0,0,0,0,1445,0,0,0,0,0,1445,1445,0,0,0,0,0,1445,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1445,0,0,0,0,0,1445,1445,0,0,0,0,0,1445,672,1320,610,44.8442906574394,33.5640138408304,12.9411764705882,8.65051903114187,46.5051903114187,91.3494809688581,42.2145328719723,0
"3",5,3353,24,610,562,358,1823,251,346.916666666667,213.333333333333,690.466666666667,522.516666666667,406.083333333333,882.9,251,351.5,215,604,468,388,712,89.0739727413618,57.0264863482817,31.8586123009301,321.820943856995,232.773251833686,112.363861543941,467.819139592566,13,19,16,38,34,26,35,342,410,245,1150,807,545,1548,160,283,180,389,285,287,493,2779,0,574,0,0,2779,0,574,0,0,574,2779,2779,0,574,0,0,574,2779,0,0,0,0,0,0,0,12,0,5,0,0,5,12,2779,0,574,0,0,574,2779,2779,0,574,0,0,574,2779,920,1530,2385,18.192663286609,16.7611094542201,10.6770056665673,54.3692215926036,27.4381151207874,45.6307784073964,71.1303310468237,17.1189979123173
"4",6,3598,16,752,749,212,1885,250.25,227.283333333333,93.6666666666667,815.666666666667,341.707792207792,285.783333333333,916.195238095238,226,201.5,92,745,255.5,260,861,124.715779690029,91.2549229483808,13.2360956446232,186.153662381731,214.987255766238,102.872941021603,211.886817431663,17,23,5,38,39,27,35,434,374,109,1145,762,450,1270,126,145,80,639,155,192,705,3430,0,168,0,0,3294.5,0,168,0,0,168,3294.5,3294.5,0,168,0,0,168,3294.5,114.5,0,0,0,0,0,114.5,9,0,2,0,0,2,9,3409,0,168,0,0,168,3409,3180,0,168,0,0,168,3180,961,1713,2634,20.9005002779322,20.8171206225681,5.89216231239577,52.390216787104,26.7092829349639,47.609783212896,73.207337409672,4.66926070038911
"5",7,5099,24,1589,0,1258,2252,536.583333333333,0,770.666666666667,894.75,1018.33333333333,770.666666666667,2290.83333333333,474,0,711,872,900,711,2287.5,360.495884908919,0,143.906968103798,393.347226078277,615.284801368076,143.906968103798,331.775256573127,17,0,20,35,31,20,24,1008,0,952,1381,1821,952,2648,187,0,649,485,412,649,1937,4620,0,479,0,0,3814,0,479,0,0,479,3814,3814,0,479,0,0,479,3814,679,0,0,0,0,0,679,15,0,3,0,0,3,15,4493,0,479,0,0,479,4493,3135,0,479,0,0,479,3135,1258,2847,2252,31.1629731319867,0,24.671504216513,44.1655226515003,24.671504216513,55.8344773484997,44.1655226515003,9.39399882329869
"6",8,3217,24,787,1764,0,666,438.5,707.7,0,386.916666666667,1548.05,707.7,386.916666666667,448.5,725,0,387.5,1566.5,725,387.5,58.6581909418671,154.30349707328,0,76.6223428525382,222.09720469026,154.30349707328,76.6223428525382,20,32,0,21,26,32,21,495,878,0,471,1794,878,471,372,521,0,306,1280,521,306,3017,0,200,0,0,2907,0,200,0,0,200,2907,2907,0,200,0,0,200,2907,92,0,0,0,0,0,92,13,0,3,0,0,3,13,2999,0,200,0,0,200,2999,2815,0,200,0,0,200,2815,1764,2551,2430,24.4637861361517,54.8336959900528,0,20.7025178737955,54.8336959900528,79.2974821262045,75.5362138638483,6.21697233447311
"7",12,3426,24,170,0,852,2404,77.3333333333333,0,451.666666666667,947.916666666667,434.416666666667,451.666666666667,2826.5,61,0,441,917,409.5,441,2782.5,44.9405520948643,0,95.9344247306396,450.180316512046,149.670446061569,95.9344247306396,151.042147300015,8,0,22,33,28,22,19,134,0,557,1459,613,557,3019,37,0,357,485,284,357,2678,3165,0,261,0,0,3096.5,0,261,0,0,261,3096.5,3096.5,0,261,0,0,261,3096.5,55.5,0,0,0,0,0,55.5,13,0,4,0,0,4,13,3152,0,261,0,0,261,3152,3041,0,261,0,0,261,3041,852,1022,2404,4.9620548744892,0,24.8686514886165,70.1692936368943,24.8686514886165,29.8307063631057,70.1692936368943,7.61821366024518
"8",14,2862,24,383,320,1304,855,199.1,215.75,601.666666666667,310.65,845,725.9,1029.05,192.5,211.5,581,301.5,835,705,1016.5,37.4743183127353,39.0381137412626,181.386322856038,114.32198247004,293.764925523338,248.025178911475,270.195627709592,19,12,31,33,34,33,34,248,261,812,445,1170,1001,1360,159,179,412,184,513,474,749,2823,0,39,0,0,2724.5,0,39,0,0,39,2724.5,2724.5,0,39,0,0,39,2724.5,70.5,0,0,0,0,0,70.5,13,0,2,0,0,2,13,2795,0,39,0,0,39,2795,2654,0,39,0,0,39,2654,1624,2007,1175,13.382250174703,11.1809923130678,45.5625436757512,29.874213836478,56.743535988819,70.125786163522,41.0552061495458,1.36268343815514
"9",15,3976,26,1413,965,783,815,975.25,526,413.666666666667,391,1425.75,790.833333333333,979,969.5,543,413,366,1392.5,808,967,123.420327919575,211.884587209647,74.7044966667418,129.927920113475,608.916323225288,233.952500083783,154.64883781657,16,19,18,26,31,29,28,1112,737,492,542,2132,1031,1164,850,298,336,265,782,521,819,3876,0,100,0,0,3757.5,0,71,0,0,71,3757.5,3757.5,0,71,0,0,71,3757.5,59.5,0,14,0,0,14,59.5,14,0,6,0,0,6,14,3817,0,85,0,0,85,3817,3698,0,57,0,0,57,3698,1748,3161,1780,35.5382293762575,24.2706237424547,19.6931589537223,20.4979879275654,43.9637826961771,79.5020120724346,44.7686116700201,2.51509054325956
"10",16,4728,18,2052,717,956,1003,528.689285714286,228.7,272.05,305.416666666667,874.083333333333,358.483333333333,510.833333333333,483.5,197.5,239.5,285,657,311,442,236.828058168827,125.436775630942,164.967368146646,127.503640101099,687.879060124369,223.480452936364,223.926684009917,35,18,29,32,37,39,38,997,390,522,491,1945,744,881,295,105,103,174,193,133,296,4616,0,112,0,0,4241.5,0,112,0,0,112,4241.5,4241.5,0,112,0,0,112,4241.5,257.5,0,0,0,0,0,257.5,11,0,4,0,0,4,11,4499,0,112,0,0,112,4499,3984,0,112,0,0,112,3984,1673,3725,1720,43.4010152284264,15.1649746192893,20.2199661590525,21.2140439932318,35.3849407783418,78.7859560067682,36.3790186125212,2.36886632825719
