"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.116030138775186,0.158057170183934,-0.171674405826467,-0.222685206356707,-0.312702864999694,-0.260377987446003,-0.346375051444258
"monitor",0.119627572265631,-0.0918435812772769,-0.314039690397562,-0.293673119081222,-0.0672287313656815,-0.376021406290419,-0.232045904148283
"keyboard",0.0432937598818117,0.0313168764181315,0.213688326276585,0.0553798425600937,0.0272966963672026,0.170228893326105,0.14321909125727
"face",-0.189444793634098,-0.0799149191354008,0.183465211634369,0.31264690110981,0.255600526644724,0.316615438688029,0.307653514413671
"comp_only",0.141314401660155,-0.0505178272632397,-0.0769939298241876,-0.201727721977637,-0.033051334872063,-0.169096790167659,-0.0700719636556784
"no_face",0.189444793634098,0.0799149191354008,-0.183465211634369,-0.31264690110981,-0.255600526644724,-0.316615438688029,-0.307653514413671
"body_only",-0.137834869950201,-0.165812072654768,-0.0164629418557555,0.154653126975796,0.257219017396827,0.0971325756601266,0.195261020857001
"s_speak",-0.0816479399725479,0.0347679703642953,-0.136162824206608,-0.0489406418855038,0.0423601757566389,-0.0947674974355516,-0.0437245715612267
"power",-0.273289410179548,-0.0174167027186472,0.0631096169485998,0.197044519003179,0.228553018806857,0.268831582522654,0.217702059278655
"enunciated",-0.205593363556639,-0.0605890192534997,-0.0357566270158274,0.146101134121097,0.213604088109151,0.254723184548483,0.149594159062883
"chillness",-0.093917978009712,-0.0703115148128906,0.0788773532596248,0.139377692741275,0.236212664377586,0.203951267133634,0.23276103658588
"presence",-0.330664107657968,-0.19227317250611,-0.0375951297803202,0.222638590045742,0.274759937549821,0.197538530649925,0.197199253631842
"motherease",-0.132291602834159,-0.0209139865919118,0.0339579756742836,0.0542005895980508,0.0778590603184105,0.151270892384764,0.0812468065872188
"calmness",-0.021660448016256,-0.141297488908674,0.0861908143519483,0.00574600055943132,-0.0891622284821513,0.194489125671255,-0.021921529540561
"dominance",-0.272210604942165,-0.0767298970002704,-0.0374155595757499,0.193665488807764,0.164681814124382,0.141238994007431,0.10973241608944
"responsivity",-0.352127676858045,-0.247990860115518,0.0582034203912851,0.253026103754493,0.161078530088299,0.297906622360756,0.161235318377597
