"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.346060767052207,0.19798358727616,0.161563014712478,0.0679622292742869,0.00942425433321518,0.0319957562879678,0.00381004190029022
"monitor",0.331209649467697,0.456334185114289,0.00910827526721466,0.015071758436136,0.585945379628017,0.00157711743892102,0.0568968656060091
"keyboard",0.725922198786894,0.799866475552792,0.0801663393802166,0.653755065459843,0.825121823219675,0.165176226023309,0.243963477328806
"face",0.121794044238298,0.517104639973183,0.134240393301405,0.00943768802675945,0.0354010066089204,0.00852542524934606,0.0107055184635251
"comp_only",0.250356782833559,0.682452524489399,0.532585196029172,0.0990133075801966,0.789031572438392,0.16804726873653,0.570161231181049
"no_face",0.121794044238298,0.517104639973183,0.134240393301405,0.00943768802675945,0.0354010066089204,0.00852542524934606,0.0107055184635251
"body_only",0.262329217273072,0.176584354626349,0.893996477142917,0.207939898884265,0.0342150534966124,0.430701602677257,0.110552887839668
"s_speak",0.508028901433783,0.778347111810139,0.268217662130831,0.691861373203243,0.731606881725901,0.442061431976591,0.723303889777209
"power",0.0241374731109691,0.887893848312711,0.609157137608844,0.107271399917726,0.0608408231801422,0.0266420492849859,0.0745226697288181
"enunciated",0.0925776742960081,0.623555087520757,0.772212031355454,0.23450416743652,0.0802883222392145,0.0360580767229537,0.223383722576787
"chillness",0.446182326244221,0.568840467576037,0.522577304593146,0.256973809875527,0.0524665297295283,0.0952701904923371,0.0561155897725946
"presence",0.00588527780861178,0.116223171075229,0.760840434749606,0.0680213755812916,0.0233563104879221,0.106375926117951,0.106990293809994
"motherease",0.282189234205913,0.865574656269739,0.78338360831453,0.660671628440936,0.527976434401857,0.218178714485307,0.510122327413929
"calmness",0.860823768237641,0.250414059593709,0.48463159042637,0.962908040825983,0.469642328719667,0.111996901069707,0.859163254853291
"dominance",0.0247245223935564,0.533995714804291,0.761948942402243,0.113553692820866,0.179593738913376,0.250612227477106,0.373039395816693
"responsivity",0.00323133112073196,0.0414457589342005,0.637312720940659,0.037357918924937,0.189436097946016,0.0136114030980007,0.188999910493992
