"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.195516875868211,0.308669046160347,-0.340616077499041,-0.33179270489732,0.00234858021147591,-0.20527752462742,-0.247375558527377
"monitor",0.00351771879814468,0.0423796189511268,0.0336702976233569,-0.274561038895965,-0.139840627167974,-0.0632778088875324,-0.0819299530659065
"keyboard",0.128131567796418,0.0210335668276804,0.0708496303737621,0.252111195461825,0.221098838237354,0.128991577124942,0.220307400253872
"face",-0.231228276148425,-0.26883626871061,0.184246043245855,0.25186158966313,-0.0595199338664358,0.106684655011975,0.0894235394028523
"comp_only",0.118083993362357,0.0551780716823525,0.0924591640430744,-0.00868295051489241,0.0788224354420082,0.061661443843988,0.127698747395013
"no_face",0.231228276148425,0.26883626871061,-0.184246043245855,-0.25186158966313,0.0595199338664358,-0.106684655011975,-0.0894235394028523
"body_only",-0.276045516273055,-0.291973100073161,0.247552409466402,0.0958466313209738,-0.177543456015642,0.0807150874434062,0.0457976599805389
"s_speak",0.00358553873913241,-0.0554623411038748,0.0445273026605356,0.0143336367014322,-0.133846592434137,0.0423818484131942,-0.0694203831218673
"power",-0.0189835583689234,0.0350647483390861,0.110161779607155,0.184580384391521,-0.143482006953462,0.163828705713142,-0.0287501883733066
"enunciated",0.0106849608481249,-0.0352514067981393,0.0141144993153636,0.120297378331018,0.211970610889908,0.0204178917455337,0.171849076958124
"chillness",-0.0578477262899338,-0.205699028893438,0.157358266274216,0.0853686514551374,0.10066755146835,0.164255858646111,0.191819545286596
"presence",0.0148524245558737,-0.20104091288605,0.213535509521317,0.167636080914247,0.0988165088618728,0.124181334470403,0.231503431616332
"motherease",0.21317086989673,-0.204397051578574,-0.0228345698760238,0.0228425154021581,0.0774941097079344,0.262632581101509,0.0423476429239387
"calmness",-0.133946769361625,-0.117595519406706,0.0211673308205238,0.15959794185213,-0.11618153348868,0.129225728829422,-0.073047528651317
"dominance",-0.0370597398893042,-0.215204044335023,0.133875625879298,0.113482179131872,0.144448065890556,0.0738102177010151,0.208002954470391
"responsivity",-0.107238981575045,-0.158584690838289,0.164114992562777,0.158702008724909,0.0269794207187567,0.200467593470702,0.140610946631143
