"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.110077433916857,0.0104363124487186,0.00447976386817679,0.00570843408996846,0.984834843961162,0.0930908588195981,0.0419697443890816
"monitor",0.977287191675233,0.731488342123052,0.785174520652326,0.0234606975283661,0.255381449806928,0.608201567672806,0.506559778793062
"keyboard",0.297731466276018,0.864813258475124,0.565878790565516,0.0380746876772909,0.0699983527088614,0.294473450902326,0.0710323069924102
"face",0.0578009265359816,0.0266393054827833,0.132562637512394,0.0382722087250728,0.629704961040682,0.386540171896927,0.468336238287503
"comp_only",0.337531889182134,0.654936455298827,0.453308427373729,0.943974568688139,0.52286777778274,0.617411660966167,0.299380009141856
"no_face",0.0578009265359816,0.0266393054827833,0.132562637512394,0.0382722087250728,0.629704961040682,0.386540171896927,0.468336238287502
"body_only",0.0226910628376394,0.0156950450159809,0.0418185818052672,0.436857536192976,0.147490491323891,0.512904031215063,0.710749133721342
"s_speak",0.976849418511111,0.653272271615606,0.718433648909033,0.907642440364041,0.276520279430857,0.731474750129831,0.573760923753846
"power",0.877882581673689,0.776504027510161,0.371160635644857,0.131849116748098,0.243089852370238,0.181889736486431,0.815968912287352
"enunciated",0.931085385704144,0.775345448707257,0.909048395268444,0.328489672259138,0.0826829693901357,0.868734713014847,0.161130385876571
"chillness",0.63937464404404,0.0924064824337389,0.199999449457768,0.488823258715685,0.414035085246768,0.180737481113145,0.117103233136358
"presence",0.904315104299156,0.100192371536765,0.0803877376636055,0.171805534374298,0.422715320217967,0.312997529788009,0.0574953905407753
"motherease",0.0809179818596579,0.0945332587967562,0.853361026585847,0.853310567552781,0.529918191183579,0.0304866331659196,0.731683294144976
"calmness",0.276157688673855,0.339548274226361,0.863961694406753,0.193590900278536,0.345427541548974,0.293590462251189,0.553857735401314
"dominance",0.764146866769398,0.0779965081706922,0.27641516015108,0.356826105477618,0.239898262028404,0.549715075881125,0.0887352080020508
"responsivity",0.384063217408682,0.196471696182965,0.181116883995742,0.19613658552475,0.827122904832844,0.101184955563737,0.252746654716434
