"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",1.61964521492161,2.63637467587343,-2.94317253803898,-2.85735945924568,0.0190800084555029,-1.70397058353666,-2.07415391957425
"monitor",0.0285782594320128,0.344603250257432,0.273693976900844,-2.31969090454438,-1.14734440352495,-0.515103642324758,-0.667847327689017
"keyboard",1.04959742169772,0.170915316279391,0.577035203322766,2.11652856472928,1.84179734899051,1.05676103651301,1.83486756952397
"face",-1.93083391328855,-2.26751262862817,1.52289363699439,2.11429106504654,-0.484401014809696,0.871685022221512,0.72940248081054
"comp_only",0.966077954684736,0.44895273959625,0.754373174231609,-0.0705432827557312,0.642355070216325,0.501894982442671,1.0459930717869
"no_face",1.93083391328855,2.26751262862817,-1.52289363699439,-2.11429106504654,0.484401014809696,-0.871685022221512,-0.72940248081054
"body_only",-2.33326438038594,-2.48006574651455,2.0757335168708,0.782263164434841,-1.4656547687273,0.657878988283882,0.372452749527875
"s_speak",0.0291292416626713,-0.451272797362285,0.362100659965653,0.116458979086609,-1.09724782359882,0.34462141140048,-0.565337738603386
"power",-0.154250953881731,0.285042651236006,0.900438897021537,1.52575453031808,-1.17784053822799,1.34917973237722,-0.233664224757479
"enunciated",0.086809987901851,-0.286561887732416,0.114678158108404,0.984449692324856,1.76209925492112,0.16591032349006,1.41719165148262
"chillness",-0.470745451780687,-1.70762383025649,1.2945121723421,0.696079286799519,0.822002729911349,1.35279487779222,1.58783511327575
"presence",0.120674978347164,-1.66730573587136,1.77572729211952,1.3814306591727,0.806737551545833,1.01672383984796,1.93326158496069
"motherease",1.77255052554441,-1.69634256958003,-0.185557305354571,0.185621905650618,0.631464055867688,2.21126148568608,0.344342774895397
"calmness",-1.09808405196478,-0.96202545634555,0.172002746248945,1.31341503251983,-0.950298666708187,1.05871186787064,-0.595030575684036
"dominance",-0.301281715030999,-1.79027363225319,1.09749017718052,0.927927966557392,1.18593931196947,0.601277143480491,1.72760993349246
"responsivity",-0.876266796319664,-1.30486063662983,1.3516025922937,1.30585087862858,0.219261663672678,1.66235161112141,1.15379173448013
