"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time"
"1",1,2193.25,2,1252,68.75,61.75,810.75,153.532196969697,12.0277777777778,39.8125,75.3422619047619,139.595695970696,40.2192307692308,85.5266025641026,112,10,38.125,51.125,110.375,38.75,58.75,167.445951253566,5.25383586603815,5.52316832203826,65.3486434252792,154.929659775966,5.42102731539291,77.3523109710016,7.75,3.25,2,11.5,10.75,5.25,10.75,585,22,48.5,208.5,621,50.5,237,29.75,5.75,34.5,10.25,21.5,34,12.5,1895.25,0,298,0,0,671.458333333333,0,119.6875,0,0,119.6875,671.458333333333,357.625,0,117,0,0,117,357.625,748.798182741671,0,58.8798691101612,0,0,58.8798691101612,748.798182741671,3,0,2,0,0,2,3,1709.75,0,190.75,0,0,190.75,1709.75,85.5,0,54,0,0,54,85.5,130.5,1382.5,879.5
"2",3,893.888888888889,2,348,421.444444444444,37.7777777777778,86.6666666666667,61.3007495590829,83.6839225589226,21.7037037037037,25.5648148148148,216.624074074074,80.9514590347924,27.4507936507936,53.8333333333333,66,21.1111111111111,24.0555555555556,178.388888888889,65.2777777777778,25.7777777777778,38.671872771395,41.1260266828473,2.13209971030736,11.4449868097477,139.287637538637,43.7317219601886,12.4267796478333,5.77777777777778,5.88888888888889,1.11111111111111,3.22222222222222,4,6.55555555555556,4,116,149.222222222222,24.5555555555556,40.2222222222222,441.222222222222,156.777777777778,46.7777777777778,15.3333333333333,38.4444444444444,19.4444444444444,12.7777777777778,87.1111111111111,35,13.1111111111111,793.555555555556,0,100.333333333333,0,0,444.888888888889,0,83.1111111111111,0,0,83.1111111111111,444.888888888889,384.555555555556,0,83.1111111111111,0,0,83.1111111111111,384.555555555556,266.696848164462,0,8.11111111111111,0,0,8.11111111111111,266.696848164462,1.77777777777778,0,1,0,0,1,1.77777777777778,753,0,91.2222222222222,0,0,91.2222222222222,753,197.111111111111,0,75,0,0,75,197.111111111111,459.222222222222,807.222222222222,508.111111111111
"3",5,1035.75,2,196.5,456.875,60,322.375,47.4777777777778,73.1910714285714,25.1041666666667,56.3133928571429,100.465178571429,80.3175595238095,68.5994543650794,35.5,57.1875,24.8125,32.8125,62.75,67,44.125,33.2680550296946,63.4642950593038,4.90613193989937,53.5629347128187,122.011931704046,66.3001024873739,57.8901557838123,3,5.875,2.375,6.25,6.75,6,6.875,126,207.75,30.75,155.75,385,210.375,169.875,25.25,16.5,19.75,13.5,11.625,15.875,15,924.125,0,111.625,0,0,679.9375,0,111.625,0,0,111.625,679.9375,679.9375,0,111.625,0,0,111.625,679.9375,191.6875,0,0,0,0,0,191.6875,1.5,0,0.625,0,0,0.625,1.5,871.625,0,111.625,0,0,111.625,871.625,488.25,0,111.625,0,0,111.625,488.25,516.875,713.375,779.25
"4",6,930.142857142857,2,193.857142857143,203.714285714286,95.4285714285714,437.142857142857,32.777380952381,30.0422077922078,30.9571428571429,90.8806637806638,53.7258158508158,34.4807256235828,108.563265306122,30.7142857142857,24.7857142857143,28.7857142857143,75.6428571428571,34.7857142857143,26.9285714285714,80.5714285714286,20.6008404462879,22.5969619594443,14.4040123485668,47.7378278360799,61.0413390163691,26.5626831615359,68.643840586324,3.57142857142857,5.28571428571429,2.42857142857143,7.42857142857143,7.42857142857143,7.14285714285714,6.85714285714286,65,69.4285714285714,49.8571428571429,203.142857142857,216.571428571429,86.8571428571429,261.714285714286,7.85714285714286,7.57142857142857,16.4285714285714,52.4285714285714,8,7.57142857142857,56.5714285714286,878.285714285714,0,51.8571428571429,0,0,822.714285714286,0,51.8571428571429,0,0,51.8571428571429,822.714285714286,822.714285714286,0,51.8571428571429,0,0,51.8571428571429,822.714285714286,52.7142857142857,0,0,0,0,0,52.7142857142857,1.14285714285714,0,0.857142857142857,0,0,0.857142857142857,1.14285714285714,875.428571428571,0,51.8571428571429,0,0,51.8571428571429,875.428571428571,770,0,51.8571428571429,0,0,51.8571428571429,770,299.142857142857,493,640.857142857143
"5",7,1626.6,2,513.6,8.2,559.4,545.4,185.616666666667,4.1,206.388888888889,86.7933333333333,307.243076923077,197.735555555556,278.402777777778,172.8,4.1,169.7,72.4,268.1,162.5,223.9,49.5129598969037,1.1,98.1511621374223,50.0947145474139,98.9935381717376,96.0799272424965,152.493233659454,4.4,0.4,3.6,6.8,7,4,5.2,278,5.2,350.8,182.6,519.6,350.8,579.2,134.2,3,114.2,37.2,223.8,110.8,135.8,1472.2,0,154.4,0,0,906.6,0,122.4,0,0,122.4,906.6,914,0,122.4,0,0,122.4,914,188.826010656443,0,9.6,0,0,9.6,188.826010656443,1.8,0,1,0,0,1,1.8,1118.2,0,132,0,0,132,1118.2,687.6,0,112.8,0,0,112.8,687.6,567.6,1081.2,553.6
"6",8,616.909090909091,2,43.8181818181818,278,29.2727272727273,265.818181818182,23.3636363636364,49.5487012987013,12.7878787878788,67.6016233766234,75.9878787878788,55.4709235209235,72.5675324675325,23.4545454545455,45.5,12.5454545454545,68.5454545454545,61.1363636363636,50.2272727272727,68.7727272727273,0.68835252676367,21.4948122522281,5.14357136450815,42.0447233712745,37.4463377275085,27.1541800567614,47.8780859267118,0.909090909090909,4.54545454545455,0.727272727272727,4.36363636363636,4.18181818181818,4.54545454545455,4.54545454545455,24.1818181818182,86.1818181818182,19.0909090909091,116.090909090909,133.545454545455,98.7272727272727,132.545454545455,22.1818181818182,23.3636363636364,6.72727272727273,18.1818181818182,37.4545454545455,22.4545454545455,16.1818181818182,550.363636363636,0,66.5454545454545,0,0,347.772727272727,0,52.5454545454545,0,0,52.5454545454545,347.772727272727,347.772727272727,0,52.5454545454545,0,0,52.5454545454545,347.772727272727,186.045454545455,0,9,0,0,9,186.045454545455,1.63636363636364,0,1,0,0,1,1.63636363636364,533.818181818182,0,61.5454545454545,0,0,61.5454545454545,533.818181818182,161.727272727273,0,43.5454545454545,0,0,43.5454545454545,161.727272727273,307.272727272727,351.090909090909,543.818181818182
"7",12,1473.4,2,29,8.6,85,1350.8,13.1666666666667,5.9,27.1666666666667,366.437857142857,21.1071428571429,24.6166666666667,601.133333333333,12.9,5.9,27.2,326.2,20.7,25.1,607,4.46864307469779,0.7,8.61585703048387,146.27127079301,10.9475455554246,10.1946048870033,183.183133090906,1.6,0.6,2.4,5,4.6,3,3,18.2,6.6,37,597,37,37,847.8,8.4,5.2,16.2,205,6.8,11.2,407.6,1444.8,0,28.6,0,0,1231.5,0,17.4,0,0,17.4,1231.5,1231.5,0,17.4,0,0,17.4,1231.5,188.1,0,1,0,0,1,188.1,1.2,0,0.6,0,0,0.6,1.2,1419.6,0,18.4,0,0,18.4,1419.6,1043.4,0,16.4,0,0,16.4,1043.4,93.6,122.6,1359.4
"8",14,399.3125,2,60.4375,69.9375,81.375,187.5625,33.703125,31.9447916666667,19.4330357142857,55.065625,56.8904265873016,37.2604910714286,82.61875,33.0625,31.84375,19.09375,54.78125,51.875,35.71875,70.875,9.20472273685101,10.43851567071,7.53283773989244,29.171804826499,22.1596411959138,16.6057971422203,55.7085282735335,1.4375,1.8125,2.25,4.1875,3.75,3.4375,3.3125,44.375,45.625,31.75,91.125,91.8125,61.1875,158.9375,24.3125,20.75,10.9375,24,31.5625,18.0625,28.875,344.8125,0,54.5,0,0,232.875,0,36.28125,0,0,36.28125,232.875,232.875,0,36.28125,0,0,36.28125,232.875,79.875,0,4.46875,0,0,4.46875,79.875,1.5625,0,0.9375,0,0,0.9375,1.5625,312.75,0,40.75,0,0,40.75,312.75,153,0,31.8125,0,0,31.8125,153,151.3125,211.75,257.5
"9",15,1362.16666666667,2,715.333333333333,293.833333333333,120,233,362.077380952381,95.9305555555556,76.5555555555556,48.7619047619048,303.683333333333,120.541666666667,108.4375,358.166666666667,79,76.1666666666667,41.0833333333333,290.166666666667,109.666666666667,88.6666666666667,70.4611164599744,53.1571131474179,18.0120153816277,27.6343233372749,205.247443258702,65.8180679586496,52.6883237688578,2.83333333333333,2.16666666666667,1.83333333333333,4.5,4.5,3.33333333333333,4.16666666666667,472.166666666667,170.5,95.5,97.8333333333333,567.5,198.666666666667,205.333333333333,285.166666666667,48.3333333333333,58,22.1666666666667,81.5,53,65,1324.83333333333,0,37.3333333333333,0,0,996.666666666667,0,37.3333333333333,0,0,37.3333333333333,996.666666666667,996.666666666667,0,37.3333333333333,0,0,37.3333333333333,996.666666666667,306.166666666667,0,0,0,0,0,306.166666666667,1.5,0,0.833333333333333,0,0,0.833333333333333,1.5,1302.83333333333,0,37.3333333333333,0,0,37.3333333333333,1302.83333333333,690.5,0,37.3333333333333,0,0,37.3333333333333,690.5,413.833333333333,1129.16666666667,526.833333333333
"10",16,987.285714285714,2,445,85.7142857142857,108,348.571428571429,75.1807050092764,34.0357142857143,29.547619047619,56.7189255189255,94.8105442176871,37.0142857142857,87.4005102040816,54.2857142857143,32.8571428571429,26.6428571428571,36.8571428571429,67.7857142857143,33.3571428571429,77.3571428571429,54.0118707136636,17.9407963127306,15.5121916923677,43.6987550908648,85.600441106586,19.4855811504359,65.4227820022271,5.71428571428571,2.42857142857143,3.14285714285714,6.71428571428571,6.71428571428571,4.85714285714286,6.28571428571429,181,54.4285714285714,51.2857142857143,129.571428571429,274.428571428571,70.4285714285714,186.571428571429,24.7142857142857,15,12.1428571428571,14.7142857142857,20,14.7142857142857,20.2857142857143,654.428571428571,0,332.857142857143,0,0,383.285714285714,0,196.166666666667,0,0,196.166666666667,383.285714285714,382.857142857143,0,191.642857142857,0,0,191.642857142857,382.857142857143,182.288166289029,0,93.5517229183557,0,0,93.5517229183557,182.288166289029,1.85714285714286,0,1.57142857142857,0,0,1.57142857142857,1.85714285714286,575.428571428571,0,292.571428571429,0,0,292.571428571429,575.428571428571,191.571428571429,0,104.285714285714,0,0,104.285714285714,191.571428571429,193.714285714286,638.714285714286,434.285714285714
