"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.238824932511614,-0.912270324177617,-1.40112694729683,-1.69365462692606,-2.29375423109187,-1.37269491390687,-2.48483284691873
"monitor",0.791009209271642,-0.0983603945256342,-0.362582460325218,-0.622143461497633,0.542355698571213,0.148380022644522,0.109053109038997
"keyboard",-1.21901856858167,-0.156689347840024,-0.145628063511599,0.914355235411235,-1.32365675371373,-0.261128407109446,-0.959125042383954
"face",0.0511114702972364,1.16085455641121,1.89712100791403,1.56093737263,3.09144256874457,1.52856057267957,3.401137875786
"comp_only",-0.33925240138428,-0.223252822814413,-0.449844134716469,0.231523244509206,-0.647915160850398,-0.0931089763901567,-0.728665042888163
"no_face",-0.0511114702972364,-1.16085455641121,-1.89712100791403,-1.56093737263,-3.09144256874457,-1.52856057267957,-3.401137875786
"body_only",0.635840842161246,1.01198119124688,1.48674613269546,0.98257648631881,3.36858122149523,1.54608342438091,3.25632576295986
"s_speak",1.71769356698208,-0.577375384262927,0.355336074638192,0.932729400134028,1.89201972191357,0.648241978132982,1.46800135086083
"power",0.192171396517088,-0.3641022369268,0.898905362241628,1.01643524751863,0.871316479644149,1.15559561986062,1.1824410764339
"enunciated",0.939872839934091,0.458422479672624,-1.39097330545068,-0.958163029122182,1.68101578669333,-0.819800658658797,0.149850728490092
"chillness",-0.752972042354299,0.242776631104423,-0.209229918086513,0.0121748375767598,-0.0679918437111991,0.669575002240079,-0.185828974039749
"presence",-0.406564323372635,0.496994243272113,1.48422665638173,1.49192542476202,1.61438251904471,0.953970964964519,2.08745573415126
"motherease",-1.80688148630745,0.12556014804139,-1.22395125557358,-1.67339571356321,0.253088577876901,-1.53721711436961,-0.654523798884796
"calmness",-1.62863172646473,-0.157920634720164,-0.463871011437832,0.872920174562996,0.206637913433484,1.34658965627282,-0.177917566978523
"dominance",0.172392418494144,1.21783809325812,2.10161133618591,2.45210280505246,0.824415382246924,0.86715161791154,1.96621346120544
"responsivity",-0.710900390233094,-0.920342290354744,0.991290665009115,1.55548459027324,0.0297924452305013,1.80297395104176,0.686802989753063
