"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time"
"1",1,504.875,2,79,37.75,122.125,266,22.2952380952381,11.7916666666667,27.5196428571429,36.9620879120879,31.1214285714286,28.5354166666667,83.3198051948052,21,9.625,24,29.4375,26.125,24.875,65.3125,9.60426634198591,4.94084678753032,17.8286939647684,28.129531871443,20.3110729016453,18.3952401129164,65.642842019909,3.375,2.25,4.5,8.25,8.125,5.625,5.75,38.75,18.375,56,84.75,68.5,61.625,180.625,12.875,7.25,9.125,8.75,7.25,9,16.625,496.5,0,8.375,0,0,449.9375,0,8.375,0,0,8.375,449.9375,449.9375,0,8.375,0,0,8.375,449.9375,41.9375,0,0,0,0,0,41.9375,1.125,0,0.25,0,0,0.25,1.125,491.875,0,8.375,0,0,8.375,491.875,408,0,8.375,0,0,8.375,408,159.875,238.875,303.75
"2",3,379.333333333333,2,159.333333333333,139.333333333333,39,41.6666666666667,56.5555555555556,37.9333333333333,18.5,29,198.666666666667,50.7833333333333,27.5277777777778,53,32.3333333333333,20.5,29,189,53.6666666666667,24.3333333333333,31.8807365413511,21.2524085740109,3.32842712474619,8.33333333333333,41.3321995071313,26.8349079865662,11.2537602223858,2.66666666666667,3.66666666666667,2,1,2,3.66666666666667,2.66666666666667,94.3333333333333,65,21,37.3333333333333,246.666666666667,81,43.3333333333333,22.3333333333333,15,14,20.6666666666667,160.333333333333,15,15,379.333333333333,0,0,0,0,379.333333333333,0,0,0,0,0,379.333333333333,379.333333333333,0,0,0,0,0,379.333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,1,379.333333333333,0,0,0,0,0,379.333333333333,379.333333333333,0,0,0,0,0,379.333333333333,178.333333333333,337.666666666667,181
"3",5,297.6,2,59.7,54,35.8,148.1,23.8,32.4916666666667,21.3333333333333,42.9466666666667,48.7516666666667,38.4083333333333,62.19,23.8,32.95,21.5,34.3,43.3,36.6,45.1,8.90739727413618,5.70264863482817,3.18586123009301,28.0820943856995,23.2773251833686,11.2363861543941,42.6819139592566,1.2,1.8,1.6,3.5,3.3,2.5,3.2,32.9,38.8,24.5,84.8,77.2,52.3,124.6,14.7,26.1,18,16.9,25,26.5,27.3,243.1,0,54.5,0,0,243.1,0,54.5,0,0,54.5,243.1,243.1,0,54.5,0,0,54.5,243.1,0,0,0,0,0,0,0,1,0,0.4,0,0,0.4,1,243.1,0,54.5,0,0,54.5,243.1,243.1,0,54.5,0,0,54.5,243.1,89.8,149.5,202.1
"4",6,480.571428571429,2,107.428571428571,104.857142857143,10.5714285714286,257.714285714286,35.75,30.3261904761905,3.52380952380952,110.738095238095,37.886827458256,29.897619047619,115.242176870748,32.2857142857143,26.6428571428571,3.28571428571429,100.642857142857,25.5714285714286,26.2142857142857,107.357142857143,17.8165399557184,13.0364175640544,0.890870806374748,22.3790946259616,28.641036538034,12.624705860229,25.4838310616662,2.42857142857143,3.14285714285714,0.428571428571429,5.14285714285714,5.28571428571429,3.57142857142857,4.71428571428571,62,51.2857142857143,4.71428571428571,153.571428571429,95.8571428571429,51.2857142857143,161,18,18.5714285714286,2.57142857142857,89.7142857142857,13.2857142857143,18.5714285714286,89.8571428571429,456.571428571429,0,24,0,0,437.214285714286,0,24,0,0,24,437.214285714286,437.214285714286,0,24,0,0,24,437.214285714286,16.3571428571429,0,0,0,0,0,16.3571428571429,1.14285714285714,0,0.285714285714286,0,0,0.285714285714286,1.14285714285714,453.571428571429,0,24,0,0,24,453.571428571429,420.857142857143,0,24,0,0,24,420.857142857143,115.428571428571,222.857142857143,362.571428571429
"5",7,446.090909090909,2,142.454545454545,0,106.272727272727,197.363636363636,46.780303030303,0,61.969696969697,78.8863636363636,87.530303030303,61.969696969697,200.530303030303,41.0909090909091,0,56.5454545454545,75.7272727272727,76.7727272727273,56.5454545454545,200.227272727273,32.7723531735381,0,13.0824516457998,34.0858479778018,52.8895273970978,13.0824516457998,22.5250233248297,1.45454545454545,0,1.72727272727273,2.90909090909091,2.63636363636364,1.72727272727273,2,89.6363636363636,0,78.4545454545455,121.818181818182,157.454545454545,78.4545454545455,225.363636363636,15,0,50.9090909090909,44,35.4545454545455,50.9090909090909,176,402.545454545455,0,43.5454545454545,0,0,329.272727272727,0,43.5454545454545,0,0,43.5454545454545,329.272727272727,329.272727272727,0,43.5454545454545,0,0,43.5454545454545,329.272727272727,61.7272727272727,0,0,0,0,0,61.7272727272727,1.27272727272727,0,0.272727272727273,0,0,0.272727272727273,1.27272727272727,391,0,43.5454545454545,0,0,43.5454545454545,391,267.545454545455,0,43.5454545454545,0,0,43.5454545454545,267.545454545455,106.272727272727,248.727272727273,197.363636363636
"6",8,355.6,2,80.8,221.2,0,53.6,31.3,56.5733333333333,0,21.6833333333333,169.11,56.5733333333333,21.6833333333333,33.3,59.9,0,21.8,174.2,59.9,21.8,7.33163818837342,22.4207647804165,0,4.82446857050763,26.1529907307293,22.4207647804165,4.82446857050763,2.4,4,0,2.2,2.8,4,2.2,38.2,82.2,0,28,199,82.2,28,22.4,27.8,0,16,133.4,27.8,16,355.6,0,0,0,0,355.6,0,0,0,0,0,355.6,355.6,0,0,0,0,0,355.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,355.6,0,0,0,0,0,355.6,355.6,0,0,0,0,0,355.6,221.2,302,274.8
"7",12,341.375,2,13.25,0,83.5,244.625,5.66666666666667,0,40.9583333333333,96.3958333333333,39.2395833333333,40.9583333333333,294.6875,3.625,0,39.625,94.6875,37.5,39.625,294.1875,3.61756901185804,0,10.6168030913299,47.4077123250703,14.597948173151,10.6168030913299,9.78890084753649,0.5,0,2,2.625,2.375,2,1.375,10.75,0,52.75,148,56.375,52.75,306,2.625,0,30.5,46.5,24.25,30.5,283.875,310.75,0,30.625,0,0,310.75,0,30.625,0,0,30.625,310.75,310.75,0,30.625,0,0,30.625,310.75,0,0,0,0,0,0,0,1,0,0.375,0,0,0.375,1,310.75,0,30.625,0,0,30.625,310.75,310.75,0,30.625,0,0,30.625,310.75,83.5,96.75,244.625
"8",14,332.5,2,49,41,130.25,112.25,14.4,29,33.4166666666667,33.3916666666667,70.2916666666667,53.6625,70.825,12.75,29,25.5,32.625,64.875,50,65.125,6.99357957818383,7.5,18.4165694273423,16.4053852516163,32.8446926820477,23.9905134462286,39.2709438879911,3,1,4,3.75,3.75,3.5,4.25,24.25,36.5,60,52.25,109.5,82.75,125.5,6.75,21.5,14.75,14.25,32.25,29.25,30.75,331,0,1.5,0,0,331,0,1.5,0,0,1.5,331,331,0,1.5,0,0,1.5,331,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,1,331,0,1.5,0,0,1.5,331,331,0,1.5,0,0,1.5,331,171.25,220.25,153.25
"9",15,386.25,2,157.875,71.5,78.75,78.125,103.15625,39.875,40.2083333333333,37.375,124.802083333333,64.7291666666667,102.125,102.4375,42,40.125,35.5,122.1875,66.875,101.875,15.4275409899468,15.4855734012058,6.83806208334273,11.3915987116779,64.5428732442714,19.3690625104728,11.2317134245647,1.625,1.25,1.625,2,2.625,2.375,2.125,120.25,55.25,47.5,50.5,200.375,84.875,116.25,87.5,22.375,33,26.125,55.5,40.875,89.875,377.5,0,8.75,0,0,362.6875,0,5.125,0,0,5.125,362.6875,362.6875,0,5.125,0,0,5.125,362.6875,7.4375,0,1.75,0,0,1.75,7.4375,1.125,0,0.5,0,0,0.5,1.125,370.125,0,6.875,0,0,6.875,370.125,355.25,0,3.375,0,0,3.375,355.25,150.25,308.125,149.625
"10",16,561,2,240.875,89.625,114.75,115.75,62.1799107142857,28.5875,32.4229166666667,35.7708333333333,104.166666666667,43.2270833333333,60.2604166666667,56.5,24.6875,28.4375,33.25,77.75,37.375,51.875,28.9457708592331,15.6795969538677,20.0057200574878,15.0657496540778,83.8684014295215,27.3198556562025,27.0835085549297,3.875,2.25,3.25,3.5,4.125,4.5,4.25,119.875,48.75,62.875,57.875,234.5,90.625,105.125,33.875,13.125,12,20.375,21.125,15.75,34.375,554.5,0,6.5,0,0,507.6875,0,6.5,0,0,6.5,507.6875,507.6875,0,6.5,0,0,6.5,507.6875,32.1875,0,0,0,0,0,32.1875,1.25,0,0.375,0,0,0.375,1.25,539.875,0,6.5,0,0,6.5,539.875,475.5,0,6.5,0,0,6.5,475.5,204.375,445.25,205.375
