"","Group.1","Duration","TalkType","S_Around_Overall_Time","S_Monitor_Overall_Time","S_Keyboard_Overall_Time","S_Face_Overall_Time","S_Around_Mean","S_Monitor_Mean","S_Keyboard_Mean","S_Face_Mean","S_NoFace_Mean","S_CompOnly_Mean","S_BodyOnly_Mean","S_Around_Median","S_Monitor_Median","S_Keyboard_Median","S_Face_Median","S_NoFace_Median","S_CompOnly_Median","S_BodyOnly_Median","S_Around_PopularSD","S_Monitor_PopularSD","S_Keyboard_PopularSD","S_Face_PopularSD","S_NoFace_PopularSD","S_CompOnly_PopularSD","S_BodyOnly_PopularSD","S_Around_Frequency","S_Monitor_Frequency","S_Keyboard_Frequency","S_Face_Frequency","S_NoFace_Frequency","S_CompOnly_Frequency","S_BodyOnly_Frequency","S_Around_Max","S_Monitor_Max","S_Keyboard_Max","S_Face_Max","S_NoFace_Max","S_CompOnly_Max","S_BodyOnly_Max","S_Around_Min","S_Monitor_Min","S_Keyboard_Min","S_Face_Min","S_NoFace_Min","S_CompOnly_Min","S_BodyOnly_Min","S_NoSpeak_Overall_Time","S_Typing_Overall_Time","S_Speaking_Overall_Time","S_SSS_Overall_Time","S_Hovering_Overall_Time","S_NoSpeak_Mean","S_Typing_Mean","S_Speaking_Mean","S_SSS_Mean","S_Hovering_Mean","S_Sound_Mean","S_NoSound_Mean","S_NoSpeak_Median","S_Typing_Median","S_Speaking_Median","S_SSS_Median","S_Hovering_Median","S_Sound_Median","S_NoSound_Median","S_NoSpeak_PopularSD","S_Typing_PopularSD","S_Speaking_PopularSD","S_SSS_PopularSD","S_Hovering_PopularSD","S_Sound_PopularSD","S_NoSound_PopularSD","S_NoSpeak_Frequency","S_Typing_Frequency","S_Speaking_Frequency","S_SSS_Frequency","S_Hovering_Frequency","S_Sound_Frequency","S_NoSound_Frequency","S_NoSpeak_Max","S_Typing_Max","S_Speaking_Max","S_SSS_Max","S_Hovering_Max","S_Sound_Max","S_NoSound_Max","S_NoSpeak_Min","S_Typing_Min","S_Speaking_Min","S_SSS_Min","S_Hovering_Min","S_Sound_Min","S_NoSound_Min","S_CompOnly_Overall_Time","S_NoFace_Overall_Time","S_BodyOnly_Overall_Time","S_Around_Per_Total","S_Monitor_Per_Total","S_Keyboard_Per_Total","S_Face_Per_Total","S_CompOnly_Per_Total","S_NoFace_Per_Total","S_BodyOnly_Per_Total","S_Speak_Per_Total"
"1",1,4039,16,632,302,977,2128,178.361904761905,94.3333333333333,220.157142857143,295.696703296703,248.971428571429,228.283333333333,666.558441558442,168,77,192,235.5,209,199,522.5,76.8341307358873,39.5267743002425,142.629551718147,225.036254971544,162.488583213163,147.161920903331,525.142736159272,27,18,36,66,65,45,46,310,147,448,678,548,493,1445,103,58,73,70,58,72,133,3972,0,67,0,0,3599.5,0,67,0,0,67,3599.5,3599.5,0,67,0,0,67,3599.5,335.5,0,0,0,0,0,335.5,9,0,2,0,0,2,9,3935,0,67,0,0,67,3935,3264,0,67,0,0,67,3264,1279,1911,2430,15.6474374845259,7.47709829165635,24.1891557316167,52.686308492201,31.6662540232731,47.313691507799,60.1634067838574,1.65882644218866
"2",3,1138,6,478,418,117,125,169.666666666667,113.8,55.5,87,596,152.35,82.5833333333333,159,97,61.5,87,567,161,73,95.6422096240534,63.7572257220327,9.98528137423857,25,123.996598521394,80.5047239596986,33.7612806671573,8,11,6,3,6,11,8,283,195,63,112,740,243,130,67,45,42,62,481,45,45,1138,0,0,0,0,1138,0,0,0,0,0,1138,1138,0,0,0,0,0,1138,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1138,0,0,0,0,0,1138,1138,0,0,0,0,0,1138,535,1013,543,42.0035149384886,36.7311072056239,10.2811950790861,10.9841827768014,47.01230228471,89.0158172231986,47.7152899824253,0
"3",5,2976,20,597,540,358,1481,238,324.916666666667,213.333333333333,429.466666666667,487.516666666667,384.083333333333,621.9,238,329.5,215,343,433,366,451,89.0739727413618,57.0264863482817,31.8586123009301,280.820943856995,232.773251833686,112.363861543941,426.819139592566,12,18,16,35,33,25,32,329,388,245,848,772,523,1246,147,261,180,169,250,265,273,2431,0,545,0,0,2431,0,545,0,0,545,2431,2431,0,545,0,0,545,2431,0,0,0,0,0,0,0,10,0,4,0,0,4,10,2431,0,545,0,0,545,2431,2431,0,545,0,0,545,2431,898,1495,2021,20.0604838709677,18.1451612903226,12.0295698924731,49.7647849462366,30.1747311827957,50.2352150537634,67.9099462365591,18.3131720430108
"4",6,3364,14,752,734,74,1804,250.25,212.283333333333,24.6666666666667,775.166666666667,265.207792207792,209.283333333333,806.695238095238,226,186.5,23,704.5,179,183.5,751.5,124.715779690029,91.2549229483808,6.23609564462324,156.653662381731,200.487255766238,88.3729410216028,178.386817431663,17,22,3,36,37,25,33,434,359,33,1075,671,359,1127,126,130,18,628,93,130,629,3196,0,168,0,0,3060.5,0,168,0,0,168,3060.5,3060.5,0,168,0,0,168,3060.5,114.5,0,0,0,0,0,114.5,8,0,2,0,0,2,8,3175,0,168,0,0,168,3175,2946,0,168,0,0,168,2946,808,1560,2538,22.3543400713436,21.8192627824019,2.19976218787158,53.6266349583829,24.0190249702735,46.3733650416171,75.4458977407848,4.99405469678954
"5",7,4907,22,1567,0,1169,2171,514.583333333333,0,681.666666666667,867.75,962.833333333333,681.666666666667,2205.83333333333,452,0,622,833,844.5,622,2202.5,360.495884908919,0,143.906968103798,374.94432775582,581.784801368076,143.906968103798,247.775256573127,16,0,19,32,29,19,22,986,0,863,1340,1732,863,2479,165,0,560,484,390,560,1936,4428,0,479,0,0,3622,0,479,0,0,479,3622,3622,0,479,0,0,479,3622,679,0,0,0,0,0,679,14,0,3,0,0,3,14,4301,0,479,0,0,479,4301,2943,0,479,0,0,479,2943,1169,2736,2171,31.9339718769105,0,23.8231098430813,44.2429182800082,23.8231098430813,55.7570817199919,44.2429182800082,9.76156511106582
"6",8,1778,10,404,1106,0,268,156.5,282.866666666667,0,108.416666666667,845.55,282.866666666667,108.416666666667,166.5,299.5,0,109,871,299.5,109,36.6581909418671,112.103823902083,0,24.1223428525382,130.764953653647,112.103823902083,24.1223428525382,12,20,0,11,14,20,11,191,411,0,140,995,411,140,112,139,0,80,667,139,80,1778,0,0,0,0,1778,0,0,0,0,0,1778,1778,0,0,0,0,0,1778,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1778,0,0,0,0,0,1778,1778,0,0,0,0,0,1778,1106,1510,1374,22.7221597300337,62.2047244094488,0,15.0731158605174,62.2047244094488,84.9268841394826,77.2778402699663,0
"7",12,2731,16,106,0,668,1957,45.3333333333333,0,327.666666666667,771.166666666667,313.916666666667,327.666666666667,2357.5,29,0,317,757.5,300,317,2353.5,28.9405520948643,0,84.9344247306396,379.261698600562,116.783585385208,84.9344247306396,78.3112067802919,4,0,16,21,19,16,11,86,0,422,1184,451,422,2448,21,0,244,372,194,244,2271,2486,0,245,0,0,2486,0,245,0,0,245,2486,2486,0,245,0,0,245,2486,0,0,0,0,0,0,0,8,0,3,0,0,3,8,2486,0,245,0,0,245,2486,2486,0,245,0,0,245,2486,668,774,1957,3.88136213841084,0,24.4599047967777,71.6587330648114,24.4599047967777,28.3412669351886,71.6587330648114,8.97107286708165
"8",14,1330,8,196,164,521,449,57.6,116,133.666666666667,133.566666666667,281.166666666667,214.65,283.3,51,116,102,130.5,259.5,200,260.5,27.9743183127353,30,73.666277709369,65.6215410064653,131.378770728191,95.9620537849144,157.083775551964,12,4,16,15,15,14,17,97,146,240,209,438,331,502,27,86,59,57,129,117,123,1324,0,6,0,0,1324,0,6,0,0,6,1324,1324,0,6,0,0,6,1324,0,0,0,0,0,0,0,4,0,1,0,0,1,4,1324,0,6,0,0,6,1324,1324,0,6,0,0,6,1324,685,881,613,14.7368421052632,12.3308270676692,39.1729323308271,33.7593984962406,51.5037593984962,66.2406015037594,46.0902255639098,0.451127819548872
"9",15,3090,16,1263,572,630,625,825.25,319,321.666666666667,299,998.416666666667,517.833333333333,817,819.5,336,321,284,977.5,535,815,123.420327919575,123.884587209647,54.7044966667419,91.1327896934233,516.342985954171,154.952500083783,89.8537073965179,13,10,13,16,21,19,17,962,442,380,404,1603,679,930,700,179,264,209,444,327,719,3020,0,70,0,0,2901.5,0,41,0,0,41,2901.5,2901.5,0,41,0,0,41,2901.5,59.5,0,14,0,0,14,59.5,9,0,4,0,0,4,9,2961,0,55,0,0,55,2961,2842,0,27,0,0,27,2842,1202,2465,1197,40.873786407767,18.5113268608414,20.3883495145631,20.2265372168285,38.8996763754045,79.7734627831715,38.7378640776699,2.26537216828479
"10",16,4488,16,1927,717,918,926,497.439285714286,228.7,259.383333333333,286.166666666667,833.333333333333,345.816666666667,482.083333333333,452,197.5,227.5,266,622,299,415,231.566166873865,125.436775630942,160.045760459902,120.525997232622,670.947211436172,218.55884524962,216.668068439438,31,18,26,28,33,36,34,959,390,503,463,1876,725,841,271,105,96,163,169,126,275,4436,0,52,0,0,4061.5,0,52,0,0,52,4061.5,4061.5,0,52,0,0,52,4061.5,257.5,0,0,0,0,0,257.5,10,0,3,0,0,3,10,4319,0,52,0,0,52,4319,3804,0,52,0,0,52,3804,1635,3562,1643,42.9367201426025,15.975935828877,20.4545454545455,20.632798573975,36.4304812834225,79.367201426025,36.6087344028521,1.15864527629234
