"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.135064699815457,0.1626124088433,-0.146418006300436,-0.194629309625894,-0.35883684795185,-0.274199352931343,-0.363070266703602
"monitor",0.0908413982044103,-0.125922454489256,-0.316654688902905,-0.289312033374083,-0.0802738284884283,-0.354303691526793,-0.24301242868586
"keyboard",0.0667683980228207,0.083471317397286,0.219730238296112,0.0319061462814176,0.0542425402038478,0.166468226888946,0.167491036753535
"face",-0.205873180734699,-0.0977435072900205,0.174861376855687,0.316019899168451,0.292660796025112,0.331988416067941,0.327711283377718
"comp_only",0.138744061972479,-0.0371251040132829,-0.0846937538627213,-0.226254734767947,-0.022757959819638,-0.164758381090311,-0.0660004694054689
"no_face",0.205873180734699,0.0977435072900205,-0.174861376855687,-0.316019899168451,-0.292660796025112,-0.331988416067941,-0.327711283377718
"body_only",-0.170617964773685,-0.207736040372117,-0.0346239865852348,0.149552373665817,0.279173600695814,0.119347015818071,0.197817818123259
"s_speak",-0.0936687152804459,-0.020358703282242,-0.0696517174109338,-0.00813092514191043,0.0257466265387354,-0.0594666049399647,-0.0196303516982782
"power",-0.300853038617831,-0.059611919024802,0.0716820476508315,0.187342767737799,0.20108891399774,0.27107087917012,0.197551948409487
"enunciated",-0.207302641617522,-0.0631423440131657,-0.0367854154001185,0.145378004270387,0.219698300674632,0.255233786536466,0.150239145598221
"chillness",-0.105105352196811,-0.109380980058952,0.113656178321416,0.157853114052334,0.205026367500756,0.242973368674786,0.224540853269293
"presence",-0.332218934773022,-0.198241774311793,-0.0365032496852833,0.224309780422837,0.281637312920578,0.200532979313197,0.198666726522862
"motherease",-0.12878378580272,-0.0157519203746031,0.0385951821254329,0.0619295966503283,0.083667994483053,0.160984640456061,0.0871943365086025
"calmness",-0.0203541915186285,-0.135543828169298,0.0762492851663023,0,-0.0780674539304573,0.185311150704745,-0.017381449986275
"dominance",-0.281620852524441,-0.0872711624932576,-0.0439148676612349,0.185485832678152,0.166600343100084,0.132020003489502,0.104798878143313
"responsivity",-0.361069758555414,-0.26586812146984,0.0574999247074888,0.247853537190691,0.15769021567065,0.295316203336469,0.155650715310166
