"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.752384112977659,0.381426431013079,0.145781668111815,0.0840837093116898,0.0299652346583431,0.16314437378799,0.015427522208685
"monitor",0.439568851254837,0.920984459959833,0.731063406125989,0.524296356057272,0.592181888446344,0.942104261128005,0.906305965296991
"keyboard",0.2194106805986,0.8520779522486,0.927866213832835,0.337506212917563,0.190220836569873,0.810265379591688,0.360237097384417
"face",0.994071160497358,0.248160224746335,0.0573198529168008,0.110304453869514,0.00335519510684415,0.107039986683267,0.00115376144194021
"comp_only",0.71432066263789,0.802801308502326,0.699994270929333,0.796621719606592,0.517510228885804,0.886702203249588,0.494047793742427
"no_face",0.994071160497358,0.248160224746335,0.0573198529168008,0.110304453869514,0.00335519510684415,0.107039986683267,0.00115376144194021
"body_only",0.568855791758659,0.3152681788049,0.13109985070479,0.313505860310302,0.00150813831732653,0.118534933055828,0.00180101755715917
"s_speak",0.0573464354798309,0.628876436757107,0.80418053967224,0.362371188584588,0.0562320818452558,0.512929058026714,0.158787518830264
"power",0.848198008418856,0.716945545051711,0.371970942893957,0.313133842864668,0.386739842256309,0.2520129514528,0.241273132131363
"enunciated",0.350709974680007,0.648154900361563,0.168905308589016,0.341477425517304,0.0974868301317074,0.41528054992779,0.881339380817062
"chillness",0.454144216010065,0.808931346047078,0.83491321923461,0.990322852644937,0.945997692812936,0.505464523339082,0.853148831400298
"presence",0.685643384557821,0.620844654656563,0.142509200896969,0.140483395721414,0.111215699614683,0.343579323545285,0.0407114594370955
"motherease",0.0753391181866596,0.900461800051758,0.225322012785209,0.0989831084672803,0.800986421057378,0.129020780520838,0.51504889598674
"calmness",0.108155526113163,0.875001512749424,0.644266489954389,0.38587145587033,0.836928812537385,0.18271869287013,0.859332666721921
"dominance",0.863656582189028,0.22762152910176,0.0394084583620168,0.0168552931696005,0.412673116876156,0.389000768349936,0.0534822471771858
"responsivity",0.479650781309581,0.360745668810014,0.32516410460001,0.124613242151694,0.976322491344439,0.0759574573951175,0.494613007519565
