"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.0809594921320433,0.129928341271657,-0.255183478323468,-0.188806694071438,-0.258249315477811,-0.141745524426238,-0.34080242404404
"monitor",0.123554695175675,0.0318548737609957,-0.0244213319087411,-0.0325191166951444,-0.0666900001450958,0.0349653049016339,-0.0570511112846091
"keyboard",-0.0700017455305986,-0.308449217165751,0.0501207584386636,0.182389620808163,-0.0322559923604239,0.0749777189916285,0.0186309505577268
"face",-0.130441131599671,0.0749530045186494,0.251488276029996,0.0853919149564724,0.352121152144071,0.0645268405661506,0.392692033709341
"comp_only",0.0500500962994536,-0.237989100842126,0.021479169613063,0.128502288697679,-0.0874399334234355,0.096003296675178,-0.0348717824651834
"no_face",0.130441131599671,-0.0749530045186494,-0.251488276029996,-0.0853919149564724,-0.352121152144071,-0.0645268405661505,-0.392692033709341
"body_only",-0.0295121885159697,0.0938846153634422,0.216938539428668,0.0555655531108218,0.279474703736724,0.086457788874352,0.324613792942843
"s_speak",0.093606491736685,0.124351797161901,0.0857539729093929,0.114788480390639,0.282147579318089,0.0847411297275433,0.228257094124364
"power",0.151063415532475,0.147804394785604,-0.147803244548953,-0.144470287822495,0.115547513824634,-0.0995091678690924,-0.0430503265739198
"enunciated",-0.0922180110975433,-0.0230128639508784,-0.0890002775067282,0.0190574456108852,0.137322488235602,0.0282830922206298,0.0135149940679325
"chillness",0.031239594390993,-0.0119652733264867,0.0454530931181594,0.135450047915463,0.0993079606993539,0.254021637390812,0.0917372538685044
"presence",-0.0898779454023708,0.142381402739027,0.273254827627579,0.287090954125791,0.48741704928648,0.161974553990682,0.487700698716133
"motherease",-0.0677664481009839,-0.124565999297655,0.0350075291160993,-0.0784729118071977,0.0973436643223535,0.0755874660384005,0.0827974414094561
"calmness",-0.325113438600933,0.0533116121550116,0.137266668793203,0.113917057378915,-0.123003080516078,0.126769129336633,0.0308458351841737
"dominance",0.0541387249349925,0.232936905202757,0.160899728373651,0.0930496552401411,0.497591912178032,0.189369763533767,0.409765111642431
"responsivity",-0.0447282051957559,0.0189653370472767,0.200737032535686,0.156725089512806,0.187191140586008,0.100518475426234,0.258798417326463
