"","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"around",0.514864859326936,0.290951330013023,0.0357120921765499,0.12307861350382,0.0334775213497869,0.248899758923544,0.00445656004626463
"monitor",0.31918712828222,0.796501554149395,0.843295993654669,0.792352125786848,0.588958308986376,0.777121466052514,0.644002411449867
"keyboard",0.573504906647423,0.0104940822780781,0.684816806829882,0.136577697605344,0.793995144738131,0.543402669236212,0.880133927745384
"face",0.292745975815514,0.543535928464298,0.0385692115473429,0.488704391602965,0.00323194050764531,0.601125813698039,0.000925252548186371
"comp_only",0.68752195348829,0.0506654270207001,0.861977077272003,0.296324171661067,0.47829975557077,0.436104927034474,0.777702266988839
"no_face",0.292745975815514,0.543535928464298,0.0385692115473429,0.488704391602965,0.00323194050764529,0.60112581369804,0.000925252548186371
"body_only",0.812599979261189,0.446344598472865,0.0755710883798623,0.652668459166417,0.020994751746361,0.4832745680294,0.00691802146420585
"s_speak",0.451185820993709,0.312328545962176,0.486856384871728,0.351281374142207,0.0197485682614607,0.492035376901081,0.0611848873704431
"power",0.222368355181828,0.229034700314234,0.229038363729964,0.23982518813772,0.348084219395137,0.419455055370975,0.727403080733469
"enunciated",0.457956854984951,0.852228889696989,0.470452782229915,0.877410944775734,0.264124324645007,0.818907692601874,0.912896147306687
"chillness",0.801847983733415,0.922851618987309,0.712830652597876,0.270754610763226,0.420400622096495,0.0365907693795968,0.456857934732049
"presence",0.469493323514655,0.246761333925294,0.0241561069240734,0.0176096138482507,2.49209386829475e-05,0.186953091123325,2.46114593378644e-05
"motherease",0.58583567214523,0.311489211984275,0.776859281523067,0.524718386616019,0.429695822406843,0.540119984247449,0.502054393837581
"calmness",0.00726522234578791,0.665904490042505,0.264320384378744,0.354974267829304,0.317646794214613,0.302940850256849,0.802815603516384
"dominance",0.663472135621184,0.0559247980854147,0.18993441122288,0.450416428263389,1.5807014069763e-05,0.121944555121466,0.000520313835353883
"responsivity",0.719291259762795,0.877998898495115,0.100717528604486,0.201838339043734,0.126377119389703,0.414730319483823,0.0330899091208098
