"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",-0.0772319860551131,-0.190750746683314,0.0354395268155477,-0.0878703790287728,-0.240854607062181,-0.14089970459395,-0.0156611131066139,0.123119624340632
"hboredom",0.0192894891059857,0.215907433201453,-0.0515106313643527,0.0204296209856803,0.159598512955187,0.164632446542359,0.0222150513725108,-0.0118744304809017
"hsdesirability",-0.0287683322206055,-0.108188053117529,0.177702558426748,-0.108494429128637,-0.095489347732673,-0.00362377873421621,-0.07718126171328,0.0374998031209689
"shogan",-0.398904238597343,0.000206792070459928,0.0728055706576355,0.00428127444625513,-0.324298793204215,0.0631920736995948,0.187503256958521,0.019137771197641
"sboredom",0.311469828352507,0.116067515987451,-0.149598974372166,-0.0184505214284943,0.241095831515637,0.00550580192294991,-0.182263178519739,0.197441618989965
"ssdesirability",-0.218404483902101,0.153778490058033,-0.12132953251407,0.101395200264764,-0.187812795422198,0.0391940694294975,0.0484916619976662,0.0603001041087155
"hpabad",0.234032601371266,0.199732283192832,0.0320389140043075,0.0839539653553376,0.256125855492576,0.257493698428929,0.0242111328581987,-0.0977287377920283
"hpabad2",0.15358898094829,0.147733764331892,0.0861607871964766,0.168889851948607,0.192066891157385,0.260505936697032,0.0948814205513938,-0.122598699648937
"hpagood",-0.28506705758987,-0.0834868173621418,0.12181377580162,0.135509841802797,-0.311402613094906,-0.0329102989229952,0.122257696310553,0.233207592389164
"hpagood2",-0.262763547542272,-0.0818118838964617,0.0778734363783823,0.126534423665152,-0.305011501790754,-0.0654137003076792,0.105663519892292,0.294490586741344
"spabad",0.134615970971283,0.0969089261593579,-0.103163089884266,-0.019634445536987,0.0879595463835208,0.0192976987397634,-0.143070427555101,-0.0262370551430522
"spabad2",0.0981384703018282,-0.00658708423875595,-0.0804176300854632,-0.00871437697630933,0.0152968329290142,-0.0506273588114487,-0.117924434937904,-0.025854117680903
"spagood",-0.172520833592483,-0.0483999058711443,0.190637571685433,-0.154550062956026,-0.136092369827637,0.093106373450301,0.00480070713312191,-0.059388892142285
"spagood2",-0.113261028511029,0.0331176547249635,0.187554869294738,-0.175242918855202,-0.0376150925085883,0.171548867179549,-0.0368558629416761,-0.0274203565004742
"rapcomp2",-0.178363724540817,-0.0168934763198729,0.0758719608015509,-0.073156731470231,-0.18336446503843,0.00281788148807122,-0.0901876492471302,0.315550305577557
