"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.531315031114938,0.119196966963241,0.774178292252286,0.476128089520764,0.0478670122701838,0.251763775029538,0.899131733003598,0.317184963870677
"hboredom",0.875930042369329,0.0770055696205481,0.676554383835385,0.868659975495958,0.193589285155526,0.179726026900806,0.857297143630394,0.923435578895311
"hsdesirability",0.815854809258516,0.379844481708751,0.147122179800438,0.378488570281699,0.438576632153907,0.976602584906659,0.531585548347438,0.761428837670353
"shogan",0.000753057961027815,0.998664632750546,0.555175079762266,0.972358907639471,0.00697589669312649,0.60868858419234,0.125734679745018,0.876898258888594
"sboredom",0.00972412720452868,0.345904365506614,0.223368651439041,0.881286307100825,0.0476373452543489,0.964457562435797,0.136854465063375,0.106551135679265
"ssdesirability",0.0735684279948283,0.210554382481514,0.324326050049992,0.410651290833198,0.12510000463541,0.750991381643174,0.694548401734959,0.62521455760349
"hpabad",0.0547479845950642,0.10246917520151,0.795351313291887,0.496080253989839,0.0350123704150736,0.0340171109242526,0.844627913380501,0.427864490070156
"hpabad2",0.21112391664779,0.229259728485413,0.48478434355148,0.16857600268934,0.11662273678868,0.0319084694972598,0.441510430791817,0.319252579245826
"hpagood",0.0184600630928498,0.498488883039498,0.322384277552,0.270541174050909,0.00974071001254622,0.789911145479617,0.320610720622195,0.0556321738987986
"hpagood2",0.0304008378495028,0.507174584137587,0.527900017710655,0.303844207074012,0.0114343257909247,0.596123922653469,0.391127875870998,0.0147797087545238
"spabad",0.273743639629088,0.431768686546113,0.402497231150137,0.873729314973732,0.475678887283383,0.875877656199927,0.244458414386439,0.831809327062394
"spabad2",0.425920768679232,0.95748332554522,0.514463549021701,0.94377212189289,0.90146611660262,0.681800870813679,0.338189706335022,0.83422904029359
"spagood",0.15947453150106,0.695098001572002,0.119420339763437,0.208246778889126,0.268467713786725,0.450139182821795,0.969006865847875,0.63046051345963
"spagood2",0.357770105603734,0.788618058302005,0.125628684306001,0.152893309529291,0.760717232096667,0.161874480115681,0.765407068119542,0.824342189224838
"rapcomp2",0.148709931561908,0.892069170448003,0.541708102415071,0.556308259512,0.137468999600489,0.981944357041723,0.46795753968436,0.00929239484569176
