"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",-0.0465227351742579,-0.0372787030507023,0.0122926608698925,0.0662452115085417,-0.0238266898215364,-0.0662452115085418,0.0331602400451839,0.169950741502899
"hboredom",0.0570371214869288,0.117310486046437,0.0239192109248333,-0.170823812505304,0.129141126610719,0.170823812505304,-0.0690350889030299,-0.0686069440176845
"hsdesirability",0.027232815379946,0.0245062229198157,0.0161113231340901,-0.059084722354358,0.0365937311961537,0.059084722354358,-0.0363758010924677,0.0486874544053282
"shogan",-0.419878965894576,0.0488651429364657,0.26502453658186,0.158937215665005,0.274466044865461,-0.158937215665005,0.187125825057307,0.124311571571878
"sboredom",0.284396036809463,0.0714274283328128,-0.277208252023153,-0.118502931148582,-0.173803560570578,0.118502931148582,-0.0556312260722444,0.0342889692373448
"ssdesirability",-0.13708667737806,0.115916491085575,-0.0192450856263002,0.0510871829361532,0.090507717861782,-0.0510871829361532,0.138086053912294,0.020876705163183
"hpabad",0.100473258002751,0.0929376510067782,-0.10895452560268,-0.089438165008543,-0.00834940680786027,0.089438165008543,-0.0116319704404557,-0.226701929309422
"hpabad2",-0.0145884120916408,0.0642898745329566,-0.0739354690281977,0.0181397259225348,-0.00453495586614802,-0.0181397259225348,0.0670208672856491,-0.204683410960764
"hpagood",-0.183444921757176,-0.0804813198794957,0.0598264434427707,0.197267850118513,-0.0226399015579752,-0.197267850118513,0.122489794775052,0.161065134825461
"hpagood2",-0.103752286720639,-0.0587163677686327,-0.00237574986567706,0.150604253507497,-0.0563353416978645,-0.150604253507497,0.0956359405831802,0.212298971218289
"spabad",0.164916559464144,0.157492558660993,-0.300339407055198,-0.0566410980575975,-0.11425384196532,0.0566410980575975,0.0693471004902327,0.048473800407052
"spabad2",0.134074616558318,0.0810056377934383,-0.279280383202271,0.02017767631412,-0.166741817351233,-0.02017767631412,0.0819336443968968,0.0487521275683479
"spagood",-0.148247083844047,0.075750855896692,0.227230593112663,-0.0960682418071878,0.26662190044626,0.0960682418071878,-0.0312196002340933,-0.0366797742476274
"spagood2",-0.107741501873354,0.153249013921206,0.212187244800423,-0.187714638638139,0.325249328217469,0.187714638638139,-0.0569314923348304,-0.0856455511875426
"rapcomp2",0.00740161928767864,0.0368578728493573,0.00341187895281303,-0.0401897494284796,0.0364424499893419,0.0401897494284797,-0.00915395151959453,0.288953508654455
