"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.706375868314435,0.762794094267711,0.920747431471998,0.591451103655961,0.84706504520865,0.591451103655961,0.788352563173289,0.1658782604463
"hboredom",0.644083803517912,0.340728350802539,0.846478386955813,0.163682033355379,0.293909297687572,0.163682033355379,0.575894441129287,0.578269522309473
"hsdesirability",0.825524636634839,0.842758208306742,0.896247872774373,0.632215732082168,0.76702824472729,0.632215732082169,0.768376811634038,0.693376171286178
"shogan",0.00036458999137237,0.692312950962054,0.0289513297527949,0.195465965655502,0.0235106922166944,0.195465965655502,0.126511875970456,0.312486328956414
"sboredom",0.0187496722176444,0.562706787088238,0.0221033052017404,0.335808546479218,0.15634765037373,0.335808546479218,0.652284373899171,0.781324426373459
"ssdesirability",0.264953252309313,0.346536585805915,0.876213392857051,0.679067699456343,0.462938320219414,0.679067699456343,0.261452219625924,0.865812061579412
"hpabad",0.414941329649496,0.450964195920015,0.376457824491485,0.468263194355371,0.946123446437321,0.468263194355371,0.924994367606961,0.0630190032134047
"hpabad2",0.906008192641643,0.602465430520853,0.549036183884396,0.883271895612136,0.970721768570888,0.883271895612135,0.587107060382959,0.0940622342212789
"hpagood",0.134284202572722,0.514129431860751,0.627939185515788,0.106865857288862,0.854597474132994,0.106865857288862,0.319685923025902,0.189473397357166
"hpagood2",0.39980089193731,0.634344043594514,0.984659426184552,0.220237838086453,0.648172063836314,0.220237838086453,0.437870830867419,0.0821971119691022
"spabad",0.178965670405987,0.199610975168158,0.0128287749295839,0.64638957838114,0.353544221855193,0.646389578381141,0.574166434991482,0.694655376607
"spabad2",0.275695405608833,0.5113830525228,0.0210879042262546,0.870265592334839,0.174136511454001,0.870265592334839,0.506540563606815,0.692989123356611
"spagood",0.227627794245743,0.539241994883946,0.0623905952891129,0.435793149514762,0.0279626828594567,0.435793149514762,0.800475282160347,0.766495993754735
"spagood2",0.38182597640057,0.212148349987903,0.082362173118839,0.125300999732628,0.00680253528943948,0.125300999732628,0.644698484140259,0.487409400932096
"rapcomp2",0.952597262969364,0.767140169795242,0.978139153446438,0.746765711871119,0.769691863155671,0.746765711871119,0.941392517973364,0.0177158202366846
