"","h_typing","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",-0.218420215680237,-0.155253692142165,-0.16615742509168,-0.0684972276178833,0.000832904160038785,-0.187674010700279,-0.223174252190881,-0.118023664061926,0.202628749238637
"hboredom",0.148501760549099,0.0939386731424377,0.137164491611979,0.0582526755299353,-0.0106956643918047,0.156184163247179,0.157264950729841,0.0883592035140783,-0.0399581825996884
"hsdesirability",-0.104835852777525,-0.0642525751887164,-0.091326885835685,0.0207215022469401,-0.0433395695918044,-0.0601669827085326,-0.0832345775972671,-0.104564546896517,0.04543606210065
"shogan",-0.103636412842146,-0.342550533808638,0.0183884892627117,0.246736045521237,0.124766527444104,0.1968934885599,-0.173802857644177,0.126222101658396,0.0457791538223919
"sboredom",0.112207757547748,0.253291172445029,0.141327202381604,-0.289791960195802,-0.0725164495702447,-0.0966919604894292,0.154012694297689,0.0353062235678934,0.163043385622407
"ssdesirability",0.0611631751499783,-0.0258061010606786,0.184574652685777,0.0346659523001598,-0.017601462424542,0.17797013435126,0.0719780359316926,0.115991828187345,0.000554043802035019
"hpabad",0.18634095410106,0.143611067879792,0.113602499900001,-0.0731836343567099,0.0975698189399056,0.0399292436967892,0.13673251513921,0.169637737327865,-0.077525478380665
"hpabad2",0.0967241987172983,0.0111036408577015,0.054504546067061,-0.0459524258099106,0.153542422749184,0.0111742375831816,0.014788961087212,0.178119704465635,-0.0958104614244321
"hpagood",-0.00074448888413374,-0.191305999953348,-0.0233380137132661,0.0767101781496723,0.245843979756483,0.0372175399961263,-0.134997853031278,0.206127235640446,0.201043292214337
"hpagood2",-0.0493482392941795,-0.176417646406001,-0.0433671196206928,0.00069912338382283,0.202330028298639,-0.0353021640995389,-0.16079827335664,0.152372247835581,0.257191594745033
"spabad",0.0353070146482003,0.144573780512199,0.146828651208895,-0.221186295937797,-0.108014947921955,-0.0416243179581744,0.0949816066742795,0.00706636563033289,0.00298529026018921
"spabad2",0.0387581918150699,0.119506165312859,0.0807857272073626,-0.17688483880889,-0.0435827889059014,-0.0635439744961051,0.0633186860558107,0.0182506519360725,0.0112485973347741
"spagood",-0.0693512413549316,-0.162576885859098,0.0225580386460151,0.150189199079275,-0.0126206508869468,0.129236136422343,-0.063825026122536,0.00468752985522594,0.0159665364722806
"spagood2",-0.0309605426877115,-0.101375668938124,0.0887694815820795,0.1466030365763,-0.0810948470466254,0.181279359633218,0.012710441223042,-0.010039623259389,0.00575122656539222
"rapcomp2",-0.0375051665508373,-0.0553151238309815,0.00337804311162558,0.0449941139931818,-0.0225971826438871,0.0358386836916078,-0.0260243386709199,-0.017918823484479,0.262168744235115
