"","h_typing","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.0735471687301648,0.206158048593239,0.175672198326524,0.578878884136655,0.994621528708143,0.125384265256621,0.0673442203442375,0.33778051640675,0.0974829310991869
"hboredom",0.226821140918953,0.446081683900082,0.264679524560245,0.637027409471963,0.931016519476174,0.203418825448053,0.200269705429437,0.473668310056293,0.74629849641668
"hsdesirability",0.394869970801069,0.602676410863731,0.458882425011693,0.866800508888879,0.725643635497104,0.625979805686464,0.499791960294619,0.396101202143206,0.712933590867126
"shogan",0.400330325032075,0.00424401339324129,0.881682556014645,0.0425201408778991,0.310704776748269,0.107546327553705,0.156349351350464,0.305049009340234,0.710860875526833
"sboredom",0.362287125191836,0.0371523644149457,0.250313437826206,0.016527069472888,0.556751163242759,0.43280530919772,0.209852027084901,0.775005296698202,0.184022032390391
"ssdesirability",0.620262794711502,0.834532557448675,0.131861324291293,0.778980958009593,0.886712404417169,0.146504309425691,0.559691878683581,0.346221119894715,0.996422252258769
"hpabad",0.128139752787572,0.242661791599527,0.356313150730206,0.553117363400328,0.428619737686641,0.746476061696173,0.266201498830484,0.166670879182838,0.529751151802984
"hpabad2",0.432651191826014,0.92839199388523,0.658886120498769,0.709814882070333,0.211264005000116,0.927937919351345,0.904722051338106,0.146159777234908,0.437031397578899
"hpagood",0.995192462423278,0.118105699073175,0.850165011633367,0.534101130969447,0.0432978463815113,0.763171893623449,0.272372389269912,0.0917152721949403,0.100188268084061
"hpagood2",0.689425285240243,0.150116364941259,0.725476124186458,0.99548540702484,0.0979882420410968,0.775030485287106,0.190217581526724,0.214806517008592,0.0342348676913543
"spabad",0.775000388152164,0.239485068057803,0.23215702612429,0.0698848401362819,0.380611872124346,0.736097775040422,0.441026187771701,0.954392961470156,0.980724204134083
"spabad2",0.753672421288904,0.331704183144071,0.512534033023887,0.149022474016729,0.724165243068313,0.60669070307846,0.607969425724005,0.882563136397766,0.927459666021403
"spagood",0.57414351788103,0.185297200072006,0.855117535753209,0.221526723285345,0.918639915217943,0.293551255430386,0.605097120891019,0.969737186326372,0.897175172293251
"spagood2",0.802097180278231,0.410741907445013,0.47160906011756,0.23288316243553,0.510916520339342,0.139022390621187,0.918063059666391,0.93523837847475,0.962874329357694
"rapcomp2",0.763169152378269,0.656613379599285,0.978355896776875,0.717692072004346,0.855968713332429,0.773404777096947,0.834413129397472,0.885561121605974,0.0320970081343602
