"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.886349705628104,0.785432459893786,0.763599612458494,0.389271715257574,0.978766585577203,0.904305107107812,0.540950189304951,0.00818926093413971
"hboredom",0.492213067991703,0.373123122646048,0.8410318557263,0.207277355456382,0.347316470791321,0.155290128211246,0.612641356021788,0.718380016755511
"hsdesirability",0.93751184581899,0.946831778841858,0.679308095807441,0.75892600032828,0.763631525125801,0.754343637579582,0.728464376934828,0.477077912251065
"shogan",0.000256928891199537,0.663759446375658,0.0160187532352151,0.172901442071287,0.0134781459117531,0.119998145883957,0.0972607198016136,0.549240248307267
"sboredom",0.0152930568903206,0.376003698971618,0.0147426251213184,0.246129636506536,0.188235560956477,0.18474165108969,0.678425704453591,0.471453171624065
"ssdesirability",0.480356161704508,0.29473288348569,0.955172788184702,0.755261246574305,0.342907579127107,0.964147315916982,0.602097726243819,0.758876489485108
"hpabad",0.129129548991384,0.63484480548229,0.274204693480422,0.87305664719372,0.592072093955855,0.284490240895393,0.826212905203467,0.458253585661067
"hpabad2",0.733830164727059,0.780280368251166,0.43815499227104,0.526236718576655,0.666594833737067,0.998662151958063,0.407098369353517,0.481715755839155
"hpagood",0.031915658026201,0.503631018369314,0.697502004835886,0.0650434306727551,0.812542716146832,0.0207153757119085,0.218224031126522,0.29555767244116
"hpagood2",0.118351854610594,0.60965724205946,0.976444412849019,0.126346560360248,0.642509052987801,0.055228448152887,0.289783897332855,0.0894376722541105
"spabad",0.0787016809491646,0.34687354214592,0.0243048728176006,0.461700615011039,0.265396900033339,0.395638847393715,0.97490114947115,0.596499497669058
"spabad2",0.132687619860637,0.645466018518938,0.0433787190104209,0.910246652195936,0.181166952336866,0.666028107441325,0.800180789523185,0.524313092582521
"spagood",0.086909850341431,0.491207708825457,0.03948103095471,0.665748302182168,0.0165105047295848,0.868118971537151,0.900108546286184,0.907890093346662
"spagood2",0.217344821771493,0.234933811990523,0.055359027609265,0.218237997056756,0.00637893438696237,0.385003613973287,0.804842668513304,0.684170989133994
"rapcomp2",0.549760632490095,0.817083093159653,0.880562449509766,0.739854419074574,0.744927189112062,0.733314877464214,0.889628167886729,0.197165971320354
