"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.129469378504406,0.0510622632907209,0.0665927021825721,0.137919770465164,0.0952497965578844,0.184452819137188,0.140545648346684,0.226220713839021
"hboredom",0.0379643795871451,0.117817224010477,0.00401601572902633,-0.191852372883181,0.0994373557093643,0.114013396911819,-0.0912189537901837,-0.0411935030680104
"hsdesirability",0.124480861546353,0.0631143136155739,0.0413910906803396,-0.0103029541070284,0.0848244456184685,0.171684498683914,0.0264606640147288,0.0955185301150446
"shogan",-0.342166468525552,0.090004356197737,0.252517595931141,0.10745997121758,0.276568131286247,-0.0447418576997219,0.137238277377256,0.0913391115534458
"sboredom",0.199786805125948,0.0164070736755669,-0.227464089755085,-0.102925518971043,-0.169526443792323,0.0193849198111283,-0.0747814760702956,-0.0236430598823834
"ssdesirability",-0.116121382164392,0.0766898404106266,-0.026490929222958,0.012001115941816,0.0413200106864305,-0.059214255053404,0.0521260390980613,0.0122301037718895
"hpabad",0.104691838051328,0.01269637915163,-0.128660497063638,-0.135049374865797,-0.0930997392579386,0.0065838946037667,-0.102998318831867,-0.155735173605635
"hpabad2",0.0254693496257983,0.0217807339841023,-0.0845763083663659,-0.0406048668045662,-0.0502295594772229,-0.0215118058925236,-0.0210483576922714,-0.124808340624512
"hpagood",-0.18700666912405,-0.146969830944502,0.0205098758257047,0.0506833005652165,-0.103519460978909,-0.237881305917914,-0.0398744682535849,0.0334877649684947
"hpagood2",-0.0830764407007771,-0.0959028049188691,-0.0163820198636048,0.0333621939718962,-0.0914869900614763,-0.143807467122161,-0.0257835239503956,0.0865811780880316
"spabad",0.158164051617299,0.103421449810203,-0.295602147731089,-0.0433855008434369,-0.153267756040851,-0.000626563447231113,0.0217706463142397,0.0642010545947114
"spabad2",0.156586264596767,0.0541232891849149,-0.279160530935905,0.0352993340705055,-0.180301696043599,-0.0245572696017286,0.0586426626268166,0.0904255157415175
"spagood",-0.11951291619611,0.103359446215959,0.258290264827468,-0.0812320160055387,0.292116009771912,0.148223026158112,-0.00909290551582976,-0.0216194633556935
"spagood2",-0.116125671305991,0.155905906063422,0.232143200773836,-0.171239298002143,0.313997442924774,0.169297998163471,-0.0533942565413439,-0.0797564871742507
"rapcomp2",-0.0442100885239198,0.0311274784451648,-0.0374576496481428,-0.0833758145733292,-0.00519028923021589,-0.0403956192263169,-0.0504804841223707,0.0993991484161691
