"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.292673501049972,0.679215715342224,0.589503205328154,0.262032569063732,0.439731374160774,0.132121011166891,0.252969279882832,0.0635954454387656
"hboredom",0.758562522075591,0.338632160124684,0.97407088267279,0.117039374688869,0.419792394039573,0.354564829596701,0.459415706600888,0.738731116725807
"hsdesirability",0.311822643290592,0.609130444991534,0.737522995175363,0.933543530062971,0.491608268858062,0.161537993224568,0.830397101063073,0.438436076691733
"shogan",0.00428992481951277,0.465440237042932,0.0377549024215402,0.383078398588999,0.0224252618843447,0.717133805577481,0.264420143750416,0.458822040326319
"sboredom",0.102373519861188,0.894354142787406,0.0621146613636243,0.40358743229017,0.166953376490617,0.875321126125678,0.544461239084623,0.848229651816263
"ssdesirability",0.345679044806373,0.53420986644128,0.830205998883522,0.922621225097992,0.737957530971184,0.631468012432161,0.672907995613682,0.92114945744352
"hpabad",0.395523251833836,0.918153398283022,0.29572492260912,0.272187738507891,0.450171606672981,0.957503894172014,0.403253173890794,0.204737360524071
"hpabad2",0.836661866421441,0.860058658273542,0.492880884781073,0.742333976868269,0.684168667253952,0.861769421117304,0.864719089782829,0.31054137065425
"hpagood",0.126757995640085,0.231703441413095,0.868148630658824,0.681468136940508,0.400865100726988,0.0507732569721924,0.746812192570802,0.7863114374219
"hpagood2",0.500609799636847,0.436587598233644,0.894514543015839,0.787093823427198,0.458091990553145,0.242011381694626,0.834675277617954,0.482648066612185
"spabad",0.197676591948503,0.401313590667983,0.0143904163769718,0.725364368728304,0.212091782543036,0.995953959050492,0.860122818582314,0.602967885851941
"spabad2",0.202243122817854,0.661126009921943,0.0211455336797408,0.775048045466711,0.141202248396506,0.842434861576401,0.634770259298072,0.463346397719387
"spagood",0.331676672158581,0.401597465246165,0.0334484847571767,0.510199600362361,0.01564180990134,0.227704096774965,0.941333953248585,0.861084490947592
"spagood2",0.34566110737714,0.204235261708137,0.0567900531272513,0.162644423250771,0.00911811790271932,0.1675343431615,0.665417338066397,0.517938412858776
"rapcomp2",0.722410681837573,0.802544745744619,0.763460453551774,0.502356466865452,0.966749730468844,0.745512307934731,0.684975252705383,0.423542563408126
