"","h_typing","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.169982128696059,-0.0176581906518298,-0.0336288790363684,0.0371483060963244,0.106075803227498,0.00328853822636216,-0.014853983667904,0.0754330880136545,0.31817182489677
"hboredom",0.110218058358635,0.0847064787262072,0.109713312038025,0.0247788094350895,-0.154876006754092,0.115730427962734,0.174241681940572,-0.0624973196829409,-0.044536152699665
"hsdesirability",0.0175876313091698,0.00968646137267212,-0.00823947427581155,0.0510467113397616,-0.0379054375705638,0.0371431409213265,0.0386491409669227,-0.0428759670733173,0.0876819858999661
"shogan",-0.124220303926419,-0.429531336038705,0.0536756903721112,0.291112964682641,0.167214546629504,0.298312167713877,-0.190345567849891,0.202760495125346,0.0738978125777008
"sboredom",0.107058751976146,0.29306271821689,0.109057619150797,-0.294595379223465,-0.142569964208832,-0.161510694851967,0.162779838329872,-0.05119529145605,0.0888005795091661
"ssdesirability",-0.061312714351654,-0.0870332944589238,0.128922867997718,0.00694541358266423,-0.0385001069396601,0.116785738575036,0.00555389303959431,0.0643548949416631,-0.037913465804264
"hpabad",0.271201711320719,0.185867426248728,0.0586297735171794,-0.1344878583287,-0.0197399136264174,-0.0661345395614854,0.131666350331417,0.0271236813637888,-0.0914542463175742
"hpabad2",0.15052604230479,0.0419956962799226,0.0344568833333706,-0.0955769051429262,0.0781866055983783,-0.0531945366901802,-0.000207176240944524,0.102162973248611,-0.086764953882251
"hpagood",-0.223332129936641,-0.260495388330142,-0.0824934158656841,0.0479988619281469,0.225027274098579,-0.029295263672778,-0.280061930476232,0.151256173763598,0.128704690377097
"hpagood2",-0.187187141366843,-0.19118041013808,-0.063021638205507,-0.00364828326905648,0.187205959693545,-0.0573079196202742,-0.233582961274284,0.13024048087819,0.207556395880945
"spabad",0.0706039405153325,0.214707815607726,0.115836068918622,-0.272979539849633,-0.0907572799236114,-0.136960673830948,0.104666369830556,0.0038873782040211,0.0653469946337863
"spabad2",0.0982968450878973,0.184187619339075,0.0567996534137949,-0.245751976236713,-0.0139277687790022,-0.164096418998737,0.0532906444219712,0.0312666524156707,0.0785494066277938
"spagood",-0.0548238970266365,-0.209176498202312,0.0849026172994515,0.250356896235448,-0.0533381065751533,0.289834455066086,0.0205145310415941,0.0155086655444532,-0.0142950334039444
"spagood2",-0.0406884007972032,-0.151542120711085,0.145968508618477,0.233461309706677,-0.15125163813108,0.327664617238889,0.1070282761406,-0.0305223223492972,-0.0502291696428811
"rapcomp2",-0.177859585284881,-0.0743701114246187,0.0287935912243309,0.0187071707541383,-0.0413262743406662,0.0404917611209532,-0.0424047759878842,-0.0172779229895308,0.159549078274481
