"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",1.06074202263943,0.415373654673752,0.542205234218401,1.13127666585595,0.777347290632695,1.52466291416356,1.15324512569278,1.88673741735699
"hboredom",0.308646583229392,0.963864683531786,0.0326265291238609,-1.58811723533482,0.811856600589168,0.932328732863649,-0.744168827571044,-0.334941903850548
"hsdesirability",1.0192147429607,0.513767403559908,0.336551227429196,-0.0837060376986908,0.691609675998949,1.4157931796149,0.215042746739568,0.779560629479029
"shogan",-2.95834091183646,0.734178604395357,2.12017255822862,0.878093611605778,2.3380472607603,-0.363848935242056,1.12557919487782,0.745157322087005
"sboredom",1.65647114435449,0.133309640804538,-1.89767167549182,-0.840635428417115,-1.39746677880442,0.157513430611002,-0.609233470614491,-0.19213083401286
"ssdesirability",-0.949799936481969,0.624871456637372,-0.215288881206724,0.0975045486959257,0.335972286235046,-0.481904481632947,0.424050434175508,0.0993652643148988
"hpabad",0.855220195611382,0.103154186289251,-1.05400295470627,-1.10729033864648,-0.759645157515685,0.0534889719367425,-0.841236388214333,-1.28082609059289
"hpabad2",0.206981118451835,0.176989506292142,-0.689571909923439,-0.330147776044574,-0.408582624506444,-0.174803187672815,-0.171035557672813,-1.02193842217938
"hpagood",-1.5465322883451,-1.20709644112289,0.166658075346271,0.412282956372079,-0.84553879438726,-1.98967192658433,-0.324199548285358,0.272208562984066
"hpagood2",-0.677257353101385,-0.782725886199,-0.133106020585556,0.271186707391122,-0.746373910213938,-1.18056858718094,-0.20953599908882,0.706040138516484
"spabad",1.30131062394381,0.844729587514847,-2.5138230941796,-0.35279766727308,-1.26004090158496,-0.00509022650741178,0.176907495349672,0.522650068454138
"spabad2",1.28800124224397,0.440345111107747,-2.36180576883332,0.286951978622735,-1.48918360396015,-0.199564385030553,0.477236549198588,0.737642320022369
"spagood",-0.97793673988134,0.844217681819257,2.17206389891915,-0.662120179905861,2.4813928614858,1.21761943018793,-0.0738741676759262,-0.175678411537632
"spagood2",-0.949835498516267,1.28226522142723,1.93890810645173,-1.41201078512522,2.6868161606124,1.39552801422672,-0.43439665353859,-0.650015468867953
"rapcomp2",-0.356781970169619,0.251079421684038,-0.30220530896205,-0.67454595789583,-0.0418460132130299,-0.325945942965328,-0.407506225289486,0.805370035455438
