"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.00428620183156652,-0.0396950849978732,0.00518056256644676,0.0230856335418362,-0.0305589695601197,-0.0230856335418362,-0.00805955834571575,0.334338120091801
"hboredom",0.0616775670638967,0.0763114203546384,0.0179985022320607,-0.142242915744289,0.0826438758935768,0.142242915744289,-0.0752643415737165,-0.0577826793882811
"hsdesirability",0.0537117108940006,-0.0224573133163285,0.0565789292575922,-0.0844504580096996,0.0285654230357837,0.0844504580096996,-0.0949923854861573,0.0634954757427905
"shogan",-0.424079581943025,0.0926573317417897,0.274400432589462,0.174753720172568,0.316202682836189,-0.174753720172568,0.230856634790071,0.0452333225949693
"sboredom",0.297032296891326,0.0824648974493973,-0.297593079190343,-0.15854673796447,-0.181674703590968,0.15854673796447,-0.0858163634402705,0.143311363864161
"ssdesirability",-0.0834418478653079,0.135794962221197,0.000772905586618181,-0.0184134946449408,0.120349093467987,0.0184134946449409,0.0837365526372762,-0.0946328582079433
"hpabad",0.177264754244191,-0.00499111523282178,-0.177428653566465,-0.0513597845915437,-0.156050810368276,0.0513597845915438,-0.0513369558402342,-0.0443634830858522
"hpabad2",0.0413296627972779,-0.00779565238138818,-0.134692818169375,0.0657804238557187,-0.121995563392709,-0.0657804238557186,0.0552179775241311,-0.0342810427252174
"hpagood",-0.241868634383564,-0.077040762353105,0.0883066103576932,0.256581178667089,0.00757431459622928,-0.256581178667089,0.180761335667042,0.162363886035834
"hpagood2",-0.176071879673123,-0.0593980475747911,0.0372179060577168,0.210446743710149,-0.0205420519643697,-0.210446743710149,0.151073649049592,0.234675339643232
"spabad",0.230748321624468,0.0842614917593901,-0.291098879171898,-0.0928250459634034,-0.174540483522271,0.0928250459634034,-0.0235316246941078,0.0582778472948539
"spabad2",0.199429654211555,0.0260594677483801,-0.264722577031198,-0.0325950224960935,-0.203294898482192,0.0325950224960935,-0.0108825496702266,0.0695216065158212
"spagood",-0.201602603475492,0.102282211043877,0.265875605925073,-0.0686709945206705,0.31739963270044,0.0686709945206705,0.0122475653763552,-0.0072800954223929
"spagood2",-0.139417926138045,0.154810388463945,0.24711029947722,-0.163888776199336,0.347658434088423,0.163888776199336,-0.0370617396807117,-0.0476370595478237
"rapcomp2",-0.055215537671611,0.0511347906824219,0.0463260641409966,-0.0160748671136816,0.0840487496510089,0.0160748671136816,0.0224781417884595,0.130628160466323
