"","around","monitor","keyboard","face","comp_only","no_face","body_only","s_speak"
"hhogan",0.972327107535783,0.747913311531754,0.966555889763181,0.851766900576156,0.804612979958617,0.851766900576156,0.947991126250423,0.00532667186474894
"hboredom",0.617319496316718,0.536235074349935,0.884174373189332,0.247225983694792,0.502850439305307,0.247225983694792,0.541858376077596,0.639752009673409
"hsdesirability",0.663547369796029,0.855757511576512,0.646751847251843,0.493526989296481,0.817131081257389,0.493526989296481,0.440974106818404,0.606965879665536
"shogan",0.000313485070586534,0.452336738289912,0.0235452762125948,0.154060923029002,0.00861657399703703,0.154060923029002,0.0582156934260238,0.714159373674475
"sboredom",0.0139025688743177,0.503779040909253,0.0137152074352529,0.196580193686664,0.13814813331385,0.196580193686665,0.486538305809191,0.2436566258166
"ssdesirability",0.498721067272841,0.269524975253714,0.995008963839365,0.881522823209607,0.32828025543583,0.881522823209607,0.497200485156943,0.44271312428883
"hpabad",0.148137326357435,0.967778241013171,0.147756678763726,0.677449310738417,0.20380980684347,0.677449310738417,0.677584785404426,0.719426656985982
"hpabad2",0.73789851958256,0.949691885042205,0.273467329236348,0.594061030939394,0.321657242725948,0.594061030939394,0.654702735286395,0.781373721464041
"hpagood",0.0469076552822231,0.532335199353203,0.473932632198587,0.0346784091656456,0.951118483495547,0.0346784091656456,0.140174232815739,0.185881549416397
"hpagood2",0.150929792554299,0.630407713341055,0.763169632325883,0.0849675927873514,0.867943635062559,0.0849675927873514,0.218786549204795,0.0540671045385926
"spabad",0.058337028944438,0.49449795664102,0.0160241016209941,0.451515273091743,0.154571940664885,0.451515273091743,0.848936547312436,0.63688162176666
"spabad2",0.103001382554716,0.832931277780983,0.0291414854293591,0.791878316646841,0.0963634146834707,0.791878316646841,0.929814187859066,0.573201019794761
"spagood",0.0992272920562982,0.406548200048947,0.0284209852633796,0.577913923897962,0.0083545698322069,0.577913923897961,0.921037237680976,0.953015063900226
"spagood2",0.256835152104866,0.207472259984705,0.0421973202140004,0.181727373944908,0.0036735079328308,0.181727373944908,0.764134508702971,0.699673329097701
"rapcomp2",0.65719291290803,0.681110273502108,0.709699958675206,0.897270142226048,0.498901101915192,0.897270142226048,0.856719422735537,0.292048508210502
