"dyad","clip","conv","minu","raid","rsex","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","speaking","contribution","content","tsex","power","enunciated","chillness","presence","motherease","calmness","dominance","responsivity"
1,1,1,3,1,1,5,4,5,5,5,1,6,5,6,6,5,6,5,5,4,50,50,1,1,5,5.5,5,50,1,5,4,5.5
1,2,2,3,1,1,5,5,4,6,5,1,6,5,6,6,6,6,3,6,4,70,65,3,1,5.5,5.5,4.5,67.5,1,6,4,5.25
1,3,3,1,1,1,6,5,5,6,5,1,6,5,5,6,5,6,4,6,4,30,50,2,1,5.5,5,5.5,40,1,5,4,5.5
1,4,3,2,1,1,6,4,5,6,6,1,6,5,6,6,5,6,5,7,4,50,50,1,1,5.5,5.5,5.5,50,1,5,4,6
2,1,1,3,1,1,4,4,3,3,4,1,3,5,4,3,6,3,4,4,4,50,30,1,1,3.5,4.5,3.5,40,1,6,4,3.5
2,2,2,3,1,1,3,2,4,3,5,1,3,3,3,4,4,4,5,5,4,85,15,1,1,3.25,3,3.5,50,1,4,4,4.5
2,3,3,1,1,1,3,3,3,4,3,1,3,5,5,5,4,4,5,5,4,20,20,1,1,3.25,5,3,20,1,4,4,4.75
2,4,3,2,1,1,4,3,3,2,4,1,3,6,5,5,6,5,5,5,4,20,20,1,1,3,5.5,3.5,20,1,6,4,5
3,1,1,3,1,1,4,5,5,6,5,1,5,6,6,4,6,5,6,5,4,50,30,2,1,5.25,6,4.5,40,1,6,4,5
3,2,2,3,1,1,4,4,5,5,5,1,4,6,5,6,5,4,5,4,4,75,60,1,1,4.5,5.5,4.5,67.5,1,5,4,4.75
3,3,3,1,1,1,4,5,4,5,4,1,4,5,6,5,5,5,5,5,4,70,65,1,1,4.5,5.5,4,67.5,1,5,4,5
3,4,3,2,1,1,4,4,5,5,4,1,5,5,5,6,5,6,5,5,4,50,50,1,1,4.5,5,4.5,50,1,5,4,5.5
4,1,1,3,1,1,5,4,5,4,5,3,5,6,5,5,3,5,6,5,4,30,40,1,1,4.5,5.5,5,35,3,3,4,5.25
4,2,2,3,1,1,4,3,5,4,4,1,3,5,5,5,2,5,6,5,4,60,50,1,1,3.5,5,4.5,55,1,2,4,5.25
4,3,3,1,1,1,3,3,4,4,4,1,3,6,5,4,5,5,5,6,4,35,30,2,1,3.5,5.5,3.5,32.5,1,5,4,5
4,4,3,2,1,1,3,2,4,5,4,1,3,5,5,5,6,5,5,4,4,40,50,1,1,3.5,5,3.5,45,1,6,4,4.75
5,1,1,3,1,1,6,5,6,6,5,1,5,5,6,5,5,6,6,6,4,20,25,1,1,5.25,5.5,6,22.5,1,5,4,5.75
5,2,2,3,1,1,5,6,6,6,5,1,5,6,6,5,5,6,6,6,4,20,30,1,1,5.5,6,5.5,25,1,5,4,5.75
5,3,3,1,1,1,6,5,6,6,6,1,6,6,6,6,5,6,6,6,4,40,35,1,1,5.75,6,6,37.5,1,5,4,6
5,4,3,2,1,1,6,5,6,6,5,1,5,5,6,6,6,7,6,6,4,65,50,1,1,5.25,5.5,6,57.5,1,6,4,6.25
6,1,1,3,1,1,5,5,5,6,5,1,2,6,5,5,6,7,6,6,4,50,50,1,0,4.5,5.5,5,50,1,6,4,6
6,2,2,3,1,1,6,4,5,6,5,1,5,6,5,6,5,5,6,6,4,70,50,1,0,5,5.5,5.5,60,1,5,4,5.75
6,3,3,1,1,1,5,6,5,6,6,1,5,5,5,6,5,6,6,7,4,30,60,1,0,5.75,5,5,45,1,5,4,6.25
6,4,3,2,1,1,6,5,5,6,6,1,5,3,5,6,5,7,6,7,4,70,50,1,0,5.5,4,5.5,60,1,5,4,6.5
7,1,1,3,1,1,3,4,3,6,4,4,3,6,5,6,5,3,5,5,5,50,40,2,1,4.25,5.5,3,45,4,5,5,4.75
7,2,2,3,1,1,2,5,3,5,3,5,6,6,5,6,6,4,5,6,5,40,50,1,1,4.75,5.5,2.5,45,5,6,5,5.25
7,3,3,1,1,1,3,5,4,5,5,1,5,6,6,5,5,6,6,5,4,35,40,2,1,5,6,3.5,37.5,1,5,4,5.5
7,4,3,2,1,1,3,5,2,5,4,1,5,6,6,6,5,6,6,7,4,50,50,2,1,4.75,6,2.5,50,1,5,4,6.25
8,1,1,3,1,1,3,5,4,5,5,1,5,2,3,5,3,5,5,5,4,70,50,1,0,5,2.5,3.5,60,1,3,4,5
8,2,2,3,1,1,5,5,4,5,4,1,5,2,3,5,2,5,6,5,4,75,75,2,0,4.75,2.5,4.5,75,1,2,4,5.25
8,3,3,1,1,1,5,5,4,5,6,1,5,3,6,6,3,5,6,5,4,25,25,1,0,5.25,4.5,4.5,25,1,3,4,5.5
8,4,3,2,1,1,5,4,4,5,5,1,3,2,3,6,5,6,5,6,4,20,25,1,0,4.25,2.5,4.5,22.5,1,5,4,5.75
9,1,1,3,1,1,6,7,4,6,5,6,5,6,6,6,4,7,6,7,6,75,80,1,1,5.75,6,5,77.5,6,4,6,6.5
9,2,2,3,1,1,6,6,6,6,5,5,6,6,6,6,4,5,6,6,5,80,80,5,1,5.75,6,6,80,5,4,5,5.75
9,3,3,1,1,1,5,6,6,6,5,5,6,6,5,6,5,6,6,6,5,75,90,5,1,5.75,5.5,5.5,82.5,5,5,5,6
9,4,3,2,1,1,6,6,6,7,6,5,6,6,6,7,6,7,7,7,6,70,95,3,1,6.25,6,6,82.5,5,6,6,7
10,1,1,3,1,1,3,3,4,3,3,1,4,5,6,3,5,5,5,4,4,50,40,2,1,3.25,5.5,3.5,45,1,5,4,4.25
10,2,2,3,1,1,3,4,3,5,3,1,3,4,4,3,6,3,5,5,4,60,50,1,1,3.75,4,3,55,1,6,4,4
10,3,3,1,1,1,3,4,3,5,3,4,3,4,5,5,5,5,4,4,4,20,20,1,1,3.75,4.5,3,20,4,5,4,4.5
10,4,3,2,1,1,3,3,3,4,3,1,3,6,5,3,5,5,5,6,4,30,20,1,1,3.25,5.5,3,25,1,5,4,4.75
11,1,1,3,1,1,5,3,5,3,6,2,3,6,5,6,6,6,7,5,4,50,30,1,1,3.75,5.5,5,40,2,6,4,6
11,2,2,3,1,1,5,2,5,3,4,1,2,6,5,6,6,5,5,6,5,20,80,1,1,2.75,5.5,5,50,1,6,5,5.5
11,3,3,1,1,1,6,2,5,2,4,1,2,4,3,3,5,4,5,5,4,40,20,1,1,2.5,3.5,5.5,30,1,5,4,4.25
11,4,3,2,1,1,5,1,3,2,4,1,2,3,2,3,5,5,6,2,4,50,55,1,1,2.25,2.5,4,52.5,1,5,4,4
12,1,1,3,1,1,5,6,5,5,6,2,3,6,5,6,6,7,6,6,4,65,50,1,1,5,5.5,5,57.5,2,6,4,6.25
12,2,2,3,1,1,5,3,5,4,4,2,3,5,5,4,6,5,6,6,4,70,65,1,1,3.5,5,5,67.5,2,6,4,5.25
12,3,3,1,1,1,5,6,5,6,6,1,3,5,5,6,7,7,7,7,4,65,50,1,1,5.25,5,5,57.5,1,7,4,6.75
12,4,3,2,1,1,6,5,4,5,5,2,3,5,6,6,6,7,7,7,4,70,60,1,1,4.5,5.5,5,65,2,6,4,6.75
13,1,1,3,1,1,4,4,3,4,5,5,3,6,5,3,6,6,5,6,4,50,30,1,1,4,5.5,3.5,40,5,6,4,5
13,2,2,3,1,1,5,3,3,5,4,2,3,5,6,5,5,6,5,5,4,75,60,1,1,3.75,5.5,4,67.5,2,5,4,5.25
13,3,3,1,1,1,3,3,2,5,4,1,3,5,6,5,6,6,6,7,4,70,50,1,1,3.75,5.5,2.5,60,1,6,4,6
13,4,3,2,1,1,3,2,4,4,4,1,3,5,5,6,5,5,5,6,4,30,40,1,1,3.25,5,3.5,35,1,5,4,5.5
14,1,1,3,1,1,3,3,6,5,5,1,3,6,6,5,6,6,4,6,4,50,40,1,1,4,6,4.5,45,1,6,4,5.25
14,2,2,3,1,1,4,5,6,6,5,1,6,6,6,6,6,3,3,5,4,80,60,1,1,5.5,6,5,70,1,6,4,4.25
14,3,3,1,1,1,5,6,6,5,6,1,6,6,6,6,5,6,3,5,6,75,70,3,1,5.75,6,5.5,72.5,1,5,6,5
14,4,3,2,1,1,4,5,6,6,6,1,5,6,4,3,5,6,6,5,5,60,40,1,1,5.5,5,5,50,1,5,5,5
15,1,1,3,1,1,4,3,3,2,2,1,2,5,5,3,3,5,5,3,4,60,50,1,1,2.25,5,3.5,55,1,3,4,4
15,2,2,3,1,1,3,2,2,3,2,1,2,5,5,3,5,6,5,5,4,50,70,1,1,2.25,5,2.5,60,1,5,4,4.75
15,3,3,1,1,1,5,5,2,4,3,1,2,6,6,5,6,6,5,5,4,25,30,1,1,3.5,6,3.5,27.5,1,6,4,5.25
15,4,3,2,1,1,5,2,2,1,2,1,2,2,2,1,5,2,5,2,4,50,50,1,1,1.75,2,3.5,50,1,5,4,2.5
16,1,1,3,1,1,3,6,3,5,6,1,6,6,6,5,6,6,7,6,6,50,50,1,1,5.75,6,3,50,1,6,6,6
16,2,2,3,1,1,5,6,3,5,6,1,6,6,6,7,6,6,7,7,6,70,75,1,1,5.75,6,4,72.5,1,6,6,6.75
16,3,3,1,1,1,4,6,5,5,6,2,6,6,6,6,6,5,6,7,4,10,20,1,1,5.75,6,4.5,15,2,6,4,6
16,4,3,2,1,1,5,6,3,7,6,1,5,6,6,7,6,7,6,7,4,40,50,1,1,6,6,4,45,1,6,4,6.75
17,1,1,3,1,1,5,4,4,5,6,2,2,6,6,6,6,7,7,6,4,60,20,1,1,4.25,6,4.5,40,2,6,4,6.5
17,2,2,3,1,1,5,2,5,3,5,2,3,6,6,6,7,6,7,6,4,30,65,1,1,3.25,6,5,47.5,2,7,4,6.25
17,3,3,1,1,1,5,5,3,5,5,1,4,6,6,6,7,7,7,6,4,80,75,,1,4.75,6,4,77.5,1,7,4,6.5
17,4,3,2,1,1,6,5,3,5,5,1,5,6,6,7,6,7,7,7,4,70,60,1,1,5,6,4.5,65,1,6,4,7
18,1,1,3,1,1,6,3,2,3,2,1,6,6,5,6,4,6,5,6,4,65,70,2,0,3.5,5.5,4,67.5,1,4,4,5.75
18,2,2,3,1,1,6,2,2,3,2,1,2,3,2,5,6,5,5,3,4,65,70,1,0,2.25,2.5,4,67.5,1,6,4,4.5
18,3,3,1,1,1,2,2,2,5,3,1,2,6,6,5,6,6,6,5,4,50,50,1,0,3,6,2,50,1,6,4,5.5
18,4,3,2,1,1,3,2,2,5,3,1,6,5,6,5,6,6,5,6,4,30,30,1,0,4,5.5,2.5,30,1,6,4,5.5
19,1,1,3,1,1,5,5,6,5,3,1,3,6,6,6,5,5,6,5,4,65,65,1,1,4,6,5.5,65,1,5,4,5.5
19,2,2,3,1,1,3,5,6,5,4,1,3,5,5,3,6,5,6,5,4,65,50,2,1,4.25,5,4.5,57.5,1,6,4,4.75
19,3,3,1,1,1,5,5,6,5,5,1,3,6,6,5,6,6,6,5,4,70,60,2,1,4.5,6,5.5,65,1,6,4,5.5
19,4,3,2,1,1,5,5,6,6,5,1,3,6,6,5,6,7,6,6,4,50,50,2,1,4.75,6,5.5,50,1,6,4,6
20,1,1,3,1,1,5,1,6,2,3,1,2,4,3,3,5,3,6,3,3,50,50,1,1,2,3.5,5.5,50,1,5,3,3.75
20,2,2,3,1,1,5,1,6,1,3,1,2,3,2,2,4,3,6,3,4,30,50,2,1,1.75,2.5,5.5,40,1,4,4,3.5
20,3,3,1,1,1,4,3,5,1,2,1,2,2,1,3,5,3,5,2,3,20,25,1,1,2,1.5,4.5,22.5,1,5,3,3.25
20,4,3,2,1,1,3,2,6,2,2,1,2,2,2,3,5,4,5,3,3,60,50,2,1,2,2,4.5,55,1,5,3,3.75
21,1,1,3,1,1,5,2,5,2,3,1,2,5,6,6,5,5,6,6,3,50,40,1,1,2.25,5.5,5,45,1,5,3,5.75
21,2,2,3,1,1,5,2,6,1,4,2,2,6,5,3,4,4,5,5,3,25,50,1,1,2.25,5.5,5.5,37.5,2,4,3,4.25
21,3,3,1,1,1,5,5,5,5,6,1,2,5,6,5,5,6,6,7,4,50,50,1,1,4.5,5.5,5,50,1,5,4,6
21,4,3,2,1,1,5,3,5,2,4,1,2,6,5,5,4,6,6,6,4,40,30,1,1,2.75,5.5,5,35,1,4,4,5.75
22,1,1,3,1,1,2,3,2,3,3,1,3,3,5,3,3,5,6,5,3,65,70,1,0,3,4,2,67.5,1,3,3,4.75
22,2,2,3,1,1,3,2,3,2,3,1,3,2,3,2,4,5,5,3,3,70,80,2,0,2.5,2.5,3,75,1,4,3,3.75
22,3,3,1,1,1,3,2,3,3,2,3,3,3,5,3,5,5,5,5,3,50,50,1,0,2.5,4,3,50,3,5,3,4.5
22,4,3,2,1,1,3,3,2,5,4,1,3,3,6,5,5,6,5,6,4,50,50,1,0,3.75,4.5,2.5,50,1,5,4,5.5
23,1,1,3,1,1,5,6,5,6,6,1,5,5,5,6,2,5,5,6,4,50,50,1,1,5.75,5,5,50,1,2,4,5.5
23,2,2,3,1,1,5,5,4,5,3,2,5,6,5,5,5,6,6,6,4,65,60,1,1,4.5,5.5,4.5,62.5,2,5,4,5.75
23,3,3,1,1,1,5,6,4,5,6,1,5,5,5,7,6,7,7,7,5,30,20,1,1,5.5,5,4.5,25,1,6,5,7
23,4,3,2,1,1,5,3,4,5,5,2,5,5,6,6,5,6,6,5,4,10,10,1,1,4.5,5.5,4.5,10,2,5,4,5.75
24,1,1,3,1,1,5,5,3,6,5,2,4,6,5,6,4,5,6,5,4,75,75,2,0,5,5.5,4,75,2,4,4,5.5
24,2,2,3,1,1,4,5,2,5,4,1,3,6,6,5,5,6,5,5,4,70,50,1,0,4.25,6,3,60,1,5,4,5.25
24,3,3,1,1,1,5,6,2,5,4,1,5,6,5,6,5,6,6,7,4,30,50,1,0,5,5.5,3.5,40,1,5,4,6.25
24,4,3,2,1,1,4,5,2,5,5,1,5,6,6,5,5,6,5,6,4,40,50,1,0,5,6,3,45,1,5,4,5.5
25,1,1,3,1,1,5,5,6,5,5,2,5,5,6,5,4,5,3,5,4,50,40,1,1,5,5.5,5.5,45,2,4,4,4.5
25,2,2,3,1,1,5,6,4,5,5,1,5,6,5,6,5,5,4,5,4,60,50,1,1,5.25,5.5,4.5,55,1,5,4,5
